Date,USACPIALLMINMEI
1956-05-01,12.38
1959-10-01,13.48
1959-11-01,13.48
1959-12-01,13.48
1960-01-01,13.44
1960-02-01,13.48
1960-03-01,13.48
1960-04-01,13.53
1960-05-01,13.53
1960-06-01,13.57
1960-07-01,13.57
1960-08-01,13.57
1960-09-01,13.57
1960-10-01,13.67
1960-11-01,13.67
1960-12-01,13.67
1961-01-01,13.67
1961-02-01,13.67
1961-03-01,13.67
1961-04-01,13.67
1961-05-01,13.67
1961-06-01,13.67
1961-07-01,13.76
1961-08-01,13.71
1961-09-01,13.76
1961-10-01,13.76
1961-11-01,13.76
1961-12-01,13.76
1962-01-01,13.76
1962-02-01,13.80
1962-03-01,13.80
1962-04-01,13.85
1962-05-01,13.85
1962-06-01,13.85
1962-07-01,13.90
1962-08-01,13.90
1962-09-01,13.94
1962-10-01,13.94
1962-11-01,13.94
1962-12-01,13.94
1963-01-01,13.94
1963-02-01,13.94
1963-03-01,13.99
1963-04-01,13.99
1963-05-01,13.99
1963-06-01,14.03
1963-07-01,14.08
1963-08-01,14.08
1963-09-01,14.08
1963-10-01,14.12
1963-11-01,14.12
1963-12-01,14.17
1964-01-01,14.17
1964-02-01,14.17
1964-03-01,14.17
1964-04-01,14.17
1964-05-01,14.17
1964-06-01,14.22
1964-07-01,14.26
1964-08-01,14.22
1964-09-01,14.26
1964-10-01,14.26
1964-11-01,14.31
1964-12-01,14.31
1965-01-01,14.31
1965-02-01,14.31
1965-03-01,14.35
1965-04-01,14.40
1965-05-01,14.40
1965-06-01,14.49
1965-07-01,14.49
1965-08-01,14.49
1965-09-01,14.49
1965-10-01,14.54
1965-11-01,14.54
1965-12-01,14.58
1966-01-01,14.58
1966-02-01,14.68
1966-03-01,14.72
1966-04-01,14.81
1966-05-01,14.81
1966-06-01,14.86
1966-07-01,14.90
1966-08-01,15.00
1966-09-01,15.00
1966-10-01,15.09
1966-11-01,15.09
1966-12-01,15.09
1967-01-01,15.09
1967-02-01,15.09
1967-03-01,15.13
1967-04-01,15.18
1967-05-01,15.23
1967-06-01,15.27
1967-07-01,15.32
1967-08-01,15.36
1967-09-01,15.41
1967-10-01,15.45
1967-11-01,15.50
1967-12-01,15.55
1968-01-01,15.64
1968-02-01,15.68
1968-03-01,15.73
1968-04-01,15.78
1968-05-01,15.82
1968-06-01,15.91
