Date,WHOILNYH
1986-06-06,0.39
1986-06-13,0.38
1986-06-20,0.38
1986-06-27,0.37
1986-07-04,0.36
1986-07-11,0.33
1986-07-18,0.34
1986-07-25,0.33
1986-08-01,0.33
1986-08-08,0.40
1986-08-15,0.41
1986-08-22,0.42
1986-08-29,0.42
1986-09-05,0.44
1986-09-12,0.40
1986-09-19,0.39
1986-09-26,0.39
1986-10-03,0.41
1986-10-10,0.40
1986-10-17,0.39
1986-10-24,0.40
1986-10-31,0.38
1986-11-07,0.41
1986-11-14,0.43
1986-11-21,0.43
1986-11-28,0.42
1986-12-05,0.43
1986-12-12,0.44
1986-12-19,0.45
1986-12-26,0.46
1987-01-02,0.48
1987-01-09,0.50
1987-01-16,0.54
1987-01-23,0.53
1987-01-30,0.52
1987-02-06,0.50
1987-02-13,0.48
1987-02-20,0.47
1987-02-27,0.44
1987-03-06,0.46
1987-03-13,0.50
1987-03-20,0.51
1987-03-27,0.49
1987-04-03,0.49
1987-04-10,0.48
1987-04-17,0.48
1987-04-24,0.48
1987-05-01,0.49
1987-05-08,0.51
1987-05-15,0.52
1987-05-22,0.53
1987-05-29,0.52
1987-06-05,0.52
1987-06-12,0.52
1987-06-19,0.53
1987-06-26,0.52
1987-07-03,0.54
1987-07-10,0.54
1987-07-17,0.56
1987-07-24,0.55
1987-07-31,0.54
1987-08-07,0.55
1987-08-14,0.54
1987-08-21,0.51
1987-08-28,0.50
1987-09-04,0.52
1987-09-11,0.52
1987-09-18,0.52
1987-09-25,0.53
1987-10-02,0.54
1987-10-09,0.55
1987-10-16,0.56
1987-10-23,0.57
1987-10-30,0.57
1987-11-06,0.56
1987-11-13,0.56
1987-11-20,0.55
1987-11-27,0.56
1987-12-04,0.57
1987-12-11,0.56
1987-12-18,0.52
1987-12-25,0.52
1988-01-01,0.51
1988-01-08,0.54
1988-01-15,0.53
1988-01-22,0.51
1988-01-29,0.49
1988-02-05,0.49
1988-02-12,0.50
1988-02-19,0.47
1988-02-26,0.47
1988-03-04,0.47
1988-03-11,0.46
1988-03-18,0.47
1988-03-25,0.50
1988-04-01,0.49
1988-04-08,0.47
1988-04-15,0.51
1988-04-22,0.53
1988-04-29,0.55
1988-05-06,0.52
1988-05-13,0.52
1988-05-20,0.50
1988-05-27,0.50
1988-06-03,0.49
1988-06-10,0.46
1988-06-17,0.44
1988-06-24,0.44
1988-07-01,0.42
1988-07-08,0.43
1988-07-15,0.40
1988-07-22,0.44
1988-07-29,0.44
1988-08-05,0.43
1988-08-12,0.44
1988-08-19,0.44
1988-08-26,0.43
1988-09-02,0.43
1988-09-09,0.41
1988-09-16,0.42
1988-09-23,0.40
1988-09-30,0.39
1988-10-07,0.37
1988-10-14,0.40
1988-10-21,0.42
1988-10-28,0.42
1988-11-04,0.44
1988-11-11,0.44
1988-11-18,0.44
1988-11-25,0.46
1988-12-02,0.49
1988-12-09,0.49
1988-12-16,0.51
1988-12-23,0.52
1988-12-30,0.54
1989-01-06,0.55
1989-01-13,0.56
1989-01-20,0.56
1989-01-27,0.53
1989-02-03,0.53
1989-02-10,0.51
1989-02-17,0.50
1989-02-24,0.51
1989-03-03,0.54
1989-03-10,0.57
1989-03-17,0.58
1989-03-24,0.58
1989-03-31,0.56
1989-04-07,0.55
1989-04-14,0.54
1989-04-21,0.54
1989-04-28,0.52
1989-05-05,0.51
1989-05-12,0.50
1989-05-19,0.51
1989-05-26,0.51
1989-06-02,0.50
1989-06-09,0.50
1989-06-16,0.46
1989-06-23,0.48
1989-06-30,0.50
1989-07-07,0.50
1989-07-14,0.49
1989-07-21,0.50
1989-07-28,0.49
1989-08-04,0.48
1989-08-11,0.48
1989-08-18,0.50
1989-08-25,0.51
1989-09-01,0.52
1989-09-08,0.55
1989-09-15,0.55
1989-09-22,0.56
1989-09-29,0.58
1989-10-06,0.58
1989-10-13,0.59
1989-10-20,0.60
1989-10-27,0.58
1989-11-03,0.59
1989-11-10,0.59
1989-11-17,0.58
1989-11-24,0.61
1989-12-01,0.62
1989-12-08,0.66
1989-12-15,0.70
1989-12-22,0.86
1989-12-29,1.08
1990-01-05,0.95
1990-01-12,0.77
1990-01-19,0.67
1990-01-26,0.61
1990-02-02,0.60
1990-02-09,0.56
1990-02-16,0.57
1990-02-23,0.58
1990-03-02,0.57
1990-03-09,0.59
1990-03-16,0.58
1990-03-23,0.59
1990-03-30,0.58
1990-04-06,0.58
1990-04-13,0.59
1990-04-20,0.60
1990-04-27,0.57
1990-05-04,0.57
1990-05-11,0.56
1990-05-18,0.55
1990-05-25,0.51
1990-06-01,0.50
1990-06-08,0.48
1990-06-15,0.48
1990-06-22,0.48
1990-06-29,0.48
1990-07-06,0.48
1990-07-13,0.51
1990-07-20,0.55
1990-07-27,0.56
1990-08-03,0.60
1990-08-10,0.72
1990-08-17,0.74
1990-08-24,0.88
1990-08-31,0.75
1990-09-07,0.83
1990-09-14,0.81
1990-09-21,0.88
1990-09-28,1.02
1990-10-05,0.97
1990-10-12,1.03
1990-10-19,0.97
1990-10-26,0.83
1990-11-02,0.89
1990-11-09,0.88
1990-11-16,0.86
1990-11-23,0.86
1990-11-30,0.90
1990-12-07,0.83
1990-12-14,0.77
1990-12-21,0.77
1990-12-28,0.81
1991-01-04,0.74
1991-01-11,0.77
1991-01-18,0.80
1991-01-25,0.73
1991-02-01,0.71
1991-02-08,0.73
1991-02-15,0.75
1991-02-22,0.67
1991-03-01,0.67
1991-03-08,0.64
1991-03-15,0.62
1991-03-22,0.63
1991-03-29,0.58
1991-04-05,0.57
1991-04-12,0.56
1991-04-19,0.56
1991-04-26,0.56
1991-05-03,0.54
1991-05-10,0.55
1991-05-17,0.55
1991-05-24,0.56
1991-05-31,0.56
1991-06-07,0.54
1991-06-14,0.53
1991-06-21,0.54
1991-06-28,0.54
1991-07-05,0.56
1991-07-12,0.58
1991-07-19,0.59
1991-07-26,0.58
1991-08-02,0.59
1991-08-09,0.59
1991-08-16,0.59
1991-08-23,0.63
1991-08-30,0.62
1991-09-06,0.62
1991-09-13,0.60
1991-09-20,0.61
1991-09-27,0.63
1991-10-04,0.63
1991-10-11,0.66
1991-10-18,0.68
1991-10-25,0.68
1991-11-01,0.68
1991-11-08,0.69
1991-11-15,0.65
1991-11-22,0.62
1991-11-29,0.61
1991-12-06,0.58
1991-12-13,0.53
1991-12-20,0.52
1991-12-27,0.49
1992-01-03,0.48
1992-01-10,0.48
1992-01-17,0.53
1992-01-24,0.53
1992-01-31,0.53
1992-02-07,0.55
1992-02-14,0.55
1992-02-21,0.52
1992-02-28,0.51
