Symbol,Date,Open,High,Low,Close,Volume
AA.P,05-Nov-2015,84.2,84.2,84.2,84.2,200
AADR,05-Nov-2015,40,40,38.87,38.91,3300
AAMC,05-Nov-2015,27.98,30.1,26.61,26.61,19200
AAU,05-Nov-2015,0.57,0.57,0.55,0.55,66300
ABE,05-Nov-2015,11.57,11.6,11.54,11.54,3800
ACIM,05-Nov-2015,65.29,65.29,63.94,63.96,3200
ACU,05-Nov-2015,16.34,16.38,16.34,16.38,500
ACWV,05-Nov-2015,70.89,70.97,70.6,70.88,41500
ACY,05-Nov-2015,8.98,8.98,8.98,8.98,300
ADGE,05-Nov-2015,0.56,0.56,0.51,0.51,27200
ADK,05-Nov-2015,3.24,3.24,3.19,3.2,24800
ADK-A,05-Nov-2015,21.79,21.84,21.7,21.8,18300
AE,05-Nov-2015,45.98,45.98,45.98,45.98,300
AFCO,05-Nov-2015,7.21,7.38,7.11,7.29,192100
AFK,05-Nov-2015,20.52,20.53,20.26,20.48,65000
AFTY,05-Nov-2015,17.05,17.05,16.83,16.91,45900
AGF,05-Nov-2015,11.3,11.3,11.2,11.21,700
AGG,05-Nov-2015,108.87,108.89,108.6,108.77,2220800
AGQ,05-Nov-2015,32.21,32.46,31.91,32.14,140700
AGZ,05-Nov-2015,113.42,113.43,113.18,113.33,30100
AIA,05-Nov-2015,46.34,46.52,46.2,46.4,10800
AIII,05-Nov-2015,1.32,1.32,1.27,1.27,1600
AINC,05-Nov-2015,64.5,64.5,64.5,64.5,1000
AIRI,05-Nov-2015,8.44,8.51,8.44,8.51,2000
AKG,05-Nov-2015,1.61,1.62,1.56,1.57,229000
ALD,05-Nov-2015,43.43,43.53,43.36,43.36,2500
ALFA,05-Nov-2015,38.2,38.2,37.77,38.02,24000
ALN,05-Nov-2015,1.14,1.14,1.14,1.14,1900
ALTS,05-Nov-2015,39.01,39.06,38.94,38.94,2900
ALTV,05-Nov-2015,4.44,4.49,4.42,4.47,12000
AMCO,05-Nov-2015,0.23,0.25,0.22,0.23,111800
AMJ,05-Nov-2015,33.48,34.06,32.95,33.34,3139700
AMLP,05-Nov-2015,13.74,13.95,13.52,13.72,6422000
AMPE,05-Nov-2015,3.38,3.45,3.24,3.45,253800
