Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,23-Oct-2015,36,52,2,33,0
ADDD.IDX,23-Oct-2015,2,2,-15,-1,0
ADDE.IDX,23-Oct-2015,440,512,250,511,0
ADDN.IDX,23-Oct-2015,690,864,-129,409,0
ADDQ.IDX,23-Oct-2015,1001,1077,371,829,0
ADDS.IDX,23-Oct-2015,242,382,124,352,0
ADDT.IDX,23-Oct-2015,1727,1993,273,1271,0
ADDV.IDX,23-Oct-2015,40,55,7,42,0
ADDX.IDX,23-Oct-2015,282,416,171,394,0
ADR.IDX,23-Oct-2015,831.61,837.51,831.61,835.63,0
ADRA.IDX,23-Oct-2015,1.66,1.71,1.02,1.35,0
ADRD.IDX,23-Oct-2015,1,1.1,0.71,0.98,0
ADRE.IDX,23-Oct-2015,2.45,2.45,1.43,1.98,0
ADRN.IDX,23-Oct-2015,2.04,2.4,0.88,1.48,0
ADRQ.IDX,23-Oct-2015,2.95,2.95,1.37,2.02,0
ADRS.IDX,23-Oct-2015,2.08,2.08,1.33,1.55,0
ADRT.IDX,23-Oct-2015,2.4,2.52,1.12,1.73,0
ADRV.IDX,23-Oct-2015,1.61,1.61,1.02,1.16,0
ADRX.IDX,23-Oct-2015,1.97,1.97,1.33,1.43,0
ADVA.IDX,23-Oct-2015,90,137,79,127,34999700
ADVD.IDX,23-Oct-2015,19,61,19,61,17547300
ADVE.IDX,23-Oct-2015,742,1032,740,1032,1024473000
ADVN.IDX,23-Oct-2015,1352,1477,979,1246,2300356000
ADVQ.IDX,23-Oct-2015,1512,1696,1367,1637,1537487000
ADVS.IDX,23-Oct-2015,465,987,457,987,173915500
ADVT.IDX,23-Oct-2015,2954,3298,2468,3010,3872843000
ADVV.IDX,23-Oct-2015,105,303,105,303,49117300
ADVX.IDX,23-Oct-2015,570,1290,570,1290,223032800
AEX.IDX,23-Oct-2015,461.9,468.64,460.93,465.05,0
AMZ.IDX,23-Oct-2015,325.43,327.49,321.67,323.76,0
ASHD.IDX,23-Oct-2015,67,682,67,615,0
ASHF.IDX,23-Oct-2015,90,513,90,482,0
ASHR.IDX,23-Oct-2015,2.34,2.65,1.33,1.78,0
ASHU.IDX,23-Oct-2015,157,1100,157,1097,0
ATX.IDX,23-Oct-2015,2461.96,2491.84,2461.02,2467.65,0
AVDA.IDX,23-Oct-2015,-17.49,1515.99,-467.46,1515.99,0
AVDD.IDX,23-Oct-2015,-182.36,-182.36,-6813.95,-3239.74,0
AVDE.IDX,23-Oct-2015,1932.74,60072.76,1932.74,59169.01,0
AVDN.IDX,23-Oct-2015,2886.22,69338.89,-13004.07,69338.89,0
AVDQ.IDX,23-Oct-2015,6233.55,109407.77,6233.55,106964.13,0
AVDS.IDX,23-Oct-2015,427.29,4260.51,-1137.66,4102.8,0
AVDT.IDX,23-Oct-2015,9102.28,180058.79,9102.28,177815.95,0
AVDV.IDX,23-Oct-2015,59.12,1680.78,59.12,596.72,0
AVDX.IDX,23-Oct-2015,486.41,4906.21,-820.54,4699.52,0
AVLD.IDX,23-Oct-2015,9.57,389.48,9.57,377.77,0
AVLF.IDX,23-Oct-2015,3.72,492.22,3.72,491.92,0
AVLR.IDX,23-Oct-2015,1.38,2.4,1.15,2.3,0
AVLU.IDX,23-Oct-2015,13.29,870.03,13.29,869.7,0
AVRA.IDX,23-Oct-2015,0.83,1.78,0.24,1.76,0
AVRD.IDX,23-Oct-2015,0.07,0.39,0.07,0.35,0
AVRE.IDX,23-Oct-2015,1.6,2.38,1.39,2.36,0
AVRN.IDX,23-Oct-2015,1.65,2.29,0.88,1.43,0
AVRQ.IDX,23-Oct-2015,3.89,3.89,2.34,3.29,0
AVRS.IDX,23-Oct-2015,2.05,2.73,0.63,1.3,0
AVRT.IDX,23-Oct-2015,2.36,2.57,1.24,1.85,0
AVRV.IDX,23-Oct-2015,1.24,1.77,1.01,1.13,0
AVRX.IDX,23-Oct-2015,1.75,2.37,0.78,1.26,0
AVVA.IDX,23-Oct-2015,0.87,35.9,0.87,34.99,0
AVVD.IDX,23-Oct-2015,0.14,17.68,0.14,17.54,0
AVVE.IDX,23-Oct-2015,51.53,1035.4,51.53,1024.47,0
AVVN.IDX,23-Oct-2015,73.01,2300.35,73.01,2300.35,0
AVVQ.IDX,23-Oct-2015,83.85,1565.32,83.85,1537.48,0
AVVS.IDX,23-Oct-2015,8.33,173.91,8.33,173.91,0
AVVT.IDX,23-Oct-2015,157.75,3893,157.75,3872.84,0
AVVV.IDX,23-Oct-2015,2.97,49.6,2.97,49.11,0
AVVX.IDX,23-Oct-2015,11.31,223.03,11.31,223.03,0
BANK.IDX,23-Oct-2015,2844.99,2878.85,2838.35,2878.74,0
BCMM.IDX,23-Oct-2015,100.38,100.88,100.09,100.76,0
BFX.IDX,23-Oct-2015,3483.11,3531.62,3478.35,3521.52,0
