Symbol,Date,Open,High,Low,Close,Volume
AAAP,23-Nov-2015,25.6,25.6,25,25.15,59700
AAL,23-Nov-2015,42.11,42.74,41.81,42.3,4160500
AAME,23-Nov-2015,4.69,4.69,4.36,4.6,9000
AAOI,23-Nov-2015,17.86,18.62,17.77,18.56,440800
AAON,23-Nov-2015,24.03,24.72,24.03,24.46,148900
AAPC,23-Nov-2015,10.16,10.16,10.16,10.16,1000
AAPL,23-Nov-2015,119.27,119.73,117.34,117.75,32432400
AAVL,23-Nov-2015,8.69,9.17,8.64,9.15,320600
AAWW,23-Nov-2015,40.29,41.39,40.02,40.76,154100
AAXJ,23-Nov-2015,56.3,56.31,55.97,56.06,673600
ABAC,23-Nov-2015,0.65,0.65,0.6,0.64,5900
ABAX,23-Nov-2015,51.93,55.15,51.93,54.92,243400
ABCB,23-Nov-2015,33.95,34.22,33.91,34.11,207700
ABCD,23-Nov-2015,5.19,5.21,5.14,5.19,14700
ABCO,23-Nov-2015,50.92,52.23,50.35,51.62,232700
ABCW,23-Nov-2015,41.43,41.98,41.37,41.86,15800
ABDC,23-Nov-2015,11.86,12.18,11.78,11.91,31900
ABEO,23-Nov-2015,4.18,4.55,4.14,4.48,75400
ABEOW,23-Nov-2015,1.5,1.72,1.5,1.69,14500
ABGB,23-Nov-2015,4.77,4.84,4.69,4.69,19900
ABIO,23-Nov-2015,5.24,5.84,5.17,5.72,224300
ABMD,23-Nov-2015,80.96,82.7,80.12,81.73,305900
ABTL,23-Nov-2015,23.28,23.3,22.83,23.03,154500
ABTX,23-Nov-2015,22.33,23.63,22.33,23.56,34600
ABUS,23-Nov-2015,5.53,5.54,5.38,5.42,230700
ABY,23-Nov-2015,17.02,17.91,16.89,17.5,1009500
ACAD,23-Nov-2015,35.78,37.56,35.78,37.07,891400
ACAS,23-Nov-2015,14.33,14.4,14.06,14.09,2853700
ACAT,23-Nov-2015,21.59,22.14,21.29,21.39,142000
ACBI,23-Nov-2015,14.3,14.45,14.3,14.36,34000
ACET,23-Nov-2015,27.26,27.81,27.1,27.54,189200
ACFC,23-Nov-2015,6.12,6.35,6,6,17400
ACGL,23-Nov-2015,74.06,74.36,73.64,73.93,203900
ACHC,23-Nov-2015,68.49,70.72,68.19,69.72,436000
ACHN,23-Nov-2015,9.83,9.97,9.8,9.86,2001300
ACIW,23-Nov-2015,23.29,23.47,23.07,23.19,476500
ACLS,23-Nov-2015,2.51,2.53,2.48,2.48,316000
ACNB,23-Nov-2015,21.95,22.14,21.95,21.95,1100
ACOR,23-Nov-2015,37.16,37.85,37.11,37.59,426700
ACPW,23-Nov-2015,1.52,1.53,1.45,1.5,34300
