Symbol,Date,Open,High,Low,Close,Volume
A,10-Nov-2015,37.89,38.18,37.69,37.98,4339800
AA,10-Nov-2015,8.6,8.61,8.34,8.35,28330100
AA-B,10-Nov-2015,30.94,30.94,30.31,30.44,45800
AAC,10-Nov-2015,23.39,23.86,23.32,23.57,109600
AAN,10-Nov-2015,24.8,25.18,24.68,25.1,1509600
AAP,10-Nov-2015,193.77,196.12,193.77,194.11,1379700
AAT,10-Nov-2015,39.15,39.84,39.15,39.53,134600
AAV,10-Nov-2015,5.78,5.84,5.71,5.81,90600
AB,10-Nov-2015,25.08,25.29,24.78,25.17,127000
ABB,10-Nov-2015,18.73,18.84,18.65,18.8,1409700
ABBV,10-Nov-2015,63.33,63.62,62.28,62.3,6897600
ABC,10-Nov-2015,97.5,99.05,97.18,98.87,1815300
ABEV,10-Nov-2015,4.83,4.98,4.76,4.92,13310700
ABG,10-Nov-2015,75.98,76.99,75.34,76.7,280700
ABM,10-Nov-2015,28.3,28.74,28.23,28.73,258300
ABR,10-Nov-2015,6.8,6.88,6.71,6.8,198800
ABR-A,10-Nov-2015,24.58,24.78,24.58,24.78,6000
ABR-B,10-Nov-2015,24,24.21,24,24.2,8800
ABR-C,10-Nov-2015,25.08,26.26,25.08,26.2,40000
ABRN,10-Nov-2015,24.85,25.12,24.85,25.04,2300
ABT,10-Nov-2015,45.09,45.85,45.06,45.76,5520600
ABX,10-Nov-2015,7.23,7.3,7.12,7.2,8848000
ACC,10-Nov-2015,38.96,39.92,38.96,39.82,930800
ACCO,10-Nov-2015,8.16,8.24,8.07,8.18,505400
ACE,10-Nov-2015,112.46,113.59,112.37,113.55,1234700
ACG,10-Nov-2015,7.84,7.86,7.83,7.85,180100
ACH,10-Nov-2015,8.03,8.13,7.99,8.1,71400
ACI,10-Nov-2015,1.35,1.64,1.35,1.6,2680300
ACM,10-Nov-2015,31,31.39,29.46,30.88,2650500
ACN,10-Nov-2015,104.58,105.2,104.5,105.07,1580800
ACP,10-Nov-2015,12.64,12.66,12.53,12.61,48600
ACRE,10-Nov-2015,12.57,12.7,12.49,12.64,109900
ACV,10-Nov-2015,18.17,18.35,17.99,18.25,64900
ACW,10-Nov-2015,2.53,2.76,2.53,2.74,542300
ADC,10-Nov-2015,32.18,32.88,32.18,32.7,127800
ADM,10-Nov-2015,41.3,41.64,40.56,40.63,4419300
ADPT,10-Nov-2015,60.49,63.96,60.29,63.19,339100
ADS,10-Nov-2015,295.77,298.73,294.74,297.57,343200
ADT,10-Nov-2015,33.2,33.45,31.9,32.55,2795200
ADX,10-Nov-2015,13.53,13.72,13.53,13.67,185400
AEB,10-Nov-2015,24.12,24.13,24,24.04,24300
AED,10-Nov-2015,26.21,26.28,26.17,26.22,23300
AEE,10-Nov-2015,43.09,43.88,43.09,43.81,1639800
AEG,10-Nov-2015,6.15,6.16,6.1,6.13,1484000
AEH,10-Nov-2015,25.7,25.8,25.7,25.8,33100
AEK,10-Nov-2015,27.98,27.98,27.77,27.9,18400
AEL,10-Nov-2015,27.42,27.68,27.18,27.64,602900
AEM,10-Nov-2015,25.39,26.1,25.23,25.64,1505800
AEO,10-Nov-2015,15.95,16.35,15.69,16.32,4129700
AEP,10-Nov-2015,54.48,55.14,54.48,55.1,2383200
AER,10-Nov-2015,42.04,42.72,39.86,40.3,3779800
AES,10-Nov-2015,9.96,10.12,9.94,10.07,6384600
AES-C,10-Nov-2015,50.06,50.08,50.03,50.04,4000
AET,10-Nov-2015,108.25,109.39,107.89,108.74,2678100
AEUA,10-Nov-2015,39.18,39.53,38.4,38.83,97500
AF,10-Nov-2015,16.05,16.21,15.97,16.03,1052800
AF-C,10-Nov-2015,25.96,26.12,25.8,26.02,9900
AFA,10-Nov-2015,25.41,25.66,25.41,25.53,3600
AFB,10-Nov-2015,13.23,13.34,13.2,13.2,95800
AFC,10-Nov-2015,25.8,25.85,25.79,25.83,10100
AFG,10-Nov-2015,70.83,72.19,70.06,72.19,401800
AFGE,10-Nov-2015,26.22,26.44,26.14,26.24,17400
AFL,10-Nov-2015,63.45,64.57,63.45,64.31,2392600
AFS-A,10-Nov-2015,23.85,24,23.85,23.99,34600
AFS-B,10-Nov-2015,25,25.15,25,25.13,10000
AFS-C,10-Nov-2015,25.68,25.77,25.62,25.77,12300
AFS-D,10-Nov-2015,25.59,25.83,25.56,25.78,20400
AFSD,10-Nov-2015,25.29,25.45,25.26,25.39,31700
AFSS,10-Nov-2015,25.4,25.45,25.36,25.39,15400
AFST,10-Nov-2015,26.17,26.34,26.04,26.25,56200
AFT,10-Nov-2015,15.28,15.36,15.19,15.32,70300
AFW,10-Nov-2015,26.47,26.49,26.38,26.49,10800
AG,10-Nov-2015,2.99,3,2.87,2.9,1266000
AGC,10-Nov-2015,5.68,5.73,5.67,5.69,91900
AGCO,10-Nov-2015,47.72,48.82,47.72,48.47,1207000
AGD,10-Nov-2015,9.17,9.19,9.15,9.19,25700
AGI,10-Nov-2015,3.42,3.49,3.33,3.39,1012300
AGM,10-Nov-2015,30,30.42,29.95,30.4,19800
AGM-A,10-Nov-2015,25.53,25.7,25.5,25.5,2200
AGM-B,10-Nov-2015,26.8,26.89,26.78,26.78,3000
AGM-C,10-Nov-2015,25.75,25.75,25.75,25.75,1400
AGN,10-Nov-2015,297,308.24,296.17,306.7,3185900
AGN-A,10-Nov-2015,1011,1032.49,1006.81,1032.39,10500
AGO,10-Nov-2015,28.64,28.74,28.28,28.45,1499000
AGO-B,10-Nov-2015,25.8,25.8,25.75,25.75,2700
AGO-E,10-Nov-2015,25.55,25.8,25.55,25.72,5700
AGO-F,10-Nov-2015,24.85,24.95,24.8,24.94,5000
AGRO,10-Nov-2015,10.81,10.86,10.64,10.77,163300
AGU,10-Nov-2015,97.69,97.93,95.2,95.68,523300
AGX,10-Nov-2015,36.68,37.15,36.65,37.1,101600
AHC,10-Nov-2015,5.54,5.61,5.21,5.22,22700
AHH,10-Nov-2015,10.63,10.66,10.55,10.63,102100
AHL,10-Nov-2015,50.12,50.41,49.85,50.41,310000
AHL-A,10-Nov-2015,25.53,25.65,25.51,25.6,13100
AHL-B,10-Nov-2015,26.57,26.65,26.57,26.62,2000
AHL-C,10-Nov-2015,25.42,25.54,25.42,25.47,37400
AHP,10-Nov-2015,14.63,14.72,14.52,14.67,144400
AHS,10-Nov-2015,30.61,31.4,30.47,31.29,830200
AHT,10-Nov-2015,6.48,6.66,6.42,6.65,685900
AHT-A,10-Nov-2015,25.2,25.2,25.15,25.15,1400
AHT-D,10-Nov-2015,25.16,25.16,25.1,25.12,2200
AHT-E,10-Nov-2015,25.4,25.45,25.01,25.42,21500
AI,10-Nov-2015,13.69,13.84,13.61,13.76,225100
AIB,10-Nov-2015,25.65,25.74,25.56,25.71,9800
AIF,10-Nov-2015,14.58,14.68,14.5,14.55,55900
AIG,10-Nov-2015,61.04,61.43,60.9,61.35,4889300
AIG.W,10-Nov-2015,23.32,23.84,23.26,23.72,41000
AIN,10-Nov-2015,36.95,37.65,36.95,37.55,80900
AIR,10-Nov-2015,23.23,23.49,22.9,23.16,176900
AIT,10-Nov-2015,41.87,42.12,41.58,41.86,124500
AIV,10-Nov-2015,36.22,36.82,36.21,36.47,1824700
AIV-Z,10-Nov-2015,25.44,25.58,25.44,25.49,1300
AIW,10-Nov-2015,20.96,20.96,19.46,20.11,5800
AIY,10-Nov-2015,25.86,25.86,25.58,25.72,8900
AIZ,10-Nov-2015,83.97,85.01,83.92,84.87,282900
AJG,10-Nov-2015,43.6,44.05,43.48,44.02,1000000
AJRD,10-Nov-2015,16.59,16.64,16.16,16.25,301500
AJX,10-Nov-2015,12.56,12.56,12.28,12.45,19900
AKO.A,10-Nov-2015,16.51,16.52,16.51,16.52,900
AKO.B,10-Nov-2015,20.61,20.68,20.22,20.34,18000
AKP,10-Nov-2015,13.99,14.17,13.99,14.14,17700
AKR,10-Nov-2015,31.88,32.49,31.88,32.22,317600
AKS,10-Nov-2015,2.67,2.79,2.65,2.7,3644200
AL,10-Nov-2015,33.29,33.83,32.55,32.92,943400
ALB,10-Nov-2015,49.94,50.33,49.26,49.58,1198900
ALDW,10-Nov-2015,26.02,26.45,25.65,26.26,235700
ALE,10-Nov-2015,50.44,51.41,50.07,51.31,197600
ALEX,10-Nov-2015,37.04,38,36.9,37.61,212000
ALG,10-Nov-2015,53.74,54.61,53.74,54.42,38000
ALJ,10-Nov-2015,17.24,17.54,17,17.36,631800
ALK,10-Nov-2015,76.98,78.6,76.9,78.57,965400
ALL,10-Nov-2015,63.49,63.64,63.12,63.32,1813000
ALL-A,10-Nov-2015,25.39,25.39,25.32,25.37,99400
ALL-B,10-Nov-2015,25.72,25.78,25.72,25.76,35800
ALL-C,10-Nov-2015,27.02,27.27,27.02,27.22,23200
ALL-D,10-Nov-2015,27.47,27.58,27.47,27.55,7300
ALL-E,10-Nov-2015,27.29,27.47,27.28,27.44,89700
ALL-F,10-Nov-2015,26.53,26.67,26.41,26.65,18100
ALLE,10-Nov-2015,63.62,63.79,62.77,63.33,839500
ALLY,10-Nov-2015,19.73,19.93,19.54,19.91,3657300
ALP-O,10-Nov-2015,28.35,28.35,27.51,27.52,1500
ALR,10-Nov-2015,41.42,41.6,38.7,40,2254500
ALR-B,10-Nov-2015,295,295,286.35,287.5,31600
