"A"	"500"	"56  - Healthcare"	5182.000	5286.000	5301.000	4167.000	4243.000	4831.000	4297.000	4372.000	4608.000	4831.000	4522.000	4613.000	4564.000	4567.000	101.000	107.000	110.000	66.000	72.000	79.000	20.000	20.000	19.000	20.000	20.000	19.000	18.000	18.000	668.000	337.000	353.000	326.000	329.000	339.000	79.000	84.000	87.000	89.000	93.000	91.000	97.000	104.000	14.890	15.500	15.920	12.510	13.020	15.000	13.340	13.620	14.360	15.000	14.000	14.330	14.260	14.360	1014.000	1066.000	574.000	541.000	533.000	575.000	551.000	548.000	566.000	575.000	608.000	594.000	623.000	638.000	10202.000	13972.500	13081.000	13577.700	14470.600	20901.300	15522.300	17328.100	18713.600	21242.700	22979.900	20276.300	20804.800	20159.200	29.276	40.896	40.940	41.810	45.560	66.970	43.570	51.300	59.310	68.030	68.590	61.840	64.790	71.930	2.630	2.320	0.980	3.260	1.530	1.670	0.130	0.530	0.440	0.570	0.330	0.630	0.360	0.900	10/31/2018	01/18/2019
"AAL"	"500"	"52  - Industrials"	-7111.000	-7987.000	-2731.000	2021.000	5635.000	3785.000	3785.000	3457.000	3715.000	3948.000	-780.000	-1018.000	-869.000	-568.000	771.000	582.000	856.000	887.000	880.000	991.000	253.000	257.000	263.000	266.000	266.000	265.000	266.000	265.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-56.890	-63.780	-16.750	2.820	8.430	6.850	7.360	6.860	7.570	8.140	-1.630	-2.160	-1.870	-1.230	617.000	1160.000	2024.000	1004.000	863.000	1094.000	1094.000	1154.000	1206.000	1315.000	2718.000	1455.000	1522.000	1576.000	-99999999.990	17550.100	30331.200	47435.300	51571.300	52758.600	48047.500	45484.100	49171.000	47365.800	49596.800	48982.600	41378.700	43497.500	-99999999.990	25.250	53.630	42.350	46.690	52.030	40.600	46.360	50.320	46.820	54.250	37.960	35.080	33.970	-6.940	-4.820	-14.960	-3.240	-0.260	1.020	-1.710	0.960	0.320	-2.150	-2.130	2.050	0.190	-2.450	09/30/2018	01/18/2019
"AAN"	"MidCap 400"	"53  - Consumer Cyclicals"	976.600	1136.100	1140.000	1223.500	1366.600	1481.600	1481.600	1500.200	1542.100	1574.000	1728.000	1756.200	1744.800	1763.500	9.400	6.400	5.600	19.200	23.300	23.400	5.400	5.800	5.600	4.700	4.500	4.300	3.800	3.700	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	12.500	14.980	15.050	16.900	18.830	20.480	20.750	21.040	21.820	22.250	24.470	25.050	25.050	25.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2186.200	2241.100	2227.200	2223.300	2913.300	3072.500	2473.900	2257.200	2890.500	3333.000	3131.400	3436.000	3204.700	4010.300	28.280	29.400	30.570	22.390	31.990	39.850	24.710	27.280	38.900	36.800	46.210	43.450	47.130	48.440	2.830	-0.150	3.230	-1.430	1.370	5.510	-0.110	1.240	-0.070	0.660	-0.540	2.460	0.770	1.060	09/30/2018	01/18/2019
"AAOI"	"SmallCap 600"	"57  - Technology"	-73.700	-74.400	63.100	115.000	165.400	227.400	227.400	276.200	307.500	324.400	333.300	343.300	342.600	335.500	1.300	1.400	1.100	0.300	1.000	1.700	0.400	0.300	0.200	0.200	0.100	0.100	0.300	0.300	6.500	7.600	8.500	16.000	20.900	31.800	7.200	7.400	8.100	9.200	10.700	11.700	12.600	14.200	-5.850	-5.900	6.330	8.040	10.580	13.220	12.890	14.850	16.120	16.820	17.170	17.610	17.490	17.020	12.700	12.500	19.600	33.800	66.200	51.800	51.800	57.500	59.700	74.600	75.800	92.600	93.300	107.900	-99999999.990	308.500	118.200	243.300	406.100	643.600	406.200	1013.200	1131.500	1217.800	700.700	471.400	864.400	500.800	-99999999.990	15.010	11.220	17.160	23.440	37.820	19.230	45.920	61.790	40.740	27.930	44.900	19.630	16.590	-0.480	-0.300	-1.600	-2.370	-4.400	0.400	1.620	0.490	1.970	0.370	1.320	-0.210	1.100	0.380	09/30/2018	01/18/2019
"AAON"	"SmallCap 600"	"52  - Industrials"	122.500	138.100	164.100	174.100	178.900	205.900	205.900	211.800	217.700	230.300	237.200	239.600	238.400	249.600	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	2.210	2.500	2.980	3.180	3.310	3.890	3.890	4.020	4.140	4.380	4.520	4.570	4.550	4.780	34.900	32.600	32.100	37.600	38.500	47.400	47.400	56.000	63.100	66.100	70.800	68.700	70.500	79.200	519.900	1173.400	1222.000	1250.700	1778.300	1918.100	1723.100	1828.600	1905.300	1788.700	1906.400	2036.700	1725.900	1967.300	9.276	21.300	22.390	23.220	33.050	36.700	29.950	33.650	36.850	35.000	36.750	33.250	34.490	37.660	-0.270	0.510	0.670	0.500	0.410	0.460	0.130	0.080	0.240	-0.030	-0.110	0.040	0.150	-0.010	09/30/2018	01/18/2019
"AAP"	"500"	"53  - Consumer Cyclicals"	847.900	1210.700	1516.200	2002.900	2460.600	2916.200	2916.200	3023.700	3128.300	3230.800	3415.200	3546.600	3657.900	3659.600	30.900	33.800	36.600	73.400	65.400	59.900	13.400	18.400	13.900	13.300	13.100	17.700	12.900	13.100	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	11.210	16.560	20.790	27.460	33.620	39.640	39.580	40.980	42.360	43.740	46.210	47.940	49.400	49.530	2043.200	2308.600	2556.600	3937.000	4174.800	4325.900	4325.900	4413.800	4293.400	4219.300	4168.500	4230.500	4159.800	4187.100	5845.300	8105.400	11557.400	12509.200	13494.000	8241.400	13368.200	11435.200	9058.600	6718.900	7864.800	8872.500	10601.400	11879.700	72.350	110.680	159.280	150.510	169.120	99.690	140.080	156.610	116.590	81.740	114.250	135.700	159.760	167.610	7.030	5.350	4.520	6.310	6.110	3.330	0.790	-0.530	2.300	1.220	2.310	1.490	3.480	2.560	10/06/2018	01/18/2019
"AAPL"	"500"	"57  - Technology"	118210.000	123549.000	111547.000	119355.000	128249.000	134047.000	132390.000	134082.000	132425.000	134047.000	140199.000	126878.000	114949.000	107147.000	0.000	136.000	384.000	733.000	1456.000	2323.000	525.000	530.000	602.000	666.000	734.000	792.000	846.000	868.000	3381.000	4475.000	6041.000	8067.000	10045.000	11581.000	2871.000	2776.000	2937.000	2997.000	3407.000	3378.000	3701.000	3750.000	18.060	19.070	18.330	20.750	23.440	25.690	24.990	25.660	25.490	26.030	27.420	25.250	23.540	22.310	791.000	1764.000	2111.000	2349.000	2132.000	9710.000	2712.000	2910.000	3146.000	4855.000	4421.000	7662.000	5936.000	3956.000	486741.000	521822.000	693176.000	648813.000	700178.000	978305.000	684869.000	834049.900	862433.400	889020.700	960161.200	919854.900	986367.000	1172480.500	76.025	80.146	110.380	105.260	115.820	169.230	113.540	136.990	144.020	169.040	178.120	185.110	218.860	156.820	5.890	5.220	6.330	10.050	7.370	7.360	4.510	1.810	0.900	2.480	4.810	1.000	1.540	2.670	09/29/2018	01/18/2019
"AAT"	"SmallCap 600"	"55  - Financials"	626.000	638.400	648.500	735.300	799.600	809.600	809.600	834.900	839.100	836.500	833.700	823.000	813.800	812.400	54.600	57.300	58.000	53.000	47.300	51.900	12.800	13.300	12.700	13.900	14.000	13.800	12.700	12.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	17.030	16.480	16.400	17.490	17.990	17.860	17.800	18.080	17.900	17.840	17.770	17.540	17.340	17.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1879.500	2267.100	2608.400	2647.000	2959.500	2779.200	3005.100	2929.100	3053.200	3107.800	3046.700	2802.800	3020.500	2968.600	27.930	31.430	39.810	38.350	43.080	38.240	39.710	44.000	39.390	38.790	31.720	38.290	38.360	40.730	-6.070	-7.260	-0.220	-1.560	-1.330	-0.050	-0.170	0.410	0.240	0.380	-0.700	0.570	0.330	0.300	09/30/2018	01/18/2019
"AAWW"	"SmallCap 600"	"52  - Industrials"	1137.500	1284.300	1317.800	1417.800	1454.200	1517.300	1517.300	1511.600	1593.300	1575.200	1789.900	1792.300	1776.100	1851.800	14.500	45.800	81.300	103.800	95.700	81.300	19.800	19.700	22.700	24.600	25.200	25.600	27.700	30.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	43.370	48.610	51.600	56.640	58.560	61.080	60.670	58.720	63.080	62.350	70.810	70.460	69.470	72.410	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1729.200	1985.200	2638.400	2654.100	2770.400	3184.500	3031.700	3298.800	3191.700	3602.300	3428.700	3689.200	4117.700	3952.400	44.320	41.150	49.300	41.340	52.150	58.650	41.850	56.850	52.150	61.350	60.850	71.700	51.620	50.550	-24.930	-11.170	-11.740	-10.790	4.030	-5.240	4.830	-0.120	2.630	2.420	4.450	1.660	3.050	2.020	09/30/2018	01/18/2019
"AAXN"	"SmallCap 600"	"52  - Industrials"	82.500	87.300	108.300	129.100	157.000	150.900	150.900	157.400	163.500	166.100	167.400	199.300	448.800	459.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	8.100	9.900	14.900	23.600	30.600	9.600	12.500	13.000	14.200	15.800	15.100	18.500	22.000	1.390	1.620	2.090	2.440	2.930	2.870	2.890	3.000	3.100	3.140	3.160	3.750	8.080	7.880	11.500	11.000	11.100	17.000	15.800	34.800	34.800	48.700	60.700	52.700	45.500	43.100	44.000	39.200	510.100	798.900	1331.500	867.100	1238.500	1355.000	1226.900	1152.600	1297.800	1154.200	1327.100	1995.800	3200.700	3667.800	8.940	15.880	26.480	17.290	24.240	26.500	22.380	25.670	25.140	22.970	34.830	63.180	61.720	50.190	0.250	0.450	0.560	0.600	0.730	0.180	-0.140	-0.120	-0.110	0.120	0.450	0.330	-0.040	0.270	09/30/2018	01/18/2019
