Ticker,Sector,Insiders--buy trades,Insiders--sell trades,Insiders--net shares purchased,Insiders--shares purchased,Insiders--shares sold
MMM,02  - Capital Goods,23,16,137,338,201
ABT,08  - Health Care,19,17,1747,2146,399
ABBV,08  - Health Care,9,10,6,507,501
ACN,10  - Technology,26,23,-55,142,197
ATVI,10  - Technology,9,9,-4138,6489,10627
AYI,04  - Consumer Cyclical,5,2,-6,11,17
ADBE,10  - Technology,19,14,-49,1013,1061
AAP,09  - Services,16,6,64,121,57
AMD,10  - Technology,7,9,-46544,2281,48825
AES,12  - Utilities,7,8,172,332,160
AET,08  - Health Care,5,7,-68,512,580
AMG,07  - Financial,5,6,160,526,366
AFL,07  - Financial,19,17,59,348,289
A,10  - Technology,18,11,250,411,161
APD,01  - Basic Materials,6,4,39,43,4
AKAM,10  - Technology,10,8,2,310,307
ALK,11  - Transportation,9,12,-39,165,204
ALB,01  - Basic Materials,5,6,30,106,75
ARE,09  - Services,12,8,41,140,99
ALXN,08  - Health Care,11,9,37,183,146
ALLE,10  - Technology,11,11,87,192,105
AGN,08  - Health Care,10,7,10,99,89
ADS,07  - Financial,8,8,313,377,64
LNT,12  - Utilities,7,6,49,86,37
ALL,07  - Financial,11,11,24,661,637
GOOGL,10  - Technology,7,9,-31,746,778
MO,05  - Consumer Non-Cyclical,13,14,-29,215,244
AMZN,09  - Services,13,10,0,54,54
AEE,12  - Utilities,21,12,106,236,130
AAL,11  - Transportation,9,11,127,1160,1033
AEP,12  - Utilities,0,1,-1,0,1
AXP,07  - Financial,14,13,172,896,724
AIG,07  - Financial,7,7,148,304,155
AMT,09  - Services,16,9,105,593,487
AWK,12  - Utilities,11,11,59,124,65
AMP,07  - Financial,12,14,-19,524,544
ABC,08  - Health Care,12,10,56,262,206
AME,10  - Technology,11,9,-3,409,412
AMGN,08  - Health Care,9,9,61,159,98
APH,10  - Technology,0,1,-15,0,15
APC,06  - Energy,15,8,35,63,27
ADI,10  - Technology,18,14,-34,315,350
ANTM,07  - Financial,9,9,-36,87,123
AON,07  - Financial,10,9,-231,719,950
APA,06  - Energy,11,9,113,184,72
AIV,09  - Services,12,6,-28,52,79
AAPL,10  - Technology,17,14,-322,1017,1338
AMAT,10  - Technology,17,9,604,1357,753
ADM,05  - Consumer Non-Cyclical,15,14,227,1179,952
ARNC,01  - Basic Materials,21,7,7033,7238,205
AJG,07  - Financial,13,14,114,399,285
AIZ,07  - Financial,8,6,27,82,56
T,09  - Services,12,11,361,1306,945
ADSK,10  - Technology,10,11,-43,669,711
ADP,09  - Services,22,13,54,308,254
AN,09  - Services,10,4,-1138,458,1596
AZO,04  - Consumer Cyclical,21,8,2,69,68
AVB,09  - Services,12,9,63,118,55
AVY,01  - Basic Materials,14,13,64,896,832
BHI,06  - Energy,19,12,469,726,256
BLL,01  - Basic Materials,13,10,71,488,418
BAC,07  - Financial,17,12,610,2674,2063
BK,07  - Financial,17,10,-214,1542,1756
BAX,08  - Health Care,17,15,-5790,174,5964
BBT,07  - Financial,30,23,-981,1601,2582
BDX,08  - Health Care,25,12,50,201,151
BBBY,09  - Services,5,6,-7,258,265
BRK.A,05  - Consumer Non-Cyclical,0,0,0,0,0
BBY,09  - Services,11,12,-2422,4967,7389
BIIB,08  - Health Care,9,9,-5,36,41
BLK,07  - Financial,28,18,-259,61,319
BA,02  - Capital Goods,17,16,201,569,368
BWA,04  - Consumer Cyclical,21,15,179,261,82
BXP,09  - Services,5,7,-24,36,60
BSX,08  - Health Care,16,15,579,1580,1001
BMY,08  - Health Care,14,13,372,870,498
AVGO,10  - Technology,16,10,-9111,395,9506
BF.B,05  - Consumer Non-Cyclical,8,12,-768,482,1251
BCR,08  - Health Care,20,13,-39,270,309
CHRW,11  - Transportation,12,8,-41,43,84
CA,10  - Technology,1,3,-2,3,5
COG,06  - Energy,15,10,334,487,152
CPB,05  - Consumer Non-Cyclical,12,8,-926,973,1899
COF,07  - Financial,18,18,136,2993,2856
CAH,08  - Health Care,2,1,9,445,436
KMX,09  - Services,13,13,48,298,250
CCL,09  - Services,13,7,238,667,429
CAT,02  - Capital Goods,17,7,94,286,192
CBOE,07  - Financial,12,9,1368,1912,544
CBG,09  - Services,15,12,1755,2164,409
CBS,09  - Services,20,15,426,1562,1136
CELG,08  - Health Care,11,11,-31,201,232
CNC,08  - Health Care,16,12,218,627,409
CNP,12  - Utilities,8,9,121,200,79
CTL,09  - Services,11,10,543,810,266
CERN,10  - Technology,10,3,60,1473,1413
CF,01  - Basic Materials,8,6,167,175,8
SCHW,07  - Financial,16,15,-2677,2868,5544
CHTR,09  - Services,18,7,3708,3750,42
CHK,06  - Energy,10,6,1858,2167,309
CVX,06  - Energy,4,3,1,237,236
CMG,09  - Services,3,0,0,0,0
CB,07  - Financial,10,11,220,514,293
CHD,05  - Consumer Non-Cyclical,9,6,20,392,372
CI,07  - Financial,22,14,-6,264,270
XEC,06  - Energy,8,11,101,342,241
CINF,07  - Financial,28,15,-38,110,147
CTAS,09  - Services,4,4,9,42,33
CSCO,10  - Technology,11,11,-581,107,688
C,07  - Financial,30,16,-45,1558,1603
CFG,07  - Financial,19,6,178,289,110
CTXS,10  - Technology,8,10,271,513,242
CLX,05  - Consumer Non-Cyclical,10,6,11,71,60
CME,07  - Financial,13,16,43,206,163
CMS,12  - Utilities,12,10,95,394,299
COH,04  - Consumer Cyclical,9,2,99,108,9
CTSH,10  - Technology,18,17,157,382,225
CL,05  - Consumer Non-Cyclical,16,15,36,296,260
CMCSA,09  - Services,21,21,364,3319,2955
CMA,07  - Financial,20,14,38,589,552
