"A"	"10  - Technology"	96.000	86.000	101.000	107.000	110.000	66.000	17.000	16.000	18.000	18.000	17.000	19.000	20.000	20.000	609.000	649.000	668.000	337.000	353.000	326.000	79.000	78.000	78.000	81.000	86.000	84.000	79.000	84.000	9.300	12.420	14.890	15.500	15.920	12.510	12.360	12.630	12.290	12.770	13.360	13.020	13.340	13.620	29.626	24.978	29.276	40.896	40.940	41.810	41.370	36.310	41.810	40.920	46.980	45.560	55.050	61.520	04/30/2017
"AAL"	"11  - Transportation"	792.000	771.000	582.000	856.000	887.000	880.000	223.000	219.000	229.000	239.000	249.000	250.000	253.000	257.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-11.850	-56.890	-63.780	-16.750	2.820	8.430	5.280	5.680	8.990	7.770	7.660	8.360	7.360	6.860	-99999999.990	-99999999.990	-99999999.990	25.250	53.630	42.350	48.285	38.980	42.350	34.690	36.300	46.690	42.620	54.220	03/31/2017
"AAP"	"09  - Services"	26.900	30.900	33.800	36.600	73.400	65.400	15.400	14.400	13.800	18.900	14.000	13.600	13.400	18.400	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	12.070	11.210	16.560	20.790	27.460	33.620	31.280	32.960	33.590	35.820	37.360	38.780	39.580	40.980	66.150	69.630	72.350	110.680	159.280	150.510	143.000	175.250	150.510	156.100	157.380	169.120	142.140	102.040	04/22/2017
"AAPL"	"10  - Technology"	0.000	0.000	0.000	136.000	384.000	733.000	201.000	238.000	276.000	321.000	409.000	450.000	525.000	530.000	1782.000	2429.000	3381.000	4475.000	6041.000	8067.000	2034.000	2220.000	2404.000	2511.000	2560.000	2570.000	2871.000	2776.000	7.510	11.840	18.060	19.070	18.330	20.750	21.930	21.140	23.070	23.660	23.250	23.900	24.990	25.660	46.080	57.857	76.025	80.146	110.380	105.260	125.150	112.760	105.260	93.740	106.100	115.820	143.650	149.040	04/01/2017
"ABBV"	"08  - Health Care"	0.000	0.000	104.000	299.000	429.000	719.000	172.000	207.000	208.000	215.000	245.000	271.000	316.000	273.000	2368.600	2502.500	5178.000	2840.000	3297.000	4101.000	981.000	1418.000	891.000	946.000	1124.000	1106.000	1190.000	1135.000	9.930	7.550	2.130	2.830	1.090	2.430	3.400	2.940	2.420	2.870	3.470	3.960	2.870	3.130	-99999999.990	-99999999.990	34.160	52.810	65.440	59.240	64.660	62.410	59.240	61.000	64.100	62.620	65.940	73.110	03/31/2017
"ABC"	"08  - Health Care"	74.700	78.300	94.400	75.000	77.700	112.000	30.700	40.100	34.400	36.700	33.600	45.300	38.000	37.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	10.470	10.520	9.710	10.040	8.610	2.830	7.180	2.910	6.310	10.540	8.710	9.720	9.680	11.620	34.120	37.190	43.180	70.310	90.160	103.710	114.300	100.040	103.710	85.100	86.970	78.190	82.050	92.960	03/31/2017
"ABT"	"08  - Health Care"	0.000	0.000	320.000	145.000	150.000	163.000	44.000	41.000	41.000	58.000	103.000	117.000	153.000	226.000	3724.400	1512.000	5783.200	1371.000	1292.000	1371.000	345.000	338.000	375.000	379.000	348.000	352.000	338.000	541.000	14.660	15.700	16.970	16.160	14.200	14.180	15.400	14.120	14.260	14.030	14.020	14.070	13.890	18.160	22.924	26.905	31.340	38.330	45.020	44.910	46.420	45.290	44.910	38.900	42.020	38.410	43.640	48.910	03/31/2017
"ACN"	"10  - Technology"	14.700	15.000	15.100	14.000	17.600	14.600	3.800	4.100	4.500	3.700	4.000	3.000	4.000	3.600	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	4.450	6.010	6.450	7.680	9.040	9.790	9.820	9.420	10.870	11.430	12.140	11.930	12.800	13.190	48.490	53.230	66.500	82.220	89.310	104.500	92.650	94.270	104.500	112.920	115.000	117.130	121.300	126.700	05/31/2017
"ADBE"	"10  - Technology"	57.000	67.000	67.500	67.500	59.700	64.200	16.500	16.500	18.500	17.200	17.300	17.500	18.100	18.300	680.300	738.100	742.800	826.600	844.400	862.700	218.700	220.500	237.200	232.500	248.500	257.800	285.100	299.400	10.000	11.630	13.470	13.410	13.610	14.040	13.720	14.050	14.000	14.500	14.600	14.980	15.340	15.790	30.780	28.270	37.680	59.879	72.700	93.940	76.060	78.570	93.940	94.220	102.310	102.950	133.740	146.160	06/02/2017
"ADI"	"10  - Technology"	10.400	19.100	26.400	27.100	34.800	27.000	6.800	6.700	13.100	18.500	18.500	38.800	42.600	71.600	492.300	505.600	1023.800	513.000	559.700	637.500	160.800	170.700	157.400	160.200	163.200	172.900	184.000	235.200	10.760	12.680	13.940	15.400	15.190	16.230	16.140	16.220	16.050	15.780	16.230	16.780	15.930	29.200	37.670	35.780	42.060	50.930	55.520	55.320	61.840	55.860	55.320	56.320	62.560	72.620	76.200	81.550	04/29/2017
