"A",96.000,86.000,101.000,107.000,110.000,66.000,17.000,17.000,16.000,18.000,18.000,17.000,19.000,20.000,609.000,649.000,668.000,337.000,353.000,326.000,81.000,79.000,78.000,78.000,81.000,86.000,84.000,79.000,9.300,12.420,14.890,15.500,15.920,12.510,12.450,12.360,12.630,12.290,12.770,13.360,13.020,13.340
"AAL",792.000,771.000,582.000,856.000,887.000,880.000,223.000,219.000,229.000,239.000,249.000,250.000,253.000,257.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-11.850,-56.890,-63.780,-16.750,2.820,8.430,5.280,5.680,8.990,7.770,7.660,8.360,7.360,6.860
"AAP",26.900,30.900,33.800,36.600,73.400,65.400,21.800,15.400,14.400,13.800,18.900,14.000,13.600,13.400,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,12.070,11.210,16.560,20.790,27.460,33.620,29.360,31.280,32.960,33.590,35.820,37.360,38.780,39.580
"AAPL",0.000,0.000,0.000,136.000,384.000,733.000,163.000,201.000,238.000,276.000,321.000,409.000,450.000,525.000,1782.000,2429.000,3381.000,4475.000,6041.000,8067.000,1918.000,2034.000,2220.000,2404.000,2511.000,2560.000,2570.000,2871.000,7.510,11.840,18.060,19.070,18.330,20.750,22.270,21.930,21.140,23.070,23.660,23.250,23.900,24.990
"ABBV",0.000,0.000,104.000,299.000,429.000,719.000,172.000,207.000,208.000,215.000,245.000,271.000,316.000,0.000,2368.600,2502.500,5178.000,2840.000,3297.000,4101.000,981.000,1418.000,891.000,946.000,1124.000,1106.000,1190.000,1133.000,9.930,7.550,2.130,2.830,1.090,2.430,3.400,2.940,2.420,2.870,3.470,3.960,2.870,-99999999.990
"ABC",74.700,78.300,94.400,75.000,77.700,112.000,23.400,30.700,40.100,34.400,33.900,33.600,45.300,38.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,10.470,10.520,9.710,10.040,8.610,2.830,8.700,7.180,2.910,6.310,10.540,8.710,9.720,9.680
"ABT",0.000,0.000,320.000,145.000,150.000,163.000,44.000,41.000,41.000,58.000,103.000,117.000,153.000,204.000,3724.400,1512.000,5783.200,1371.000,1292.000,1371.000,345.000,338.000,375.000,379.000,348.000,352.000,338.000,547.000,14.660,15.700,16.970,16.160,14.200,14.180,15.400,14.120,14.260,14.030,14.020,14.070,13.890,-99999999.990
"ACN",14.700,15.000,15.100,14.000,17.600,14.600,4.000,3.800,4.100,4.500,3.700,4.000,3.000,4.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,4.450,6.010,6.450,7.680,9.040,9.790,9.440,9.820,9.420,10.870,11.430,12.140,11.930,12.800
"ADBE",57.000,67.000,67.500,67.500,59.700,64.200,16.600,16.500,16.500,18.500,17.200,17.300,17.500,18.100,680.300,738.100,742.800,826.600,844.400,862.700,208.000,218.700,220.500,237.200,232.500,248.500,257.800,285.100,10.000,11.630,13.470,13.410,13.610,14.040,13.240,13.720,14.050,14.000,14.500,14.600,14.980,15.340
"ADI",10.400,19.100,26.400,27.100,34.800,27.000,6.900,6.800,6.700,13.100,18.500,18.500,38.800,42.600,492.300,505.600,1023.800,513.000,559.700,637.500,154.200,160.800,170.700,157.400,160.200,163.200,172.900,184.000,10.760,12.680,13.940,15.400,15.190,16.230,15.880,16.140,16.220,16.050,15.780,16.230,16.780,17.180
"ADM",482.000,441.000,213.000,413.000,337.000,308.000,81.000,85.000,69.000,73.000,70.000,65.000,78.000,80.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,29.300,27.020,28.670,30.490,29.980,28.960,29.440,29.720,29.190,29.830,30.080,29.870,29.930,29.660
"ADP",8.600,8.600,7.700,9.100,6.100,6.500,0.800,1.600,4.900,16.800,16.300,18.100,19.900,20.500,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,10.950,12.180,12.550,12.820,13.930,10.170,11.010,10.340,10.010,9.190,9.910,9.880,9.400,8.520
"ADS",318.300,298.600,291.500,305.500,260.500,330.200,80.700,82.100,89.400,98.800,103.700,108.300,117.700,125.200,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,0.440,3.470,10.570,17.400,42.510,32.490,31.640,31.710,32.920,29.120,29.420,30.600,28.890,24.180
"ADSK",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,496.200,1133.000,1200.000,611.100,725.200,790.000,194.500,193.100,197.900,204.500,193.500,193.000,192.600,187.000,7.070,8.270,9.020,10.100,9.770,7.170,9.790,8.380,7.690,7.210,6.420,5.970,4.770,3.300
