"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	5019.000	4914.000	4472.000	4202.000	4038.000	4048.000	3894.000	6858.000	2269.000	2223.000	2064.000	2002.000	2015.000	2072.000	1987.000	3254.000	2750.000	2691.000	2408.000	2200.000	2023.000	1976.000	1907.000	3604.000	402.000	385.000	339.000	329.000	326.000	353.000	337.000	668.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-15.000	-9999999999.990	-9999999999.990	4.000	20.000	34.000	0.000	4079.000	3971.000	3631.000	3587.000	3516.000	3629.000	3508.000	5739.000	940.000	943.000	841.000	615.000	522.000	419.000	386.000	1119.000	71.000	75.000	79.000	72.000	66.000	110.000	107.000	101.000	-83.000	-78.000	-41.000	-1.000	-24.000	80.000	-14.000	-25.000	952.000	946.000	803.000	544.000	480.000	229.000	293.000	1043.000	-184.000	78.000	119.000	82.000	42.000	-3.000	68.000	-110.000	1136.000	868.000	684.000	462.000	438.000	232.000	225.000	1153.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1136.000	868.000	684.000	462.000	438.000	232.000	225.000	1153.000	-9999999999.990	-552.000	0.000	0.000	-37.000	317.000	509.000	-9999999999.990	1117.000	316.000	684.000	462.000	401.000	549.000	734.000	1153.000	3.510	0.984	2.124	1.417	1.204	1.649	2.152	3.313	3.570	2.704	2.124	1.417	1.315	0.697	0.660	3.313	3.466	0.972	2.098	1.404	1.197	1.624	2.128	3.266	3.525	2.671	2.098	1.404	1.307	0.686	0.652	3.266	0.611	0.579	0.511	0.445	0.432	0.516	0.440	0.300
"Alcoa Corp"	"AA"	"N - New York"	"51  - Basic Materials"	"51201030 - Aluminum"	13032.000	13403.000	11652.000	9318.000	11199.000	13147.000	12573.000	-9999999999.990	9880.000	10081.000	9072.000	7898.000	9039.000	10548.000	11040.000	-9999999999.990	3152.000	3322.000	2580.000	1420.000	2160.000	2599.000	1533.000	-9999999999.990	30.000	31.000	32.000	33.000	69.000	95.000	86.000	-9999999999.990	711.000	733.000	750.000	718.000	780.000	954.000	1026.000	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	659.000	527.000	309.000	386.000	983.000	863.000	2443.000	-9999999999.990	11545.000	11620.000	10447.000	9326.000	11224.000	12843.000	15001.000	-9999999999.990	1487.000	1783.000	1205.000	-8.000	-25.000	304.000	-2428.000	-9999999999.990	126.000	122.000	104.000	243.000	270.000	309.000	305.000	-9999999999.990	84.000	64.000	-58.000	-89.000	42.000	58.000	14.000	-9999999999.990	1277.000	1597.000	1159.000	-162.000	-337.000	-63.000	-2747.000	-9999999999.990	738.000	726.000	578.000	184.000	402.000	284.000	123.000	-9999999999.990	539.000	871.000	581.000	-346.000	-739.000	-347.000	-2870.000	-9999999999.990	-661.000	-644.000	-342.000	-54.000	-124.000	91.000	-39.000	-9999999999.990	-122.000	227.000	239.000	-400.000	-863.000	-256.000	-2909.000	-9999999999.990	-9999999999.990	-9999999999.990	-22.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-122.000	227.000	217.000	-400.000	-863.000	-256.000	-2909.000	-9999999999.990	-0.662	1.220	1.179	-2.186	-4.730	-1.403	-15.943	-9999999999.990	-0.662	1.220	1.299	-2.186	-4.730	-1.403	-15.943	-9999999999.990	-0.672	1.201	1.160	-2.186	-4.730	-1.403	-15.943	-9999999999.990	-0.672	1.201	1.278	-2.186	-4.730	-1.403	-15.943	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	44724.000	44541.000	42622.000	40142.000	40990.000	42650.000	26743.000	24855.000	17687.000	17523.000	14994.000	13472.000	14705.000	19925.000	12932.000	15043.000	27037.000	27018.000	27628.000	26670.000	26285.000	22725.000	13811.000	9812.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	2187.000	2157.000	2017.000	1826.000	1607.000	1512.000	1021.000	1015.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	736.000	793.000	1446.000	723.000	1080.000	824.000	3222.000	2595.000	42124.000	41885.000	38391.000	35082.000	34786.000	38401.000	27999.000	26915.000	2600.000	2656.000	4231.000	5060.000	6204.000	4249.000	-1256.000	-2060.000	1063.000	1056.000	2106.000	1982.000	880.000	887.000	856.000	582.000	-319.000	-284.000	-1270.000	-1074.000	708.000	150.000	68.000	-197.000	1856.000	1884.000	3395.000	4152.000	4616.000	3212.000	-2180.000	-2445.000	446.000	472.000	1290.000	1568.000	-2994.000	330.000	-346.000	-569.000	1410.000	1412.000	2105.000	2584.000	7610.000	2882.000	-1834.000	-1876.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1410.000	1412.000	2105.000	2584.000	7610.000	2882.000	-1834.000	-1876.000	-9999999999.990	-9999999999.990	-823.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	1410.000	1412.000	1282.000	2584.000	7610.000	2882.000	-1834.000	-1876.000	3.061	3.042	2.621	4.679	11.386	4.017	-11.248	-14.980	3.061	3.042	4.303	4.679	11.386	4.017	-11.248	-14.980	3.054	3.032	2.607	4.647	11.071	3.926	-11.248	-14.980	3.054	3.032	4.281	4.647	11.071	3.926	-11.248	-14.980	0.400	0.400	0.400	0.400	0.400	0.200	0.000	0.000
"Aaron's, Inc."	"AAN"	"N - New York"	"53  - Consumer Cyclicals"	"53403050 - Retailers - Computer & Electronics"	3886.200	3828.900	3383.700	3207.700	3179.800	2695.000	2234.600	2212.800	178.100	194.000	258.900	295.200	372.800	354.600	361.900	409.000	3708.100	3634.900	3124.800	2912.500	2806.900	2340.400	1872.700	1803.900	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	1816.800	1822.100	1531.100	1386.700	1292.800	1018.200	633.500	606.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.900	22.500	20.000	20.200	0.000	37.300	33.300	-25.100	3612.900	3559.400	3129.000	2965.000	2943.800	2555.200	2047.600	1935.800	273.400	269.500	254.700	242.700	235.900	139.800	187.100	277.000	17.100	16.400	20.500	23.400	23.300	19.200	5.600	6.400	0.600	0.900	-5.400	0.900	-0.500	-1.100	-3.500	-6.200	255.800	252.200	239.600	218.400	213.100	121.700	185.000	276.900	56.400	56.500	84.000	79.100	77.400	43.500	64.300	103.800	199.300	195.700	155.500	139.300	135.700	78.200	120.700	173.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	199.300	195.700	155.500	139.300	135.700	78.200	120.700	173.000	-9999999999.990	0.500	137.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	200.000	196.200	292.500	139.300	135.700	78.200	120.700	173.000	2.930	2.838	4.130	1.925	1.870	1.081	1.593	2.282	2.920	2.831	2.196	1.925	1.870	1.081	1.593	2.282	2.872	2.779	4.056	1.908	1.858	1.076	1.580	2.252	2.862	2.772	2.157	1.908	1.858	1.076	1.580	2.252	0.130	0.125	0.113	0.103	0.094	0.086	0.072	0.062
"Applied Optoelectronics Inc"	"AAOI"	"M - Nasdaq"	"57  - Technology"	"57102010 - Communications & Networking"	254.900	267.500	382.300	260.700	189.900	130.400	78.400	63.400	180.700	179.700	216.000	173.800	129.500	86.200	55.400	44.500	74.300	87.800	166.300	87.000	60.500	44.200	23.000	18.900	49.400	49.900	35.400	31.800	20.900	16.000	8.500	7.600	0.400	0.500	0.500	0.500	0.400	0.400	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	279.800	278.200	295.400	237.700	176.500	125.300	78.700	63.200	-24.900	-10.800	87.000	23.000	13.400	5.100	-0.300	0.200	2.000	1.100	0.900	1.700	1.000	0.300	1.100	1.400	-3.000	-2.100	1.600	0.300	1.300	0.300	0.000	-0.300	-23.900	-9.800	84.500	21.000	11.200	4.500	-1.400	-0.900	-10.900	-9.400	15.600	-10.200	0.400	0.200	0.000	0.000	-13.000	-0.400	68.900	31.200	10.800	4.300	-1.400	-0.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-13.000	-0.400	68.900	31.200	10.800	4.300	-1.400	-0.900	-9999999999.990	-1.800	5.100	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-14.700	-2.100	74.000	31.200	10.800	4.300	-1.400	-0.900	-0.739	-0.109	3.872	1.816	0.691	0.299	-0.141	-0.075	-0.650	-0.019	3.607	1.816	0.691	0.299	-0.141	-0.075	-0.749	-0.109	3.672	1.763	0.653	0.282	-0.141	-0.075	-0.660	-0.019	3.420	1.763	0.653	0.282	-0.141	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"AAON, Inc."	"AAON"	"M - Nasdaq"	"52  - Industrials"	"52102030 - Electrical Components & Equipment"	448.700	433.900	405.200	384.000	358.600	356.300	321.100	303.100	334.800	330.400	281.800	265.900	250.000	248.100	231.300	232.600	113.900	103.500	123.400	118.100	108.700	108.300	89.800	70.500	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	1.000	1.000	0.700	0.800	0.900	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	383.600	378.200	331.100	304.400	287.300	288.300	265.300	258.900	65.000	55.800	74.100	79.600	71.300	68.000	55.800	44.200	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	-0.200	-0.100	-0.400	-0.400	0.000	-0.200	-0.500	-0.100	65.200	55.900	74.500	80.000	71.300	68.200	56.300	44.300	16.000	13.400	24.400	26.600	25.600	24.100	18.700	16.900	49.200	42.600	50.100	53.400	45.700	44.200	37.500	27.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	49.200	42.600	50.100	53.400	45.700	44.200	37.500	27.400	-9999999999.990	-9999999999.990	4.400	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	49.200	42.600	54.500	53.400	45.700	44.200	37.500	27.400	0.943	0.814	1.037	1.009	0.846	0.806	0.681	0.497	0.943	0.814	0.953	1.009	0.846	0.806	0.681	0.497	0.936	0.808	1.027	0.999	0.839	0.798	0.675	0.494	0.936	0.808	0.944	0.999	0.839	0.798	0.675	0.494	0.320	0.320	0.260	0.240	0.220	0.177	0.111	0.107
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	9658.700	9580.600	9373.800	9567.700	9737.000	9843.900	6493.800	6205.000	5400.300	5354.400	5288.700	5311.800	5314.200	5390.200	3241.700	3107.000	4258.400	4226.100	4085.000	4255.900	4422.800	4453.600	3252.100	3098.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	51.500	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	9044.800	8976.300	8803.600	8780.100	8911.200	8992.200	5833.500	5547.700	614.000	604.300	570.200	787.600	825.800	851.700	660.300	657.300	53.900	56.600	58.800	59.900	65.400	73.400	36.600	33.800	-4.800	-7.600	-8.800	-11.100	7.500	-3.100	-2.700	-0.600	565.000	555.300	520.300	738.800	752.900	781.400	626.400	624.100	115.600	137.100	188.600	279.200	279.500	287.600	234.600	236.400	449.400	418.200	331.700	459.600	473.400	493.800	391.800	387.700	-9999999999.990	-9999999999.990	-9999999999.990	-1.900	-1.700	-1.600	-0.900	-0.900	449.400	418.200	331.700	457.700	471.700	492.300	390.900	386.800	-9999999999.990	5.700	143.800	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	429.600	423.800	475.500	457.700	471.700	492.300	390.900	386.800	5.876	5.749	6.439	6.222	6.445	6.750	5.359	5.292	6.155	5.672	4.492	6.222	6.445	6.750	5.359	5.292	5.854	5.728	6.416	6.197	6.398	6.705	5.324	5.223	6.130	5.652	4.476	6.197	6.398	6.705	5.324	5.223	0.240	0.240	0.240	0.240	0.240	0.240	0.240	0.240
"Apple Inc."	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	258490.000	265595.000	229234.000	215639.000	233715.000	182795.000	170910.000	156508.000	160133.000	163756.000	141048.000	131376.000	140089.000	112258.000	106606.000	87846.000	98357.000	101839.000	88186.000	84263.000	93626.000	70537.000	64304.000	68662.000	15301.000	14236.000	11581.000	10045.000	8067.000	6041.000	4475.000	3381.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	192999.000	194697.000	167890.000	155615.000	162485.000	130292.000	121911.000	101267.000	65491.000	70898.000	61344.000	60024.000	71230.000	52503.000	48999.000	55241.000	3614.000	3240.000	2323.000	1456.000	733.000	384.000	136.000	-9999999999.990	-5527.000	-5245.000	-5068.000	-2804.000	-2018.000	-1364.000	-1292.000	-522.000	67404.000	72903.000	64089.000	61372.000	72515.000	53483.000	50155.000	55763.000	11334.000	11857.000	15738.000	15685.000	19121.000	13973.000	13118.000	14030.000	56070.000	61046.000	48351.000	45687.000	53394.000	39510.000	37037.000	41733.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56070.000	61046.000	48351.000	45687.000	53394.000	39510.000	37037.000	41733.000	-9999999999.990	-1515.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	57170.000	59531.000	48351.000	45687.000	53394.000	39510.000	37037.000	41733.000	11.990	12.013	9.268	8.351	9.280	6.492	5.718	6.378	11.761	12.319	9.268	8.351	9.280	6.492	5.718	6.378	11.894	11.906	9.207	8.306	9.217	6.453	5.679	6.306	11.667	12.209	9.207	8.306	9.217	6.453	5.679	6.306	2.920	2.720	2.400	2.180	1.980	1.812	1.629	0.379
"American Assets Trust, Inc"	"AAT"	"N - New York"	"55  - Financials"	"55403020 - REITs - Commercial"	335.500	330.900	315.000	295.100	275.600	260.000	255.100	235.500	122.300	121.500	116.700	107.900	98.000	91.200	90.000	86.100	213.100	209.400	198.300	187.200	177.600	168.800	165.100	149.400	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	94.400	107.100	83.300	71.300	63.400	66.600	66.800	61.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.200	240.000	251.300	221.300	197.100	181.500	176.300	174.000	163.700	95.400	79.500	93.600	97.900	94.200	83.700	81.100	71.800	51.800	52.200	53.800	51.900	47.300	53.000	58.000	57.300	0.500	0.100	-0.300	0.400	-7.000	-0.400	0.500	0.500	43.100	27.200	40.100	45.600	53.900	31.100	22.600	13.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.100	27.200	40.100	45.600	53.900	31.100	22.600	13.900	-11.900	-7.500	-11.100	-13.100	-15.400	-9.400	-7.400	-16.700	31.200	19.700	29.100	32.600	38.500	21.800	15.200	-2.700	0.000	-9999999999.990	-9999999999.990	0.000	0.000	0.000	0.000	37.700	31.200	19.700	29.100	32.600	38.500	21.800	15.200	34.900	0.665	0.419	0.622	0.719	0.867	0.517	0.385	0.902	0.665	0.419	0.622	0.719	0.867	0.517	0.385	-0.070	0.665	0.419	0.622	0.719	0.862	0.363	0.265	0.902	0.665	0.419	0.622	0.719	0.862	0.363	0.265	-0.070	1.100	1.090	1.050	1.010	0.948	0.893	0.850	0.840
"Atlas Air Worldwide Holdings,"	"AAWW"	"M - Nasdaq"	"52  - Industrials"	"52405010 - Courier, Postal, Air Freight & Land-based Logistics"	2767.400	2677.700	2156.500	1839.600	1822.700	1799.200	1656.900	1646.000	1307.000	1267.200	973.800	795.400	863.300	966.200	897.000	898.200	1460.400	1410.500	1182.700	1044.200	959.400	833.000	759.900	747.800	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	232.200	217.300	166.700	148.900	128.700	120.800	86.400	62.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-70.300	-111.600	17.300	35.200	87.100	15.100	24.200	0.600	2393.500	2271.100	1927.200	1674.300	1768.900	1623.200	1475.600	1420.100	373.900	406.700	229.300	165.300	53.800	176.000	181.300	225.900	118.900	114.700	92.300	81.300	95.700	103.800	81.300	45.800	-16.200	-17.400	-6.400	-5.500	-24.700	-17.400	-17.900	-25.200	271.100	309.400	143.400	89.400	-17.200	89.500	117.800	205.300	39.800	38.700	49.000	46.800	-24.500	-12.700	23.800	75.600	231.300	270.600	94.300	42.600	7.300	102.200	94.000	129.700	0.000	-9999999999.990	-9999999999.990	0.000	0.000	4.500	-0.200	0.200	231.300	270.600	94.300	42.600	7.300	106.800	93.800	129.900	-0.100	-0.100	129.100	-1.100	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	231.200	270.600	223.500	41.500	7.300	106.800	93.800	129.900	9.044	10.593	8.854	1.671	0.293	4.265	3.674	4.918	9.046	10.596	3.737	1.716	0.293	4.265	3.674	4.918	6.643	9.567	8.644	1.653	0.291	4.249	3.662	4.894	6.645	9.570	3.649	1.697	0.291	4.249	3.662	4.894	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
