Investment Company Institute																									
Long-Term Mutual Fund and Exchange-Traded Fund (ETF) Flows																									
"Millions, U.S. dollars"																									
																									
Date	Total LT MF and ETF flows		Equity						Hybrid		Bond						Commodity								
			Total		Domestic		World				Total		Taxable		Municipal										
																									
Monthly fund flows																									
01/31/2014 	"14,114"		"8,778"		"-6,835"		"15,613"		"3,011"		"3,370"		"2,814"		557		"-1,045"								
02/28/2014 	"53,146"		"20,853"		"9,672"		"11,181"		"5,839"		"25,610"		"23,884"		"1,726"		844								
03/31/2014 	"38,452"		"26,961"		"16,021"		"10,940"		"4,077"		"7,113"		"5,363"		"1,750"		301								
04/30/2014 	"39,318"		"23,280"		"8,881"		"14,400"		"5,011"		"12,046"		"10,543"		"1,503"		"-1,019"								
05/31/2014 	"28,743"		"1,614"		"-12,218"		"13,832"		"3,848"		"23,283"		"19,369"		"3,914"		-3								
06/30/2014 	"39,016"		"25,102"		"9,341"		"15,760"		"4,617"		"9,186"		"6,754"		"2,433"		111								
07/31/2014 	"25,404"		"9,810"		"-3,888"		"13,698"		"4,137"		"10,270"		"8,595"		"1,675"		"1,187"								
08/31/2014 	"23,679"		"7,787"		"-6,196"		"13,983"		"2,469"		"13,412"		"9,919"		"3,493"		11								
09/30/2014 	"-6,323"		"14,124"		"2,025"		"12,099"		"2,026"		"-21,197"		"-24,540"		"3,343"		"-1,276"								
10/31/2014 	"24,632"		"16,166"		"16,311"		-145		"-1,813"		"10,544"		"7,932"		"2,611"		-264								
11/30/2014 	"54,766"		"37,031"		"25,083"		"11,948"		"1,187"		"16,870"		"13,545"		"3,325"		-322								
12/31/2014 	"3,858"		"23,581"		"24,862"		"-1,281"		"-3,874"		"-15,901"		"-20,724"		"4,823"		52								
01/31/2015 	"21,827"		"-2,239"		"-14,465"		"12,225"		"2,768"		"17,535"		"12,339"		"5,197"		"3,763"								
02/28/2015 	"62,246"		"26,644"		"5,547"		"21,096"		"3,553"		"30,321"		"27,293"		"3,029"		"1,728"								
03/31/2015 	"41,494"		"34,024"		"-1,494"		"35,519"		"3,508"		"4,905"		"3,023"		"1,883"		-943								
04/30/2015 	"18,420"		"7,394"		"-34,681"		"42,076"		457		"11,027"		"10,256"		771		-459								
05/31/2015 	"13,427"		"8,402"		"-17,287"		"25,689"		"1,377"		"5,010"		"5,442"		-432		"-1,362"								
06/30/2015 	"23,529"		"17,443"		"-7,023"		"24,466"		232		"6,324"		"8,077"		"-1,753"		-470								
07/31/2015 	"3,762"		"7,038"		"-14,864"		"21,902"		"-1,242"		"-1,255"		-801		-455		-779								
