Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170502	5-2-2017	090741	CME 	00	090 	212012	63673	13871	5423	26418	26748	984	36924	97304	16589	27855	4528	1971	179838	167419	32174	44593	30201	10277	341	654	-897	7315	334	13025	13512	3223	2716	933	40	29372	26352	829	3849	100	30	6.5	2.6	12.5	12.6	0.5	17.4	45.9	7.8	13.1	2.1	0.9	84.8	79	15.2	21	125	9		7	11	12	6	24	45	22	14	7	5	70	95	39.1	20.8	53.2	31.1	37.4	20.8	51.5	31	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170425	4-25-2017	090741	CME 	00	090 	181811	53396	13531	4769	27315	19433	651	23900	83792	13366	25139	3595	1930	150465	141067	31346	40744	31986	15373	-2641	1030	216	5719	-504	6005	20605	2336	3322	577	-473	27304	26648	4682	5338	100	29.4	7.4	2.6	15	10.7	0.4	13.1	46.1	7.4	13.8	2	1.1	82.8	77.6	17.2	22.4	115	9		7	11	13	5	21	42	19	11	5	4	61	89	40	19.6	52.8	32	38.2	19.6	51	32	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170418	4-18-2017	090741	CME 	00	090 	149825	38022	16172	3740	27098	13714	1155	17895	63187	11030	21817	3018	2404	123161	114419	26664	35406	11904	3623	1489	577	881	4249	314	5422	2960	1715	1393	-27	-208	13718	11070	-1814	834	100	25.4	10.8	2.5	18.1	9.2	0.8	11.9	42.2	7.4	14.6	2	1.6	82.2	76.4	17.8	23.6	97	8		7	9	8	4	19	37	18	10	4	4	55	75	39.5	21.5	51.9	34.7	37	21.5	48.9	34.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170411	4-11-2017	090741	CME 	00	090 	137921	34399	14683	3163	26218	9465	841	12473	60227	9315	20424	3044	2611	109443	103349	28478	34572	-13100	4607	160	-1237	-617	357	-1465	-9526	-4718	-5271	-607	-8	-86	-14203	-12268	1103	-832	100	24.9	10.6	2.3	19	6.9	0.6	9	43.7	6.8	14.8	2.2	1.9	79.4	74.9	20.6	25.1	85	7		8	8	8	4	17	29	17	10	4	4	52	66	39.6	25.1	51.6	39.1	36.8	25.1	48.3	39.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170404	4-4-2017	090741	CME 	00	090 	151021	29792	14523	4400	26835	9108	2306	22000	64945	14586	21031	3052	2697	123647	115617	27374	35404	13246	5916	-188	1081	-1782	1108	-26	6099	8977	934	36	38	45	12302	11969	944	1277	100	19.7	9.6	2.9	17.8	6	1.5	14.6	43	9.7	13.9	2	1.8	81.9	76.6	18.1	23.4	97	7		8	10	7	5	20	36	18	10	4	4	56	76	34.5	23.2	48.7	36.4	31.7	23.2	45.2	36.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170328	3-28-2017	090741	CME 	00	090 	137775	23877	14711	3318	28617	8000	2333	15901	55968	13652	20995	3015	2652	111344	103648	26431	34127	2420	6431	51	-217	1408	-1257	77	-4717	3959	-208	-272	-7	130	2631	2528	-211	-108	100	17.3	10.7	2.4	20.8	5.8	1.7	11.5	40.6	9.9	15.2	2.2	1.9	80.8	75.2	19.2	24.8	93	7		7	11	6	5	19	33	20	10	4	5	57	73	35	23.4	45.8	37.9	32.4	23.4	42.8	37.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170321	3-21-2017	090741	CME 	00	090 	135355	17446	14660	3535	27210	9257	2256	20617	52009	13860	21267	3022	2522	108713	101120	26642	34235	-57512	8589	-18783	-24149	2011	-134	-1564	-40365	950	838	10347	-888	-11799	-56091	-55528	-1421	-1984	100	12.9	10.8	2.6	20.1	6.8	1.7	15.2	38.4	10.2	15.7	2.2	1.9	80.3	74.7	19.7	25.3	91	6		7	9	9	5	18	32	18	10	4	5	55	71	33.7	23.2	45.3	35.1	31.3	23.2	41.7	35.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170314	3-14-2017	090741	CME 	00	090 	192867	8857	33443	27684	25198	9391	3820	60983	51059	13021	10920	3909	14321	164804	156649	28063	36218	31164	3306	-17448	16970	-3121	1841	576	9187	17001	-3588	935	904	10819	35084	27075	-3920	4089	100	4.6	17.3	14.4	13.1	4.9	2	31.6	26.5	6.8	5.7	2	7.4	85.4	81.2	14.6	18.8	105	6	9	9	10	8	4	22	32	17	12	5	7	63	79	33.7	33.8	52.6	42.8	29	18.8	36.6	26.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170307	3-7-2017	090741	CME 	00	090 	161703	5551	50891	10714	28319	7550	3244	51796	34058	16609	9985	3005	3502	129720	129574	31983	32129	7517	3874	-19403	5879	-5413	808	-648	513	10764	3829	2256	931	613	10904	2773	-3387	4744	100	3.4	31.5	6.6	17.5	4.7	2	32	21.1	10.3	6.2	1.9	2.2	80.2	80.1	19.8	19.9	95		9	7	11	5	4	22	29	20	10	4	6	64	68	24.7	33.9	38.8	42.6	24	30.6	35.2	38.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170228	2-28-2017	090741	CME 	00	090 	154186	1677	70294	4835	33732	6742	3892	51282	23295	12780	7729	2074	2888	118816	126800	35370	27386	4741	112	-170	-1153	-863	511	47	6099	2991	1147	-1763	0	448	4074	3821	667	920	100	1.1	45.6	3.1	21.9	4.4	2.5	33.3	15.1	8.3	5	1.3	1.9	77.1	82.2	22.9	17.8	89		10	6	13	5	5	26	23	23	8		4	66	61	26.3	40.2	37.1	48.7	26.1	40	35.6	47.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
