Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180410	4-10-2018	090741	CME 	00	090 	149411	29700	6540	6005	32514	24155	4898	15710	55221	20360	9620	1014	396	119203	118589	30208	30822	-2001	2446	1909	-1224	822	1649	-395	-997	-1735	-1153	-1172	0	-19	-1692	-967	-309	-1034	100	19.9	4.4	4	21.8	16.2	3.3	10.5	37	13.6	6.4	0.7	0.3	79.8	79.4	20.2	20.6	94	11	4	10	11	11	5	15	31	19	8			62	69	25.5	22.4	36.8	33.7	23	22.3	33.2	33.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180403	4-3-2018	090741	CME 	00	090 	151412	27254	4631	7229	31693	22505	5293	16707	56956	21512	10792	1014	415	120895	119557	30517	31855	478	1671	1158	-1021	1967	1217	-783	-4878	959	677	78	0	-105	-2393	2103	2871	-1625	100	18	3.1	4.8	20.9	14.9	3.5	11	37.6	14.2	7.1	0.7	0.3	79.8	79	20.2	21	103	10	4	10	11	11	5	17	37	22	10		4	70	74	24.2	24.2	35	34.2	22.1	24	32	32.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180327	3-27-2018	090741	CME 	00	090 	150934	25583	3473	8250	29726	21288	6076	21585	55997	20835	10714	1014	520	123288	117454	27646	33480	-53778	22238	-47914	-17834	2309	1371	-262	-53275	14186	-287	-2	-646	-256	-47369	-51643	-6409	-2135	100	16.9	2.3	5.5	19.7	14.1	4	14.3	37.1	13.8	7.1	0.7	0.3	81.7	77.8	18.3	22.2	104	9	6	9	11	11	6	19	35	25	10		5	73	76	23.5	22	33.8	31.8	21.1	21.8	29.9	29.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180320	3-20-2018	090741	CME 	00	090 	204712	3345	51387	26084	27417	19917	6339	74859	41811	21122	10715	1660	776	170657	169096	34055	35616	29967	1326	-1682	12377	-1723	3620	1546	17692	10251	31	1544	646	114	32907	26903	-2940	3064	100	1.6	25.1	12.7	13.4	9.7	3.1	36.6	20.4	10.3	5.2	0.8	0.4	83.4	82.6	16.6	17.4	98	4	11	12	12	11	6	15	32	22	10		4	69	73	35	28.7	47.5	39.7	34.8	24	42.4	32.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180313	3-13-2018	090741	CME 	00	090 	174745	2019	53069	13707	29140	16297	4793	57167	31560	21091	9171	1014	662	137750	142193	36995	32552	9091	-897	-7370	5442	805	4268	-2270	5294	9537	-2061	954	-30	-121	7146	7396	1945	1695	100	1.2	30.4	7.8	16.7	9.3	2.7	32.7	18.1	12.1	5.2	0.6	0.4	78.8	81.4	21.2	18.6	91		11	11	13	10	5	17	29	20	8		4	64	67	33.8	27.4	45.1	39	30	25.9	38.8	34.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180306	3-6-2018	090741	CME 	00	090 	165654	2916	60439	8265	28335	12029	7063	51874	22022	23152	8217	1044	783	130605	134797	35049	30857	-2105	-1853	-17900	1486	-5316	1714	1515	1990	171	2819	1780	30	273	2694	-9893	-4799	7788	100	1.8	36.5	5	17.1	7.3	4.3	31.3	13.3	14	5	0.6	0.5	78.8	81.4	21.2	18.6	97		10	9	13	8	5	22	29	27	9	4	7	73	72	28.1	30	41.1	40.1	27.4	29.4	36.8	37.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180227	2-27-2018	090741	CME 	00	090 	167759	4769	78339	6778	33651	10315	5548	49884	21852	20333	6437	1014	510	127911	144690	39848	23069	3006	-1745	-9710	325	-2569	17	739	3200	6881	2174	1322	-440	-68	3378	-83	-372	3089	100	2.8	46.7	4	20.1	6.1	3.3	29.7	13	12.1	3.8	0.6	0.3	76.2	86.2	23.8	13.8	94		10	9	18	5	5	22	26	22	9		4	74	60	21.2	39.4	33.5	50	19.2	38.9	29.4	48.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180220	2-20-2018	090741	CME 	00	090 	164753	6514	88050	6454	36220	10298	4809	46684	14971	18159	5115	1454	578	124533	144773	40220	19980	-10303	-449	-7619	-351	-840	33	762	-12095	-3420	65	519	362	196	-12195	-9972	1892	-331	100	4	53.4	3.9	22	6.3	2.9	28.3	9.1	11	3.1	0.9	0.4	75.6	87.9	24.4	12.1	91		11	9	18	5	5	24	22	21	6			73	56	22.2	43.4	33.2	55.9	19.9	42.9	29.3	54.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180213	2-13-2018	090741	CME 	00	090 	175056	6963	95669	6805	37060	10265	4047	58779	18391	18094	4597	1092	382	136728	154745	38328	20311	-18522	-1401	-19039	-831	-9532	-67	-397	-652	4192	-2401	-22	0	-6	-15243	-18550	-3279	28	100	4	54.7	3.9	21.2	5.9	2.3	33.6	10.5	10.3	2.6	0.6	0.2	78.1	88.4	21.9	11.6	92		11	9	19	5	5	27	21	22	5			73	58	25.5	45.3	36	57.3	23.4	44.8	33.2	56	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	180206	2-6-2018	090741	CME 	00	090 	193578	8364	114708	7636	46592	10332	4445	59431	14198	20496	4619	1092	388	151971	173296	41607	20282	-7344	-2129	5851	1567	-77	-758	-785	-3763	-14115	2288	-1457	-684	-246	-4602	-6882	-2742	-462	100	4.3	59.3	3.9	24.1	5.3	2.3	30.7	7.3	10.6	2.4	0.6	0.2	78.5	89.5	21.5	10.5	100	5	12	10	21	5	5	28	21	21	6			83	56	26.4	49	36.7	61	24.6	48.4	33.8	59.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
