ATXR.IDX  	S&P C.S. Ga-Atlanta Home Price Index              	INDEX     
BOXR.IDX  	S&P C.S. Ma-Boston Home Price Index               	INDEX     
CEXR.IDX  	S&P C.S. Oh-Cleveland Home Price Index            	INDEX     
CHXR.IDX  	S&P C.S. Il-Chicago Home Price Index              	INDEX             
DAXR.IDX  	S&P C.S. Tx-Dallas Home Price Index               	INDEX     
DEXR.IDX  	S&P C.S. Mi-Detroit Home Price Index              	INDEX     
DNXR.IDX  	S&P C.S. Co-Denver Home Price Index               	INDEX     
LVXR.IDX  	S&P C.S. Nv-Las Vegas Home Price Index            	INDEX     
LXXR.IDX  	S&P C.S. Ca-Los Angeles Home Price Index          	INDEX     
MIXR.IDX  	S&P C.S. Fl-Miami Home Price Index                	INDEX     
MNXR.IDX  	S&P C.S. Mn-Minneapolis Home Price Index          	INDEX     
NYXR.IDX  	S&P C.S. Ny-New York Home Price Index             	INDEX     
PHXR.IDX  	S&P C.S. Az-Phoenix Home Price Index              	INDEX     
POXR.IDX  	S&P C.S. Or-Portland Home Price Index             	INDEX     
SEXR.IDX  	S&P C.S. Wa-Seattle Home Price Index              	INDEX     
SFXR.IDX  	S&P C.S. Ca-San Francisco Home Price Index        	INDEX     
SNXR.IDX  	S&P C.S. Ca-San Diego Home Price Index            	INDEX     
TPXR.IDX  	S&P C.S. Fl-Tampa Home Price Index                	INDEX     
WDXR.IDX  	S&P C.S. Dc-Washington Home Price Index           	INDEX     
