SCIS.IDX  	S&P GSCI North American Copper Index              	INDEX         
SG0A.IDX  	S&P GSCI Agriculture & Live Stock Index           	INDEX               
SG1E.IDX  	S&P GSCI Aluminum Index                           	INDEX     
SG1H.IDX  	S&P GSCI Soybean Oil Index                        	INDEX     
SG2A.IDX  	S&P GSCI Brent Crude Index                        	INDEX     
SG2D.IDX  	S&P GSCI Cocoa Index                              	INDEX     
SG2G.IDX  	S&P GSCI Coffee Index Co Index                    	INDEX     
SG3C.IDX  	S&P GSCI Corn Index                               	INDEX     
SG3F.IDX  	S&P GSCI Cotton Index                             	INDEX     
SG3I.IDX  	S&P GSCI Crude Oil Index                          	INDEX     
SG3J.IDX  	S&P GSCI Copper Index                             	INDEX         
SG4G.IDX  	S&P GSCI Feeder Cattle Index                      	INDEX     
SG5C.IDX  	S&P GSCI Gold Index                               	INDEX     
SG5F.IDX  	S&P GSCI Grains Index                             	INDEX     
SG5I.IDX  	S&P GSCI Heating Oil Index                        	INDEX     
SG5J.IDX  	S&P GSCI Gas Oil Index                            	INDEX     
SG6D.IDX  	S&P GSCI Kansas Wheat Index                       	INDEX     
SG6G.IDX  	S&P GSCI Lead Index                               	INDEX         
SG7F.IDX  	S&P GSCI Live Cattle Index                        	INDEX     
SG7J.IDX  	S&P GSCI Lean Hogs Index                          	INDEX     
SG8A.IDX  	S&P GSCI Natural Gas Index                        	INDEX     
SG8D.IDX  	S&P GSCI Nickel Index                             	INDEX             
SG9I.IDX  	S&P GSCI Petroleumex-Gas Oil Index                	INDEX            
SGJ.IDX   	S&P GSCI Energy                                   	INDEX     
SGK.IDX   	S&P GSCI Agriculture                              	INDEX                   
SGQB.IDX  	S&P GSCI Petroleum Index                          	INDEX              
SGSA.IDX  	S&P GSCI Silver Index                             	INDEX     
SGSD.IDX  	S&P GSCI Soybeans Index                           	INDEX     
SGSH.IDX  	S&P GSCI Sugar Index                              	INDEX        
SGSO.IDX  	S&P GSCI Unleaded Gasoline Index                  	INDEX     
SGSR.IDX  	S&P GSCI Wheat Index                              	INDEX     
SGSU.IDX  	S&P GSCI Zinc Index                               	INDEX                 
SGY.IDX   	S&P GSCI Industrial Metals                        	INDEX                   
SPAD.IDX  	S&P GSCI Palladium Index                          	INDEX     
SPIN.IDX  	S&P GSCI Platinum Index                           	INDEX            
SSGO.IDX  	S&P GSCI E27 WTI Index                            	INDEX         
