SAER.IDX  	S&P GSCI Agriculture Capped Component 35/20 EUR   	INDEX     
SAPT.IDX  	S&P GSCI All Metals Capped Commodity 35/20 EUR I  	INDEX     
SAUE.IDX  	S&P GSCI Agriculture Capped Component 35/20 EUR   	INDEX     
SBER.IDX  	S&P GSCI Biofuel Index Excess Return              	INDEX     
SBTR.IDX  	S&P GSCI Biofuel Index Total Return               	INDEX     
SCIR.IDX  	S&P GSCI North American Copper Index Excess Retu  	INDEX     
SCIS.IDX  	S&P GSCI North American Copper Index              	INDEX     
SCIT.IDX  	S&P GSCI North American Copper Index Total Retur  	INDEX     
SECA.IDX  	S&P GSCI Enhanced Commodity Index                 	INDEX     
SECB.IDX  	S&P GSCI Enhanced Commodity Index Excess Return   	INDEX     
SECC.IDX  	S&P GSCI Enhanced Commodity Index Total Return    	INDEX     
SG0A.IDX  	S&P GSCI Agriculture & Live Stock Index           	INDEX     
SG0B.IDX  	S&P GSCI Agriculture & Live Stock Index Excess R  	INDEX     
SG0C.IDX  	S&P GSCI Agriculture & Live Stock Index Total Re  	INDEX     
SG0D.IDX  	S&P GSCI Agriculture Index Excess Return          	INDEX     
SG0E.IDX  	S&P GSCI Agriculture Index Total Return           	INDEX     
SG0F.IDX  	S&P GSCI All Cattle Index                         	INDEX     
SG0G.IDX  	S&P GSCI All Cattle Index Excess Return           	INDEX     
SG0H.IDX  	S&P GSCI All Cattle Index Total Return            	INDEX     
SG0I.IDX  	S&P GSCI All Crude Index                          	INDEX     
SG1A.IDX  	S&P GSCI All Crude Index Total Return             	INDEX     
SG1B.IDX  	S&P GSCI All Wheat Index                          	INDEX     
SG1C.IDX  	S&P GSCI All Wheat Index Excess Return            	INDEX     
SG1D.IDX  	S&P GSCI All Wheat Index Total Return             	INDEX     
SG1E.IDX  	S&P GSCI Aluminum Index                           	INDEX     
SG1F.IDX  	S&P GSCI Aluminum Index Excess Return             	INDEX     
SG1G.IDX  	S&P GSCI Aluminum Index Total Return              	INDEX     
SG1H.IDX  	S&P GSCI Soybean Oil Index                        	INDEX     
SG1I.IDX  	S&P GSCI Soybean Oil Index Excess Return          	INDEX     
