AAXJ      	All Country Asia Ex Jpn Idx MSCI Ishares          	NASDAQ    
ACWF      	Ishares Factorselect MSCI Globa                   	AMEX      
ACWI      	ACWI Index MSCI Ishares                           	NASDAQ    
ACWV      	All Country World Min Vol MSCI Ishares            	AMEX      
ACWX      	ACWI Ex-US Index MSCI Ishares                     	NASDAQ    
ADZ       	DB Agriculture Short ETN Powershares              	AMEX      
AFK       	Africa Index ETF Market Vectors                   	AMEX      
AGA       	DB Agriculture Dble Short ETN Powershares         	AMEX      
AGF       	DB Agriculture Long ETN Powershares               	AMEX      
AGG       	Aggregate Bond Ishares                            	AMEX      
AGQ       	Ultra Silver Proshares                            	AMEX      
AGZ       	Agency Bond Ishares                               	AMEX      
AIA       	S&P Asia 50 Index Ishares                         	AMEX      
ALD       	Asia Local Debt ETF Wisdomtree                    	AMEX      
ANGL      	Fallen Angel HY Bond ETF Market Vectors           	AMEX      
AOA       	S&P Aggressive Allocation Ishares                 	AMEX      
AOK       	S&P Conservative Allocation Ishares               	AMEX      
AOM       	S&P Moderate Allocation Ishares                   	AMEX      
AOR       	S&P Growth Allocation Ishares                     	AMEX      
AXJV      	MSCI Asia Ex Japan Mini Ishares                   	AMEX      
BAB       	Build America Bond Powershares                    	AMEX      
BBH       	Biotech ETF Market Vectors                        	AMEX      
BDD       	DB Base Metals Dble Long ETN Powershares          	AMEX      
BDG       	DB Base Metals Long ETN Powershares               	AMEX      
BIB       	Ultra Nasdaq Biotechnology Proshares              	NASDAQ      
BIV       	Interm-Term Bond ETF Vanguard                     	AMEX      
BJK       	Gaming ETF Market Vectors                         	AMEX      
BKF       	BRIC Index MSCI Ishares                           	AMEX      
BKLN      	Senior Loan Portfolio Powershares                 	AMEX      
BLV       	Long-Term Bond Index ETF Vanguard                 	AMEX      
BND       	Total Bond Market ETF Vanguard                    	AMEX      
BOIL      	Ultra DJ-UBS Natural Gas Proshares                	AMEX      
BOM       	DB Base Metals Dble Short ETN Powershares         	AMEX      
BOND      	Total Return ETF Pimco                            	AMEX      
BOS       	DB Base Metals Short ETN Powershares              	AMEX      
BRF       	Brazil Smallcap ETF Market Vectors                	AMEX      
BSJG      	2016 HY C Bd ETF Bulletshares Guggenheim          	AMEX      
BSJH      	2017 HY C Bd ETF Bulletshares Guggenheim          	AMEX      
