ACIM      	ACWI IMI MSCI ETF SPDR                            	AMEX      
AFK       	Africa Index ETF Vaneck                           	AMEX      
ALD       	Asia Local Debt ETF Wisdomtree                    	AMEX      
ANGL      	Fallen Angel HY Bond ETF Vaneck                   	AMEX      
BIV       	Interm Term Bond ETF Vanguard                     	AMEX      
BJK       	Gaming ETF Vaneck                                 	AMEX      
BLV       	Long Term Bond Index ETF Vanguard                 	AMEX      
BOND      	Total Return ETF Pimco                            	AMEX      
BRF       	Brazil Smallcap ETF Vaneck                        	AMEX      
BSV       	Short-Term Bond ETF Vanguard                      	AMEX      
BWX       	Intl Treasury Bond ETF SPDR                       	AMEX      
BWZ       	Short-Term Intl Treasury Bond ETF SPDR            	AMEX      
CHEP      	US Value Fund Mkt Neutral ETF Quantshares         	AMEX      
CJNK      	Bofa Crossover Corp Bond ETF SPDR                 	AMEX      
CORP      	Invest Grade Corp Bd Index ETF Pimco              	AMEX      
CWI       	ACWI [Ex-Us] MSCI ETF SPDR                        	AMEX      
DGT       	Global Dow ETF SPDR                               	AMEX      
EBND      	EM Local Bond ETF Barclays Capital SPDR           	AMEX      
EDV       	Extended Dur Trs Idx ETF Vanguard                 	AMEX      
EEMX      	EM Fossil Fuel Reserves MSCI ETF SPDR             	AMEX      
EFAX      	EAFE Fossil Fuel Reserves Free MSCI ETF SPDR      	AMEX      
EGPT      	Egypt Index ETF Vaneck                            	AMEX      
EMLC      	Emrg Mkts Local Curr Bond ETF Vaneck              	AMEX      
EMTL      	EM Fixed Income ETF SPDR                          	AMEX      
ESGF      	Global ESG Revenue ETF Oppenheimer                	AMEX      
ESGL      	ESG Revenue ETF Oppenheimer                       	AMEX      
EVX       	Environmental Svcs ETF Vaneck                     	AMEX      
FCG       	Natural Gas ETF FT                                	AMEX      
FDRR      	Fidelity Dividend ETF For Rising Rates            	AMEX      
FEZ       	Euro Stoxx 50 ETF SPDR                            	AMEX      
FIW       	Water ETF FT                                      	AMEX      
FLM       	Global Engineering and Construction ETF FT        	AMEX      
FLRN      	Inv Growth Floating Rate ETF SPDR                 	AMEX      
FNI       	Chindia ETF FT                                    	AMEX      
FPE       	Preferred Securities and Income ETF FT            	AMEX      
FTLS      	Long/Short Equity ETF FT                          	AMEX      
FVL       	Value Line 100 ETF First Trust                    	AMEX      
GAL       	SSGA Global Allocation ETF SPDR                   	AMEX      
GDXJ      	Junior Gold Miners ETF Vaneck                     	AMEX      
GEX       	Global Alternatve Energy ETF Vaneck               	AMEX      
GHYB      	Access High Yield Corporate Bond ETF Goldman Sac  	AMEX      
GSEW      	Equal Weight U.S. Large Cap Equity ETF Goldman S  	AMEX      
HDMV      	Horizon Vol Dev Intl ETF FT                       	AMEX      
HILO      	Low Vol EM Dividend ETF Egshares                  	AMEX      
HUSV      	Horizon Vol Domestic ETF FT                       	AMEX      
HYD       	High Yld Muni ETF Vaneck                          	AMEX      
