ACWF      	Ishares Factorselect MSCI Globa                   	AMEX      
ACWV      	All Country World Min Vol MSCI Ishares            	AMEX      
AGG       	Aggregate Bond Ishares                            	AMEX      
AGZ       	Agency Bond Ishares                               	AMEX      
AIA       	S&P Asia 50 Index Ishares                         	AMEX      
AOA       	S&P Aggressive Allocation Ishares                 	AMEX      
AOK       	S&P Conservative Allocation Ishares               	AMEX      
AOM       	S&P Moderate Allocation Ishares                   	AMEX      
AOR       	S&P Growth Allocation Ishares                     	AMEX      
AXJV      	MSCI Asia Ex Japan Mini Ishares                   	AMEX      
BKF       	BRIC Index MSCI Ishares                           	AMEX      
BYLD      	Yield Optimized Bond Ishares                      	AMEX      
CEMB      	Emrg Mkts Corporate Bond Fund Ishares             	AMEX      
CIU       	Intermediate Credit Bd Ishares                    	AMEX      
CLY       	10+ Year Credit Bond Ishares                      	AMEX           
CMBS      	CMBS Bond Ishares                                 	AMEX      
CMDT      	DOW Jones-UBS Roll Select Ishares                 	AMEX      
CMF       	S&P CA Amt-Free Municipal Bd Ishares              	AMEX      
CRBN      	Ishares MSCI ACWI Low Carbon Ta                   	AMEX      
CRED      	Core US Credit Bond ETF Ishares                   	AMEX      
CSJ       	1-3 Year Credit Bond Ishares                      	AMEX      
DGRO      	Dividend Growth Ishares                           	AMEX      
DSI       	KLD 400 Social Index Ishares                      	AMEX      
DVY       	DJ Select Dividend Index Ishares                  	AMEX      
DVYA      	Asia Pacific Dividend 30 Ishares                  	AMEX      
DVYE      	Emrg Mkts Dividend Ishares                        	AMEX      
ECH       	Chile Investable Mkt Idx MSCI Ishares             	AMEX      
ECNS      	China Smallcap Index MSCI Ishares                 	AMEX      
EEM       	Emrg Mkts Index MSCI Ishares                      	AMEX      
EEMS      	Emrg Mkts Smallcap MSCI Ishares                   	AMEX      
EEMV      	Emrg Mkts Min Vol Idx MSCI Ishares                	AMEX      
EFA       	EAFE Index MSCI Ishares                           	AMEX           
EFG       	EAFE Growth Index MSCI Ishares                    	AMEX      
EFNL      	Finland Cp Investable Mkt Indx Fund MSCI Ishares  	AMEX      
EFV       	EAFE Value Index MSCI Ishares                     	AMEX      
EIDO      	Indonesia Invstble Mkt Idx MSCI Ishares           	AMEX      
EIRL      	Ireland Cppd Invstb Mkt Idx MSCI Ishares          	AMEX      
EIS       	Israel Cap Invest Mkt Index MSCI Ishares          	AMEX      
EMB       	USD Emrg Mkts Bond Ishares                        	AMEX           
EMHY      	Emrg Mkts High Yield Bond Fund Ishares            	AMEX      
EMHZ      	Ishares MSCI Emerging Markets H                   	AMEX      
ENOR      	Norway Capped Investable Mkt Idx Fd MSCI Ishares  	AMEX      
ENZL      	New Zealand Invstb Mkt Idx MSCI Ishares           	AMEX      
EPHE      	Philippines Invstb Mkt Idx MSCI Ishares           	AMEX      
EPOL      	Poland Investable Mkt Index MSCI Ishares          	AMEX      
EPP       	Pacific Ex-Japan MSCI Ishares                     	AMEX      
EPU       	All Peru Capped Index MSCI Ishares                	AMEX      
ERUS      	Russia Capped Index MSCI Ishares                  	AMEX      
EUMV      	MSCI Europe Minimum Vol Ishares                   	AMEX      
EUSA      	USA Index MSCI Ishares                            	AMEX      
EWA       	Australia Index MSCI Ishares                      	AMEX      
EWC       	Canada Index MSCI Ishares                         	AMEX      
EWD       	Sweden Index MSCI Ishares                         	AMEX      
EWG       	Germany Index MSCI Ishares                        	AMEX      
EWGS      	Germany Smallcap Index Fund MSCI Ishares          	AMEX      
EWH       	Hong Kong Index MSCI Ishares                      	AMEX      
EWI       	Italy Index MSCI Ishares                          	AMEX      
EWJ       	Japan Index MSCI Ishares                          	AMEX      
EWK       	Belgium Investable Mkt Idx MSCI Ishares           	AMEX      
EWL       	Switzerland Index MSCI Ishares                    	AMEX      
EWM       	Malaysia Index MSCI Ishares                       	AMEX      
EWN       	Netherlands Invstbl Mkt Idx MSCI Ishares          	AMEX      
EWO       	Austria Investable Mkt Idx MSCI Ishares           	AMEX      
EWP       	Spain Index MSCI Ishares                          	AMEX      
EWQ       	France Index MSCI Ishares                         	AMEX      
EWS       	Singapore Index MSCI Ishares                      	AMEX      
EWT       	Taiwan Index MSCI Ishares                         	AMEX      
EWU       	United Kingdom Index MSCI Ishares                 	AMEX      
EWUS      	United Kingdom Smallcap Index Fund MSCI Ishares   	AMEX      
EWW       	Mexico Investable Mkt Idx MSCI Ishares            	AMEX      
EWY       	South Korea Index MSCI Ishares                    	AMEX      
EWZ       	Brazil Index MSCI Ishares                         	AMEX      
EWZS      	Brazil Smallcap Index MSCI Ishares                	AMEX      
EXI       	S&P Global Industrials Ishares                    	AMEX      
EZA       	South Africa Index MSCI Ishares                   	AMEX      
EZU       	EMU Index MSCI Ishares                            	AMEX      
FILL      	Global Energy Producers MSCI Ishares              	AMEX      
FLOT      	Floating Rate Note Ishares                        	AMEX      
FM        	MSCI Frontier 100 Ishares                         	AMEX      
FTY       	FTSE Nareit Real Estate 50 Ishares                	AMEX      
FXI       	FTSE China 25 Index Fund Ishares                  	AMEX      
GBF       	Government/Credit Bond Ishares                    	AMEX      
GHYG      	Global High Yield Corporate Bond Fund Ishares     	AMEX      
GOVT      	Core US Treasury Bond ETF Ishares                 	AMEX      
GSG       	S&P GSCI Commodity-Indexed Trust Ishares          	AMEX      
GTIP      	Global Inflation-Linked Bond Fund Ishares         	AMEX      
GVI       	Interm Govt/Credit Bond Ishares                   	AMEX          
HYG       	Iboxx $ High Yield Corporate Bd Ishares           	AMEX           
HYXU      	Global Ex-US High Yield Corp Bond Fund Ishares    	AMEX      
IAI       	DJ US Broker-Dealers Ishares                      	AMEX      
IAK       	DJ US Insurance Ishares                           	AMEX      
IAT       	DJ US Regional Banks Ishares                      	AMEX      
IAU       	Gold Trust Ishares                                	AMEX                 
ICF       	Realty Majors Cohen & Steers Ishares              	AMEX      
ICOL      	MSCI Colombia Capped Ishares                      	AMEX      
ICSH      	Liquidity Income Ishares                          	AMEX      
ICVT      	Ishares Convertible Bond ETF                      	AMEX      
IDU       	DJ US Utilities Ishares                           	AMEX      
IDV       	DJ Intl Select Div Idx Ishares                    	AMEX      
IEF       	7-10 Yr Trsy Ishares                              	AMEX      
IEFA      	Core MSCI EAFE Ishares                            	AMEX      
IEI       	3-7 Year Treasury Bond Ishares                    	AMEX      
IEIL      	Enhanced International Ishares                    	AMEX      
IEIS      	Enhanced International Ishares                    	AMEX      
IELG      	Enhanced U.S. Large-Cap Ishares                   	AMEX      
IEMG      	Core MSCI Emerging Mkts Ishares                   	AMEX      
IEO       	DJ US Oil & Gas Ex Index Ishares                  	AMEX      
IESM      	Enhanced U.S. Small-Cap Ishares                   	AMEX      
IEUR      	Core Europe Ishares                               	AMEX      
IEV       	S&P Europe 350 Index Ishares                      	AMEX      
IEZ       	DJ US Oil Equipment Index Ishares                 	AMEX      
IGE       	S&P Natural Resources North Amer Ishares          	AMEX      
IGF       	S&P Global Infrastructure Index Ishares           	AMEX      
IGM       	S&P Technology North Amer Ishares                 	AMEX      
IGN       	S&P Tech-Multimd Ntwk North Amer Ishares          	AMEX      
IGV       	S&P Tech-Software North Amer Ishares              	AMEX      
IHE       	DJ US Pharmaceuticals Ishares                     	AMEX      
IHF       	DJ US Healthcare Provider Ishares                 	AMEX      
IHI       	DJ US Medical Devices Ishares                     	AMEX            
ILF       	S&P Latin Amer 40 Index Ishares                   	AMEX      
ILTB      	10+ Year Government/Credit Bond Ishares           	AMEX      
IMTM      	Ishares MSCI International Mome                   	AMEX      
INC       	Ishares U.S. Fixed Income Balan                   	AMEX      
INDA      	India Index Fund MSCI Ishares                     	AMEX      
INTF      	Ishares Factorselect MSCI Inter                   	AMEX      
IOO       	S&P Global 100 Index Ishares                      	AMEX      
IPAC      	Core Pacific Ishares                              	AMEX      
IPFF      	S&P Intl Preferred Stock Index Ishares            	AMEX      
IQLT      	Ishares MSCI International Deve                   	AMEX      
ISCF      	Ishares Factorselect MSCI Intl                    	AMEX      
ISTB      	Core Short-Term US Bond Ishares                   	AMEX      
ITA       	DJ US Aerospace & Defense Ishares                 	AMEX      
ITB       	DJ US Home Construction Ishares                   	AMEX      
ITIP      	Intl Inflation-Linked Bond Fund Ishares           	AMEX      
ITOT      	S&P 1500 Index Ishares                            	AMEX      
IUSB      	Universal Bond Ishares                            	AMEX      
IUSG      	Core US Growth Ishares                            	AMEX      
IUSV      	Core US Value ETF Ishares                         	AMEX      
IVE       	S&P 500 Value Index Ishares                       	AMEX      
IVLU      	Ishares MSCI International Deve                   	AMEX           
IXC       	S&P Global Energy Ishares                         	AMEX      
IXG       	S&P Global Financials Ishares                     	AMEX      
IXJ       	S&P Global Healthcare Ishares                     	AMEX      
IXN       	S&P Global Technology Ishares                     	AMEX      
IXP       	S&P Global Telecommunications Ishares             	AMEX      
IXUS      	Core MSCI Total Intl Ishares                      	AMEX      
IYC       	DJ US Consumer Services Ishares                   	AMEX      
IYE       	DJ US Energy Ishares                              	AMEX      
IYF       	DJ US Financial Sector Ishares                    	AMEX      
IYG       	DJ US Financial Services Ishares                  	AMEX      
IYH       	DJ US Healthcare Ishares                          	AMEX      
IYJ       	DJ US Industrial Ishares                          	AMEX      
IYK       	DJ US Consumer Goods Ishares                      	AMEX           
IYM       	DJ US Basic Materials Ishares                     	AMEX      
IYR       	DJ US Real Estate Ishares                         	AMEX      
IYT       	DJ Transportation Average Ishares                 	AMEX      
IYW       	DJ US Technology Ishares                          	AMEX      
IYY       	DJ US Index Ishares                               	AMEX      
IYZ       	DJ US Telecom Ishares                             	AMEX            
JPMV      	MSCI Japan Minimum Vola Ishares                   	AMEX      
JPXN      	Ishares Jpx-Nikkei 400 ETF                        	AMEX      
JXI       	S&P Global Utilities Ishares                      	AMEX      
KLD       	USA ESG Select Index MSCI Ishares                 	AMEX      
KSA       	Ishares MSCI Saudi Arabia Cappe                   	AMEX      
KXI       	S&P Global Consumer Staples Ishares               	AMEX      
LEMB      	Emrg Mkts Local Cur Bond Ishares                  	AMEX      
LQD       	Iboxx $ Invest Grade Corp Bond Ishares            	AMEX           
LRGF      	Ishares Factorselect MSCI USA E                   	AMEX      
MBB       	MBS Bond Ishares                                  	AMEX      
MCHI      	China Index MSCI Ishares                          	AMEX      
MEAR      	Ishares Short Maturity Municipa                   	AMEX      
MTUM      	MSCI USA Momentum Factor Ishares                  	AMEX      
MUB       	S&P National Amt-Free Muni Bd Ishares             	AMEX      
MXI       	S&P Global Materials Ishares                      	AMEX      
NEAR      	Short Maturity Bond Ishares                       	AMEX      
NYF       	S&P NY Amt-Free Municipal Bd Ishares              	AMEX      
OEF       	S&P 100 Index Ishares                             	AMEX      
PFF       	S&P US Preferred Stock Index Ishares              	AMEX      
PICK      	Global Sel Metals & Mining Prd MSCI Ishares       	AMEX           
QUAL      	MSCI USA Quality Factor Ishares                   	AMEX      
REET      	Ishares Trust Ishares Global Re                   	AMEX      
REM       	FTSE Nareit Mort Plus Cp Idx Ishares              	AMEX      
REZ       	FTSE Nareit Resid Plus Cp Idx Ishares             	AMEX      
RING      	Global Gold Miners MSCI Ishares                   	AMEX      
RXI       	S&P Global Cons Discretionary Ishares             	AMEX      
SCJ       	Japan Smallcap Index MSCI Ishares                 	AMEX      
SCZ       	EAFE Smallcap Index MSCI Ishares                  	AMEX      
SHV       	Short-Treasury Bond Ishares                       	AMEX      
SHY       	1-3 Year Treasury Bond Ishares                    	AMEX      
SHYG      	0-5 Year High Yield Core Ishares                  	AMEX      
SIZE      	MSCI USA Size Factor Ishares                      	AMEX      
SLQD      	0-5 Year Investment Grade Ishares                 	AMEX      
SLV       	Silver Trust Ishares                              	AMEX      
SLVP      	Global Silver Miners MSCI Ishares                 	AMEX      
SMIN      	India Smallcap Index Fund MSCI Ishares            	AMEX      
SMLF      	Ishares Factorselect MSCI USA S                   	AMEX      
STIP      	0-5 Year Tips Bond Ishares                        	AMEX      
SUB       	S&P S/T Natnl Amt-Free Muni Bd Ishares            	AMEX      
TFLO      	Treasury Floating Rate Ishares                    	AMEX      
THD       	Thailand Invest Mkt Index MSCI Ishares            	AMEX      
TIP       	Tips Bond Ishares                                 	AMEX      
TLH       	10-20 Year Treasury Bd Ishares                    	AMEX      
TLT       	20+ Year Trsy Bond Ishares                        	AMEX      
TOK       	Kokusai Index MSCI Ishares                        	AMEX      
TUR       	Turkey Invest Mkt Index MSCI Ishares              	AMEX      
URTH      	World Index MSCI Ishares                          	AMEX            
VEGI      	Global Agriculture Prod MSCI Ishares              	AMEX      
VLUE      	MSCI USA Value Factor Ishares                     	AMEX      
WPS       	S&P Dev Ex-US Property Index Ishares              	AMEX      
XT        	Ishares Exponential Technologie                   	AMEX            
AAXJ      	All Country Asia Ex Jpn Idx MSCI Ishares          	NASDAQ    
ACWI      	ACWI Index MSCI Ishares                           	NASDAQ    
ACWX      	ACWI Ex-US Index MSCI Ishares                     	NASDAQ    
COMT      	Ishares Commodities Select Stra                   	NASDAQ    
EEMA      	Emrg Mkts Asia MSCI Ishares                       	NASDAQ    
EEML      	Emrg Mkts Latin Amer MSCI Ishares                 	NASDAQ    
EMIF      	S&P Emrg Mkts Infrastructure Ishares              	NASDAQ    
EUFN      	Europe Financials Index MSCI Ishares              	NASDAQ    
GNMA      	GNMA Bond Ishares                                 	NASDAQ    
IBB       	Nasdaq Biotechnology Ishares                      	NASDAQ    
ICLN      	S&P Global Clean Energy Index Ishares             	NASDAQ    
IEUS      	Ishares Trust                                     	NASDAQ    
IFEU      	FTSE Epra/Nareit Dev EU Idx Ishares               	NASDAQ    
IFGL      	FTSE Epra/Nareit Dev Re Ex-US Ishares             	NASDAQ    
IGOV      	S&P/Citi Intl Treasury Bond Ishares               	NASDAQ    
INDY      	S&P India Nifty 50 Index Ishares                  	NASDAQ    
ISHG      	S&P/Citi 1-3 Yr Intl Treasury Bd Ishares          	NASDAQ    
QAT       	MSCI Qatar Capped Ishares                         	NASDAQ    
SOXX      	PHLX Sox Semiconductor Sector Ishares             	NASDAQ    
UAE       	Ishares MSCI UAE Capped ETF                       	NASDAQ    
WOOD      	S&P Global Timber & Forestry Idx Ishares          	NASDAQ    
