AGQ       	Ultra Silver Proshares                            	AMEX      
ALTS      	Mstar Alternative Solutions Proshares ETF         	AMEX      
BOIL      	Ultra DJ-UBS Natural Gas Proshares                	AMEX      
BZQ       	Ultrashort MSCI Brazil Proshares                  	AMEX      
COBO      	USD Covered Bond Proshares                        	AMEX      
CROC      	Ultrashort Australian Proshares                   	AMEX      
CSM       	Largecap Core Proshares Lus                       	AMEX      
DDG       	Oil & Gas Short Proshares                         	AMEX      
DDM       	Ultra DOW 30 Proshares                            	AMEX      
DIG       	Ultra Oil & Gas Proshares                         	AMEX      
DOG       	DOW 30 Short Proshares                            	AMEX      
DUG       	Ultrashort Oil & Gas Proshares                    	AMEX      
DXD       	Ultrashort DOW 30 Proshares                       	AMEX      
EET       	Ultra MSCI Emrg Mkts Proshares                    	AMEX      
EEV       	Ultrashort MSCI Emrg Mkts Proshares               	AMEX      
EFAD      	EAFE Dividend Growth Proshares ETF                	AMEX      
EFO       	Ultra MSCI EAFE Proshares                         	AMEX      
EFU       	Ultrashort MSCI EAFE Proshares                    	AMEX      
EFZ       	EAFE MSCI Short Proshares                         	AMEX      
EMDV      	Emerging Markets Proshares ETF                    	AMEX      
EMSH      	Short-Term USD EM Bond Proshares                  	AMEX      
EPV       	Ultrashort FTSE Europe Proshares                  	AMEX      
EUDV      	Europe Dividend Proshares ETF                     	AMEX      
EUFX      	Euro Short Proshares                              	AMEX      
EUM       	Emrg Mkts MSCI Short Proshares                    	AMEX      
EUO       	Ultrashort Euro Proshares                         	AMEX      
EWV       	Ultrashort MSCI Japan Proshares                   	AMEX      
EZJ       	Ultra MSCI Japan Proshares                        	AMEX      
FINU      	Ultrapro Financials Proshares                     	AMEX      
FINZ      	Ultrapro Short Financials Proshares               	AMEX      
FUT       	Managed Futures Strategy Proshares ETF            	AMEX      
FXP       	Ultrashort FTSE China 25 Proshares                	AMEX      
GDJJ      	Ultra Junior Miners Proshares                     	AMEX      
GDXS      	Ultrashort Gold Miner Proshares                   	AMEX      
