AAAAX     	Dws Rreef Real Assets Fund - Class A              	USMF      
AAADX     	Aberdeen Income Builder Fund - Class A            	USMF      
AAAGX     	Thrivent Large Cap Growth Fund Class A            	USMF      
AAAIX     	American Century Strategic Allocation Aggressiv   	USMF      
AAANX     	Horizon Active Asset Allocation Fund - Investor   	USMF      
AAAPX     	Dws Rreef Real Assets Fund - Class C              	USMF      
AAAQX     	Dws Rreef Real Assets Fund - Class R              	USMF      
AAARX     	American Century Strategic Allocation Aggressive  	USMF      
AAASX     	Dws Rreef Real Assets Fund - Class S              	USMF      
AAATX     	American Fds 2010 Target Date Retirement Fd Cl A  	USMF      
AAAUX     	American Century Strategic Allocation Aggressive  	USMF      
AAAVX     	Dws Rreef Real Assets Fund - Class R6             	USMF      
AAAWX     	Dws Rreef Real Assets Fund - Class T              	USMF      
AAAZX     	Dws Rreef Real Assets Fund - Class Institutional  	USMF      
AABAX     	Cavanal Hill Active Core Fd Cl A Shs              	USMF      
AABCX     	Putnam Dynamic Asset Allocation Balanced Class C  	USMF      
AABFX     	Thrivent Balanced Income Plus Fund Class A        	USMF      
AABOX     	Cavanal Hill Bond Fd Cl A Shs                     	USMF      
AABPX     	American Beacon Balanced Fund Investor Class      	USMF      
AABTX     	American Fds 2015 Target Date Retirement Fd Cl A  	USMF      
AABUX     	Allianzgi Best Styles U.S. Equity Fund Class A    	USMF      
AACBX     	Cavanal Hill Active Core Fund Class C Shares      	USMF      
AACCX     	American Century Strategic Allocation Conservat   	USMF      
AACDX     	American Century Strategic Allocation Conservati  	USMF      
AACFX     	Invesco Greater China Fund Cl A                   	USMF      
AACGX     	American Century Strategic Allocation Conservat   	USMF      
AACIX     	American Beacon Mid-Cap Value Fund Institutional  	USMF      
AACOX     	Opportunistic Fund Class C Shares                 	USMF      
AACRX     	American Century Strategic Allocation Conservati  	USMF      
AACTX     	American Fds 2020 Target Date Retirement Fd Cl A  	USMF      
AADAX     	Invesco Growth  Allocation Fund Class A           	USMF      
AADBX     	American Beacon Balanced Fund Institutional Clas  	USMF      
AADCX     	Invesco Growth Allocation Fund Class C            	USMF      
AADDX     	Aberdeen Income Builder Fund - Institutional Cla  	USMF      
AADEX     	American Beacon Large Cap Value Fund Institution  	USMF      
AADGX     	Aasgard Dividend Growth Small & Mid-Cap Fund      	USMF      
AADIX     	Invesco Growth Allocation Fund Class R5           	USMF      
AADRX     	Invesco Growth Allocation Fund Class R            	USMF      
AADSX     	Invesco Growth Allocation Fund Class S            	USMF      
AADTX     	American Fds 2025 Target Date Retirement Fd Cl A  	USMF      
AADYX     	Invesco Growth Allocation Fund Class Y            	USMF      
AAEMX     	The Alger Fds II Alger Emerging Markets Fund Cl   	USMF      
AAENX     	Strategic Enhanced Yield Fund Class A Shares      	USMF      
AAERX     	American Beacon International Equity Fund - R6 C  	USMF      
AAESX     	Invesco Growth Allocation Fund Class R6           	USMF      
AAETX     	American Fds 2030 Target Date Retirement Fd Cl A  	USMF      
AAFTX     	American Fds 2035 Target Date Retirement Fd Cl A  	USMF      
AAGOX     	Alger Portfolios - Alger Growth Portfolio Class   	USMF      
AAGPX     	American Beacon Large Cap Value Fund Investor Cl  	USMF      
AAGTX     	American Fds 2040 Target Date Retirement Fd Cl A  	USMF      
AAHMX     	Aberdeen High Yield Managed Duration Municipal F  	USMF      
AAHTX     	American Fds 2045 Target Date Retirement Fd Cl A  	USMF      
AAHYX     	Thrivent Diversified Income Plus Class A          	USMF      
AAIBX     	Cavanal Hill Moderate Duration Fd Cl A Shs        	USMF      
AAIEX     	American Beacon Intl Equity Fund Inst Class       	USMF      
AAIFX     	Crow Point Alternative Income Fund                	USMF      
AAIIX     	Ancora Income Fund Class I                        	USMF      
AAINX     	Thrivent Opportunity Income Plus Fund Class A     	USMF      
AAIPX     	American Beacon International Equity Fund Invest  	USMF      
AAISX     	American Beacon International Equity Fund Adviso  	USMF      
AALGX     	Thrivent Large Cap Stock Fund Class A             	USMF      
AALRX     	American Beacon Large Cap Value Fund - R6 Class   	USMF      
AALTX     	American Fds 2050 Target Date Retirement Fd Cl A  	USMF      
AAMAX     	Absolute Capital Asset Allocator Fund Class A     	USMF      
AAMBX     	Thrivent Municipal Bond Fund  Class A             	USMF      
AAMCX     	Absolute Capital Asset Allocator Fund Class Inv   	USMF      
AAMIX     	Absolute Capital Asset Allocator Fund Class Inst  	USMF      
AAMOX     	The Alger Portfolios - Alger Smid Cap Focus Port  	USMF      
AAMPX     	Allianzgi Micro Cap Fd Cl P                       	USMF      
AAMTX     	American Funds 2055 Target Date Retirement Fund   	USMF      
AANTX     	American Funds 2060 Target Date Retirement Fund   	USMF      
AAOPX     	Cavanal Hill Opportunistic Fd Cl A                	USMF      
AAPEX     	Aberdeen Asia-Pacific [Ex-Japan] Equity Fd Inst   	USMF      
AAPIX     	Aberdeen Asia-Pacific [Ex-Japan] Equity Fd Inst   	USMF      
AARAX     	Ab Cap Fund Inc. - Ab All Market Alternative Re   	USMF      
AARCX     	Ab Cap Fund Inc. - Ab All Market Alternative Re   	USMF      
AARMX     	American Independence Global Tactical Allocation  	USMF      
AARYX     	Ab Cap Fund Inc. - Ab All Market Alternative Re   	USMF      
AASCX     	Thrivent  Mid Cap Stock Fund Class A              	USMF      
AASMX     	Thrivent  Small Cap Stock Fund Class A            	USMF      
AASOX     	Alger Portfolios - Alger Smallcap Growth Portfol  	USMF      
AASRX     	American Beacon Small Cap Value Fund - R6 Class   	USMF      
AASSX     	American Beacon Small Cap Value Fund Advisor Cla  	USMF      
AASTX     	Cavanal Hill Limited Duration Fd Cl A Shs         	USMF      
AATIX     	Ancora/Thelen Small Mid-Cap Fund Class I          	USMF      
AATSX     	Ancora/Thelen Small-Mid Cap Fund Class S          	USMF      
AAUPX     	Allianzgi Ultra Micro Cap Fd Cl P                 	USMF      
AAUSX     	Ultra Short Tax-Free Income Fund Class A Shares   	USMF      
AAUTX     	Thrivent Large Cap Value Fund Class A             	USMF      
AAVPX     	Amg Managers Value Partners Asia Dividend Fund -  	USMF      
AAWEX     	Cavanal Hill World Energy Fund A Shs              	USMF      
AAWVX     	Mid Cap Core Equity Fund - Class A Shares         	USMF      
AAZAX     	Ab Municipal Income Fund II - Arizona Portfolio   	USMF      
AAZBX     	Ab Municipal Income Fund II - Arizona Portfolio   	USMF      
AAZCX     	Ab Municipal Income Fund II - Arizona Portfolio   	USMF      
ABAEX     	Ab Cap Fund Inc. - Ab Emerging Markets Multi-As   	USMF      
ABALX     	American Balanced Fund Class A Shs                	USMF      
ABAMX     	Allianzgi Retirement 2030 Fund Administrative Fu  	USMF      
ABASX     	Ab Trust - Ab Discovery Value Fund - Class A      	USMF      
ABBSX     	Ab Trust - Ab Discovery Value Fund - Class B      	USMF      
ABCAX     	American Beacon The London Company Income Equity  	USMF      
ABCCX     	American Beacon Balanced Fund C Class             	USMF      
ABCEX     	Ab Cap Fund Inc. - Ab Emerging Markets Multi-As   	USMF      
ABCIX     	American Beacon The London Company Income Equity  	USMF      
ABCSX     	Ab Trust - Ab Discovery Value Fund - Class C      	USMF      
ABCVX     	American Beacon The London Company Income Equity  	USMF      
ABCYX     	American Beacon The London Company Income Equity  	USMF      
ABDAX     	Columbia Capital Allocation Conservative Portfol  	USMF      
ABECX     	American Beacon The London Company Income Equity  	USMF      
ABEIX     	Aberdeen Tax-Free Income Fund Institutional Cla   	USMF      
ABEMX     	Aberdeen Emerging Markets Fund Insti Class        	USMF      
ABERX     	Aberdeen Tax-Free Income Fund Class R             	USMF      
ABESX     	Aberdeen Tax-Free Income Fund Institutional Ser   	USMF      
ABEYX     	American Beacon International Equity Fund Y Clas  	USMF      
ABFAX     	American Beacon Balanced Fund A Class             	USMF      
ABGNX     	American Century Balanced Fund - R5 Class         	USMF      
ABGTX     	Allianzgi Green Bondfund Institutional Class      	USMF      
