GE
Date,Open,High,Low,Close,Volume
20-Nov-2015,30.26,30.99,30.21,30.66,210579000
19-Nov-2015,30.38,30.51,30.25,30.27,98930000
18-Nov-2015,30.22,30.57,30.10,30.52,177707000
17-Nov-2015,30.57,30.75,30.00,30.32,431332600
16-Nov-2015,29.88,30.60,29.77,30.36,284626600
13-Nov-2015,29.86,30.49,29.81,30.28,247034400
12-Nov-2015,30.41,30.90,30.11,30.16,292715600
11-Nov-2015,30.20,30.82,30.20,30.67,197598700
10-Nov-2015,29.63,30.27,29.61,30.12,239465000
09-Nov-2015,29.76,29.95,29.38,29.75,145403400
06-Nov-2015,29.44,29.95,29.25,29.92,126109800
05-Nov-2015,29.47,29.74,29.31,29.64,122573800
04-Nov-2015,29.55,29.79,29.46,29.54,105126700
03-Nov-2015,29.21,29.79,29.18,29.59,95814900
02-Nov-2015,28.94,29.40,28.88,29.40,59504700
30-Oct-2015,29.22,29.33,28.91,28.92,71021300
29-Oct-2015,29.17,29.38,29.06,29.34,42373900
28-Oct-2015,29.33,29.58,29.15,29.39,71038200
27-Oct-2015,29.41,29.64,29.23,29.46,67606200
26-Oct-2015,29.52,29.66,29.41,29.55,48757400
23-Oct-2015,29.70,29.83,29.42,29.51,76858800
22-Oct-2015,28.95,29.74,28.91,29.58,81476300
21-Oct-2015,28.79,29.24,28.78,28.85,65519700
20-Oct-2015,28.82,29.00,28.70,28.78,75137800
19-Oct-2015,28.80,29.56,28.75,28.99,119910480
16-Oct-2015,28.61,29.19,28.22,28.98,142021200
15-Oct-2015,27.80,28.17,27.64,28.03,76978500
14-Oct-2015,27.74,27.84,27.48,27.60,39107800
13-Oct-2015,27.98,28.28,27.87,27.87,43203100
12-Oct-2015,27.98,28.17,27.91,28.09,25239600
09-Oct-2015,27.98,28.17,27.89,28.07,47305800
08-Oct-2015,27.63,28.20,27.43,28.03,51114600
07-Oct-2015,27.50,27.77,27.32,27.77,65845300
06-Oct-2015,26.99,27.41,26.96,27.29,71909400
05-Oct-2015,26.37,27.20,26.22,26.82,105423300
02-Oct-2015,24.87,25.49,24.83,25.47,42676200
01-Oct-2015,25.15,25.31,24.79,25.19,39723500
30-Sep-2015,24.73,25.24,24.69,25.22,43758200
29-Sep-2015,24.33,24.60,24.26,24.57,41587700
28-Sep-2015,24.69,24.74,24.31,24.31,42641200
25-Sep-2015,25.00,25.04,24.86,24.92,38950000
24-Sep-2015,24.87,25.45,24.65,24.91,53239500
23-Sep-2015,25.01,25.33,24.98,25.14,41189900
22-Sep-2015,24.76,25.16,24.60,25.11,44204900
21-Sep-2015,24.89,25.20,24.84,25.09,29618900
18-Sep-2015,25.15,25.21,24.71,24.80,77869300
17-Sep-2015,25.50,25.93,25.27,25.35,48844100
16-Sep-2015,25.53,26.03,25.42,25.93,61540000
15-Sep-2015,24.90,25.45,24.70,25.30,46334600
14-Sep-2015,24.97,24.98,24.60,24.77,26237600
11-Sep-2015,24.74,24.96,24.50,24.95,31903000
10-Sep-2015,24.56,24.86,24.50,24.68,35043100
09-Sep-2015,25.20,25.22,24.48,24.55,34611200
08-Sep-2015,24.51,24.98,24.27,24.96,46212800
07-Sep-2015,24.00,24.00,24.00,24.00,39603230
04-Sep-2015,24.18,24.18,23.85,24.00,35628300
03-Sep-2015,24.76,24.95,24.39,24.51,33564700
02-Sep-2015,24.14,24.58,23.83,24.57,50480800
01-Sep-2015,24.22,24.36,23.68,23.88,65344000
31-Aug-2015,24.98,24.98,24.58,24.82,37006800
28-Aug-2015,24.92,25.17,24.78,25.16,32942500
27-Aug-2015,24.43,25.01,24.38,25.01,64894100
26-Aug-2015,23.85,24.07,23.27,24.01,78965900
25-Aug-2015,24.73,24.74,23.27,23.27,60778000
24-Aug-2015,22.84,24.38,19.37,23.87,91236500
21-Aug-2015,24.90,25.13,24.56,24.59,65101800
20-Aug-2015,25.51,25.64,25.18,25.19,34645800
19-Aug-2015,25.90,26.03,25.62,25.73,29149800
18-Aug-2015,26.17,26.21,25.94,26.07,20348800
17-Aug-2015,25.95,26.24,25.80,26.21,19223700
14-Aug-2015,25.65,26.10,25.62,26.08,20786300
13-Aug-2015,25.77,25.91,25.62,25.79,16418600
12-Aug-2015,25.54,25.88,25.35,25.86,32656100
11-Aug-2015,26.03,26.03,25.64,25.71,28235300
10-Aug-2015,25.90,26.30,25.90,26.24,23479100
07-Aug-2015,25.95,26.06,25.61,25.79,25916100
06-Aug-2015,26.15,26.18,25.96,26.03,17298100
05-Aug-2015,26.09,26.33,26.03,26.10,25471400
04-Aug-2015,25.89,26.06,25.83,25.90,21985100
03-Aug-2015,26.12,26.13,25.60,25.87,32580300
