AADR      	Advisorshares Dorsey Wright ADR                   	AMEX      
AAMC      	Altisource Asset                                  	AMEX      
AAU       	Almaden Minerals                                  	AMEX      
ABE       	Aberdeen EM Smaller Company Fund                  	AMEX      
ACIM      	ACWI IMI MSCI ETF SPDR                            	AMEX      
ACSI      	American Customer Satisfaction Core Alpha ETF     	AMEX      
ACU       	Acme United Corporation                           	AMEX      
ACWF      	Ishares Global Multifactor ETF                    	AMEX      
ACWV      	All Country World Min Vol MSCI Ishares            	AMEX      
ACY       	Aerocentury Corp                                  	AMEX      
ADGE      	American Dg Energy Inc                            	AMEX      
ADK       	Adcare Health Systems Inc                         	AMEX      
ADK-A     	Adcare Health Systems Inc 10.87                   	AMEX      
ADZ       	DB Agriculture -1X ETN Powershares                	AMEX      
AE        	Adams Resources & Energy                          	AMEX      
AFK       	Africa Index ETF Vaneck                           	AMEX      
AFTY      	CSOP FTSE China A50 ETF                           	AMEX      
AGA       	DB Agriculture -2X ETN Powershares                	AMEX      
AGF       	DB Agriculture ETN Powershares                    	AMEX      
AGG       	Aggregate Bond Ishares                            	AMEX      
AGGE      	IQ Enhanced Core Bond U.S. ETF                    	AMEX      
AGGP      	IQ Enhanced Core Plus Bond U.S.                   	AMEX      
AGGY      	Wisdomtree Yield Enhcd US Agg Bond Fund           	AMEX      
AGQ       	Ultra Silver Proshares                            	AMEX      
AGT       	Ishares Argentina and Global Exposure ETF         	AMEX      
AGZ       	Agency Bond Ishares                               	AMEX      
AIII      	Acre Realty Investors Inc                         	AMEX      
AINC      	Ashford Inc                                       	AMEX      
AIRI      	Air Industries Group Inc                          	AMEX      
AKG       	Asanko Gold Inc                                   	AMEX      
ALD       	Asia Local Debt ETF Wisdomtree                    	AMEX      
ALFA      	Alphaclone Alternative Alpha ETF                  	AMEX      
ALFI      	Alphaclone International ETF                      	AMEX      
ALN       	American Lorain Corp                              	AMEX      
ALO       	Alio Gold Corp.                                   	AMEX      
ALTS      	Mstar Alternative Solutions Proshares ETF         	AMEX      
AMJ       	Alerian MLP Index ETN JP Morgan                   	AMEX      
AMJL      	X-Links Mthy Pay 2X Leveraged Alerian MLP         	AMEX      
AMLP      	Alps Alerian MLP ETF                              	AMEX      
AMPE      	Ampio Pharmaceutical                              	AMEX      
AMS       	American Shared Hospital Services                 	AMEX      
AMU       	Etracs Alerian MLP Index ETN                      	AMEX      
AMUB      	Etracs Alerian MLP ETN Series B                   	AMEX      
AMZA      	Infracap MLP ETF                                  	AMEX      
AND       	G-X FTSE Andean 40 ETF                            	AMEX      
ANGL      	Fallen Angel HY Bond ETF Vaneck                   	AMEX      
AOA       	S&P Aggressive Allocation Ishares                 	AMEX      
AOK       	S&P Conservative Allocation Ishares               	AMEX      
