A6        	Australian Dollar                                 	CME       
A6.C      	Australian Dollar Continuation                    	CME       
A6H18     	Australian Dollar {Mar 18}                        	CME       
A6H19     	Australian Dollar {Mar 19}                        	CME       
A6H20     	Australian Dollar {Mar 20}                        	CME       
A6H21     	Australian Dollar {Mar 21}                        	CME       
A6H22     	Australian Dollar {Mar 22}                        	CME       
A6J17     	Australian Dollar {Apr 17}                        	CME       
A6K17     	Australian Dollar {May 17}                        	CME       
A6M17     	Australian Dollar {Jun 17}                        	CME       
A6M18     	Australian Dollar {Jun 18}                        	CME       
A6M19     	Australian Dollar {Jun 19}                        	CME       
A6M20     	Australian Dollar {Jun 20}                        	CME       
A6M21     	Australian Dollar {Jun 21}                        	CME       
A6N17     	Australian Dollar {Jul 17}                        	CME       
A6Q17     	Australian Dollar {Aug 17}                        	CME       
A6U17     	Australian Dollar {Sep 17}                        	CME       
A6U18     	Australian Dollar {Sep 18}                        	CME       
A6U19     	Australian Dollar {Sep 19}                        	CME       
A6U20     	Australian Dollar {Sep 20}                        	CME       
A6U21     	Australian Dollar {Sep 21}                        	CME       
A6Z17     	Australian Dollar {Dec 17}                        	CME       
A6Z18     	Australian Dollar {Dec 18}                        	CME       
A6Z19     	Australian Dollar {Dec 19}                        	CME       
A6Z20     	Australian Dollar {Dec 20}                        	CME       
A6Z21     	Australian Dollar {Dec 21}                        	CME       
AD        	Australian Dollar(P)                              	CME       
AD.C      	Australian Dollar(P) Continuation                 	CME       
ADH18     	Australian Dollar(P) {Mar 18}                     	CME       
ADH19     	Australian Dollar(P) {Mar 19}                     	CME       
ADH20     	Australian Dollar(P) {Mar 20}                     	CME       
ADH21     	Australian Dollar(P) {Mar 21}                     	CME       
ADH22     	Australian Dollar(P) {Mar 22}                     	CME       
ADJ17     	Australian Dollar(P) {Apr 17}                     	CME       
ADK17     	Australian Dollar(P) {May 17}                     	CME       
ADM17     	Australian Dollar(P) {Jun 17}                     	CME       
ADM18     	Australian Dollar(P) {Jun 18}                     	CME       
ADM19     	Australian Dollar(P) {Jun 19}                     	CME       
ADM20     	Australian Dollar(P) {Jun 20}                     	CME       
ADM21     	Australian Dollar(P) {Jun 21}                     	CME       
ADN17     	Australian Dollar(P) {Jul 17}                     	CME       
ADQ17     	Australian Dollar(P) {Aug 17}                     	CME       
ADU17     	Australian Dollar(P) {Sep 17}                     	CME       
ADU18     	Australian Dollar(P) {Sep 18}                     	CME       
ADU19     	Australian Dollar(P) {Sep 19}                     	CME       
ADU20     	Australian Dollar(P) {Sep 20}                     	CME       
ADU21     	Australian Dollar(P) {Sep 21}                     	CME       
ADZ17     	Australian Dollar(P) {Dec 17}                     	CME       
ADZ18     	Australian Dollar(P) {Dec 18}                     	CME       
ADZ19     	Australian Dollar(P) {Dec 19}                     	CME       
ADZ20     	Australian Dollar(P) {Dec 20}                     	CME       
ADZ21     	Australian Dollar(P) {Dec 21}                     	CME       
B6        	British Pound                                     	CME       
B6.C      	British Pound Continuation                        	CME       
B6H18     	British Pound {Mar 18}                            	CME       
B6H19     	British Pound {Mar 19}                            	CME       
B6H20     	British Pound {Mar 20}                            	CME       
B6H21     	British Pound {Mar 21}                            	CME       
