AL        	Aluminum                                          	COMEX     
AL.C      	Aluminum Continuation                             	COMEX     
ALF17     	Aluminum {Jan 17}                                 	COMEX     
ALG17     	Aluminum {Feb 17}                                 	COMEX     
ALH17     	Aluminum {Mar 17}                                 	COMEX     
ALJ17     	Aluminum {Apr 17}                                 	COMEX     
ALK17     	Aluminum {May 17}                                 	COMEX     
ALM17     	Aluminum {Jun 17}                                 	COMEX     
ALN17     	Aluminum {Jul 17}                                 	COMEX     
ALQ17     	Aluminum {Aug 17}                                 	COMEX     
ALU17     	Aluminum {Sep 17}                                 	COMEX     
ALV16     	Aluminum {Oct 16}                                 	COMEX     
ALV17     	Aluminum {Oct 17}                                 	COMEX     
ALX16     	Aluminum {Nov 16}                                 	COMEX     
ALZ16     	Aluminum {Dec 16}                                 	COMEX     
GC        	Gold                                              	COMEX     
GC.C      	Gold Continuation                                 	COMEX     
GCF17     	Gold {Jan 17}                                     	COMEX     
GCG17     	Gold {Feb 17}                                     	COMEX     
GCG18     	Gold {Feb 18}                                     	COMEX     
GCJ17     	Gold {Apr 17}                                     	COMEX     
GCJ18     	Gold {Apr 18}                                     	COMEX     
GCM17     	Gold {Jun 17}                                     	COMEX     
GCM18     	Gold {Jun 18}                                     	COMEX     
GCM19     	Gold {Jun 19}                                     	COMEX     
GCM20     	Gold {Jun 20}                                     	COMEX     
GCM21     	Gold {Jun 21}                                     	COMEX     
GCM22     	Gold {Jun 22}                                     	COMEX     
GCQ17     	Gold {Aug 17}                                     	COMEX     
GCQ18     	Gold {Aug 18}                                     	COMEX     
GCV16     	Gold {Oct 16}                                     	COMEX     
GCV17     	Gold {Oct 17}                                     	COMEX     
GCX16     	Gold {Nov 16}                                     	COMEX     
GCZ16     	Gold {Dec 16}                                     	COMEX     
GCZ17     	Gold {Dec 17}                                     	COMEX     
GCZ18     	Gold {Dec 18}                                     	COMEX     
GCZ19     	Gold {Dec 19}                                     	COMEX     
GCZ20     	Gold {Dec 20}                                     	COMEX     
GCZ21     	Gold {Dec 21}                                     	COMEX     
GR.C      	E-Micro Gold Continuation                         	COMEX     
GRG17     	E-Micro Gold {Feb 17}                             	COMEX     
GRG18     	E-Micro Gold {Feb 18}                             	COMEX     
GRJ17     	E-Micro Gold {Apr 17}                             	COMEX     
GRJ18     	E-Micro Gold {Apr 18}                             	COMEX     
GRM17     	E-Micro Gold {Jun 17}                             	COMEX     
GRM18     	E-Micro Gold {Jun 18}                             	COMEX     
GRQ17     	E-Micro Gold {Aug 17}                             	COMEX     
GRQ18     	E-Micro Gold {Aug 18}                             	COMEX     
GRV16     	E-Micro Gold {Oct 16}                             	COMEX     
GRV17     	E-Micro Gold {Oct 17}                             	COMEX     
GRZ16     	E-Micro Gold {Dec 16}                             	COMEX     
GRZ17     	E-Micro Gold {Dec 17}                             	COMEX     
GW.C      	Gold Kilo Continuation                            	COMEX     
GWF17     	Gold Kilo {Jan 17}                                	COMEX     
GWG17     	Gold Kilo {Feb 17}                                	COMEX     
GWJ17     	Gold Kilo {Apr 17}                                	COMEX     
GWM17     	Gold Kilo {Jun 17}                                	COMEX     
GWQ17     	Gold Kilo {Aug 17}                                	COMEX     
GWV17     	Gold Kilo {Oct 17}                                	COMEX     
GWX16     	Gold Kilo {Nov 16}                                	COMEX     
