01NN      	TEMPLE BAR INVESTMENT TRUST 5 1/2% SECURED BDS 8/3/2021 GBP(VAR)	LSE       
01OO      	NORDIC INVESTMENT BANK 5.25% BDS 26/11/2019 GBP(VAR)	LSE       
06GG      	BARCLAYS BANK PLC UNDATED FLTG RATE PRIM CAP NOTES'2'USD	LSE       
07OZ      	HAMMERSON PLC 6.875% BDS 31/3/20 GBP(VAR)         	LSE       
08GG      	BARCLAYS BANK PLC UNDATED FLTG RATE PRIM CAP NTS`3` GBP BR	LSE       
0AH7      	BAYWA AG NPV(VINK)                                	LSE       
0AHI      	CRCAM NORD DE FRANCE EUR3.05                      	LSE       
0AI4      	CARLSBERG `B`DKK20                                	LSE       
0APM      	DANIELI & C EUR1                                  	LSE       
0B4R      	FUCHS PETROLUB AG NPV                             	LSE       
0B67      	GALP ENERGIA SGPS EUR1 CLS`B`                     	LSE       
0BD3      	HAFSLUND ASA NOK1`B`                              	LSE       
0BJP      	IMPREGILO SPA NPV                                 	LSE       
0BKH      	ITALCEMENTI(FABBR RIUN CEM)SPA EUR1               	LSE       
0BKR      	ITALMOBILIARE SPA EUR2.60                         	LSE       
0BNT      	KESKO OYJ NPV SER`B`                              	LSE       
0CHZ      	QSC AG NPV                                        	LSE       
0CIJ      	RAISIO YHTYMA OYJ NPV(CNV)`V`                     	LSE       
0CX9      	STORA ENSO OYJ SER`A`NPV(EURO QUOTE)              	LSE       
0CXC      	STORA ENSO OYJ SER`R`NPV                          	LSE       
0DHC      	CARL ZEISS MEDITEC AG NPV                         	LSE       
0DHJ      	AUTOGRILL SPA EUR0.52                             	LSE       
0DIJ      	AKER SEAFOODS ASA NOK5                            	LSE       
0DIP      	AKVA GROUP ASA NOK1                               	LSE       
0DJI      	ALM. BRAND DKK80                                  	LSE       
0DJV      	ALTRI SGPS S.A. EUR0.25                           	LSE       
0DK7      	AMANDA CAPITAL OYJ NPV                            	LSE       
0DK9      	AMADEUS AG PERSONALDIENSTLEI NPV                  	LSE       
0DKX      	AEDIFICA NPV                                      	LSE       
0DLI      	AMSTERDAM COMMODITIES NV EUR0.45                  	LSE       
0DME      	ASCOPIAVE SPA EUR1                                	LSE       
0DMQ      	ASTALDI EUR2                                      	LSE       
0DNH      	ATOS ORIGIN EUR1                                  	LSE       
0DNW      	AUSTEVOLL SEAFOOD ASA NOK0.50                     	LSE       
0DO4      	AVENIR FINANCE EUR0.6                             	LSE       
0DP0      	BANK PEKAO SA PLN1                                	LSE       
0DPB      	BAVARIAN NORDIC RESEARCH INDSTITUTE DKK10         	LSE       
0DPG      	BPI SOCIEDADE GESTORA PARTIC SOCIAI EUR1(REGD)    	LSE       
0DPM      	BECHTLE AG NPV                                    	LSE       
0DPU      	BELGACOM NPV                                      	LSE       
0DPW      	BARON DE LEY EUR0.60                              	LSE       
0DQ7      	BEIERSDORF AG NPV                                 	LSE       
0DQH      	BE SEMICONDUCTOR INDUSTRIES NV EUR0.91            	LSE       
0DQK      	BETER BED EUR0.02                                 	LSE       
0DQP      	BELVEDERE EUR2                                    	LSE       
0DQZ      	BANCA GENERALI EUR1                               	LSE       
0DRH      	BANK MILLENNIUM S.A. PLN1                         	LSE       
0DRM      	BANCA INTERMOBILIARE SPA EUR1                     	LSE       
0DRV      	BIOTEC PHARMACON NOK1                             	LSE       
0DSO      	BOLZONI SPA NPV                                   	LSE       
0DT1      	BANQUE NATIONALE DE BELGIQUE NPV                  	LSE       
0DTB      	BOCONCEPT HLDG SER`B`DKK10                        	LSE       
0DTF      	BOIRON EUR1                                       	LSE       
0DTI      	BONHEUR ASA NOK1.25                               	LSE       
0DUK      	BIESSE EUR1                                       	LSE       
0DVE      	BORUSSIA DORTMUND KGAA NPV                        	LSE       
0DVR      	BANK ZACHODNI WBK PLN10                           	LSE       
0DXG      	CROPENERGIES AG NPV                               	LSE       
0DYD      	CENTROTEC SUSTAINABLE NPV                         	LSE       
0DYQ      	CEGEDIM EUR0.9528                                 	LSE       
0DZC      	ACERIAS Y FORJAS DE AZCOITIA EUR0.25              	LSE       
0DZJ      	GROUPE CRIT EUR0.36                               	LSE       
0E1N      	DAVIDE CAMPARI EUR0.1                             	LSE       
0E1S      	CRAMO PLC NPV                                     	LSE       
0E1Y      	CHARGEURS EUR16                                   	LSE       
0E2L      	COMPTEL NPV                                       	LSE       
0E2N      	CITYCON OYJ NPV                                   	LSE       
0E3C      	DATALOGIC SPA EUR0.52                             	LSE       
0E40      	DEA CAPITAL SPA EUR1                              	LSE       
0E4J      	DELTICOM AG NPV (REGD)                            	LSE       
0E4K      	DEUTZ AG NPV                                      	LSE       
0E4Q      	DIAGENIC ASA NOK0.05                              	LSE       
0E5M      	DE LONGHI EUR3                                    	LSE       
0E5V      	DIGITAL MULTIMEDIA TECHNOLOGIES SPA ORD EUR0.10   	LSE       
0E64      	DO & CO RESTAURANTS & CATERUNG AG NPV             	LSE       
0E6Y      	DRILLISCH AG NPV                                  	LSE       
0E7S      	DEVOTEAM SA EUR0.15                               	LSE       
0E7Z      	EUROTECH SPA NPV                                  	LSE       
0E9S      	EKORNES NOK1(REGD)                                	LSE       
0E9V      	ENERGIEKONTOR AG NPV                              	LSE       
0EBQ      	ENAGAS SA EUR1.50                                 	LSE       
0EBV      	ENGINEERING INGEGNERIA INFORMATICA EUR2.55        	LSE       
0EDZ      	EUROBANK PROPERTIES REAL EST INV CO COM NPV       	LSE       
0EEE      	CTS EVENTIM NPV                                   	LSE       
0EEI      	EVN AG NPV                                        	LSE       
0EEV      	EXMAR SA NPV                                      	LSE       
0EEZ      	ATHENS WATER SUPPLY & SEWERAGE SA EUR0.60(REGD)   	LSE       
0EG8      	FINNAIR EUR0.85                                   	LSE       
0EGH      	FIERA MILANO EUR1                                 	LSE       
0EHB      	FNM SPA NPV                                       	LSE       
0EHF      	FRED OLSEN ENERGY ASA NOK20                       	LSE       
0EIE      	F-SECURE OYJ NPV                                  	LSE       
0EIT      	TIGENIX NV NPV                                    	LSE       
0EKE      	LINK SOLUTIONS FOR INDUSTRY EUR2                  	LSE       
0EKR      	GIMV NPV                                          	LSE       
0ELN      	BOURBON SA NPV                                    	LSE       
0ELV      	GUERBET EUR4                                      	LSE       
0EMK      	GAS PLUS SPA EUR0.52                              	LSE       
0ENN      	HORNBACH BAUMARKT AG NPV                          	LSE       
0EOF      	HEXAGON COMPOSITES ASA NOK0.10                    	LSE       
0EPM      	HOLLAND COLOURS ORD EUR2.27                       	LSE       
0EPW      	HOCHTIEF AG NPV                                   	LSE       
0EUH      	INDUS-HOLDING AG NPV                              	LSE       
0EVI      	INNATE PHARMA A EUR0.05                           	LSE       
0EW0      	INTESA SANPAOLO SPA DI RISP EUR0.52(NON CNV)      	LSE       
0EWD      	INTERPUMP GROUP EUR0.52                           	LSE       
0EWR      	INIT AG NPV                                       	LSE       
0EX7      	JENOPTIK AG NPV                                   	LSE       
0EXG      	JERONIMO MARTINS SGPS EUR1.                       	LSE       
0EXP      	JUNGHEINRICH NON VTG PRF SHS NPV                  	LSE       
0EYB      	KAS BANK N.V. CVA EUR1                            	LSE       
0EYG      	KBC GROUPE SA NPV                                 	LSE       
0F07      	KAUFMAN & BROAD EUR0.26                           	LSE       
0F08      	KONGSBERG GRUPPEN ASA NOK5                        	LSE       
0F1N      	KWS SAAT AG NPV                                   	LSE       
0F29      	LASSILA & TIKAN ORD NPV                           	LSE       
0F2Q      	LA DORIA SPA EUR1.22                              	LSE       
0F2Z      	LEIFHEIT AG NPV                                   	LSE       
0F4I      	KLEPIERRE EUR1.40                                 	LSE       
0F4O      	LOTUS BAKERIES ORD NPV                            	LSE       
0F6L      	MAUREL & PROM EUR0.77                             	LSE       
0F7F      	DURO FELGUERA EUR0.5                              	LSE       
0F89      	METSO OYJ NPV1.70                                 	LSE       
0F8T      	MAISONS FRANCE CONFORT NPV                        	LSE       
0F8V      	MGI COUTIER EUR8                                  	LSE       
0FA0      	MELEXIS NPV                                       	LSE       
0FB0      	MOTA ENGIL SGPS EUR1                              	LSE       
0FBS      	MOBISTAR NPV                                      	LSE       
0FC3      	METKA SA EUR0.32                                  	LSE       
0FC9      	MTU AERO ENGINES INVEST NPV (REGD)                	LSE       
