AJ.C      	AJC Continuation                                  	MGEX      
AJF17     	AJC {Jan 17}                                      	MGEX      
AJH17     	AJC {Mar 17}                                      	MGEX      
AJK17     	AJC {May 17}                                      	MGEX      
AJN16     	AJC {Jul 16}                                      	MGEX      
AJU16     	AJC {Sep 16}                                      	MGEX      
AJX16     	AJC {Nov 16}                                      	MGEX      
DW        	Durum Wheat                                       	MGEX      
IC        	NCI National Corn                                 	MGEX      
IC.C      	NCI National Corn Continuation                    	MGEX      
ICK16     	NCI National Corn {May 16}                        	MGEX      
ICM16     	NCI National Corn {Jun 16}                        	MGEX      
ICN16     	NCI National Corn {Jul 16}                        	MGEX      
IH        	HRWI Hard Red                                     	MGEX      
IH.C      	HRWI Hard Red Continuation                        	MGEX      
IHK16     	HRWI Hard Red {May 16}                            	MGEX      
IHM16     	HRWI Hard Red {Jun 16}                            	MGEX      
IHN16     	HRWI Hard Red {Jul 16}                            	MGEX      
IP        	HRSI Hard Red Spring                              	MGEX      
IP.C      	HRSI Hard Red Spring Continuation                 	MGEX      
IPK16     	HRSI Hard Red Spring {May 16}                     	MGEX      
IPM16     	HRSI Hard Red Spring {Jun 16}                     	MGEX      
IPN16     	HRSI Hard Red Spring {Jul 16}                     	MGEX      
IS        	NSI National Soybean                              	MGEX      
IS.C      	NSI National Soybean Continuation                 	MGEX      
ISK16     	NSI National Soybean {May 16}                     	MGEX      
ISM16     	NSI National Soybean {Jun 16}                     	MGEX      
ISN16     	NSI National Soybean {Jul 16}                     	MGEX      
IW        	SRWI Soft Red Wheat                               	MGEX      
IW.C      	SRWI Soft Red Wheat Continuation                  	MGEX      
IWK16     	SRWI Soft Red Wheat {May 16}                      	MGEX      
IWM16     	SRWI Soft Red Wheat {Jun 16}                      	MGEX      
IWN16     	SRWI Soft Red Wheat {Jul 16}                      	MGEX      
MW        	Spring Wheat                                      	MGEX      
MW.C      	Spring Wheat Continuation                         	MGEX      
MWH17     	Spring Wheat {Mar 17}                             	MGEX      
MWK17     	Spring Wheat {May 17}                             	MGEX      
MWN16     	Spring Wheat {Jul 16}                             	MGEX      
MWN17     	Spring Wheat {Jul 17}                             	MGEX      
MWU16     	Spring Wheat {Sep 16}                             	MGEX      
MWU17     	Spring Wheat {Sep 17}                             	MGEX      
MWZ16     	Spring Wheat {Dec 16}                             	MGEX      
MWZ17     	Spring Wheat {Dec 17}                             	MGEX      
NW        	White Wheat                                       	MGEX      
