ACE       	Acea Spa                                          	MLSE      
ACO       	Acotel Group                                      	MLSE      
AMP       	Amplifon Spa                                      	MLSE      
ASR       	A.s. Roma                                         	MLSE      
AST       	Astaldi Spa                                       	MLSE      
BE        	Beghelli Spa                                      	MLSE      
BSS       	Biesse                                            	MLSE      
BZU       	Buzzi Unicem Spa                                  	MLSE      
CAD       	Cad It                                            	MLSE      
CAI       	Cairo Comunication                                	MLSE      
CARR      	Carraro                                           	MLSE      
CASS      	Cattolica Ass                                     	MLSE      
CED       	Caltagirone Edit                                  	MLSE      
CHL       	Chl                                               	MLSE      
CLE       	Class Editori                                     	MLSE      
CMB       	Cembre                                            	MLSE      
CPR       	Davide Campari                                    	MLSE      
CSP       	Csp Int Calze                                     	MLSE      
DA        	Dada                                              	MLSE      
DAL       	Datalogic                                         	MLSE      
DIB       	Digital Bros                                      	MLSE      
DLG       	De'longhi                                         	MLSE      
ELN       	El En                                             	MLSE      
EM        	Emak Spa                                          	MLSE      
ENEL      	Enel SpA                                          	MLSE      
ENI       	Eni SpA                                           	MLSE      
ERG       	Erg                                               	MLSE      
EUE       	Ishares Euro STOX50                               	MLSE      
FDA       	Fidia                                             	MLSE      
GE        	Gefran Spa                                        	MLSE      
IF        	Banca Ifis                                        	MLSE      
IGV       	I Grandi Viaggi                                   	MLSE      
IP        	Interpump                                         	MLSE      
ITW       	It Way Spa                                        	MLSE      
JUVE      	Juventus Fc                                       	MLSE      
LDO       	La Doria                                          	MLSE      
LUX       	Luxottica                                         	MLSE      
MOL       	Gruppo MutuiOnline                                	MLSE      
MS        	Mediaset                                          	MLSE      
MTV       	Mondo Tv                                          	MLSE      
PAN       	Panariagroup Industrie Ceramiche                  	MLSE      
PRO       	Bca Profilo                                       	MLSE      
PRT       	Esprinet                                          	MLSE      
PSF       	Poligraf.s.faust                                  	MLSE      
REY       	Reply                                             	MLSE      
RIC       	Gr Cer Ricchetti                                  	MLSE      
RN        	Risan Napoli                                      	MLSE      
SAB       	Sabaf S.p.a                                       	MLSE      
SNA       	Snai Ord Spa                                      	MLSE      
SOL       	Sol Spa                                           	MLSE      
SRG       	Snam Rete Gas                                     	MLSE      
STM       	Stmicroelec NV                                    	MLSE      
TFI       	Trevi-fin Indust                                  	MLSE      
TIS       	Tiscali                                           	MLSE      
TOD       	Tod's                                             	MLSE      
VITI      	Vittoria                                          	MLSE      
