A9H19     	MSCI EAFE NTR Index {Mar 19}                      	NYBOT     
A9M19     	MSCI EAFE NTR Index {Jun 19}                      	NYBOT     
A9U19     	MSCI EAFE NTR Index {Sep 19}                      	NYBOT     
A9Z18     	MSCI EAFE NTR Index {Dec 18}                      	NYBOT     
A9Z19     	MSCI EAFE NTR Index {Dec 19}                      	NYBOT     
AFH19     	MSCI USA Value {Mar 19}                           	NYBOT     
AFM19     	MSCI USA Value {Jun 19}                           	NYBOT     
AFU19     	MSCI USA Value {Sep 19}                           	NYBOT     
AFZ18     	MSCI USA Value {Dec 18}                           	NYBOT     
AFZ19     	MSCI USA Value {Dec 19}                           	NYBOT     
AMH19     	MSCI EM Asia NTR {Mar 19}                         	NYBOT     
AMM19     	MSCI EM Asia NTR {Jun 19}                         	NYBOT     
AMU19     	MSCI EM Asia NTR {Sep 19}                         	NYBOT     
AMZ18     	MSCI EM Asia NTR {Dec 18}                         	NYBOT     
AMZ19     	MSCI EM Asia NTR {Dec 19}                         	NYBOT     
ANH19     	MSCI Euro Index {Mar 19}                          	NYBOT     
ANM19     	MSCI Euro Index {Jun 19}                          	NYBOT     
ANU19     	MSCI Euro Index {Sep 19}                          	NYBOT     
ANZ18     	MSCI Euro Index {Dec 18}                          	NYBOT     
ANZ19     	MSCI Euro Index {Dec 19}                          	NYBOT     
AOH19     	MSCI Pan-Euro Index {Mar 19}                      	NYBOT     
AOM19     	MSCI Pan-Euro Index {Jun 19}                      	NYBOT     
AOU19     	MSCI Pan-Euro Index {Sep 19}                      	NYBOT     
AOZ18     	MSCI Pan-Euro Index {Dec 18}                      	NYBOT     
AOZ19     	MSCI Pan-Euro Index {Dec 19}                      	NYBOT     
AR        	Aussie/New Zealand                                	NYBOT     
ARH19     	Aussie/New Zealand {Mar 19}                       	NYBOT     
ARM19     	Aussie/New Zealand {Jun 19}                       	NYBOT     
ARU19     	Aussie/New Zealand {Sep 19}                       	NYBOT     
ARZ18     	Aussie/New Zealand {Dec 18}                       	NYBOT     
AS        	Aussie/Canadian                                   	NYBOT     
ASH19     	Aussie/Canadian {Mar 19}                          	NYBOT     
ASM19     	Aussie/Canadian {Jun 19}                          	NYBOT     
ASU19     	Aussie/Canadian {Sep 19}                          	NYBOT     
ASZ18     	Aussie/Canadian {Dec 18}                          	NYBOT     
AU        	Australian Dollar                                 	NYBOT     
AUH19     	Australian Dollar {Mar 19}                        	NYBOT     
AUM19     	Australian Dollar {Jun 19}                        	NYBOT     
AUU19     	Australian Dollar {Sep 19}                        	NYBOT     
AUZ18     	Australian Dollar {Dec 18}                        	NYBOT     
CC        	Cocoa                                             	NYBOT     
CCH19     	Cocoa {Mar 19}                                    	NYBOT     
CCH20     	Cocoa {Mar 20}                                    	NYBOT     
CCK19     	Cocoa {May 19}                                    	NYBOT     
CCK20     	Cocoa {May 20}                                    	NYBOT     
CCN19     	Cocoa {Jul 19}                                    	NYBOT     
CCN20     	Cocoa {Jul 20}                                    	NYBOT     
CCU19     	Cocoa {Sep 19}                                    	NYBOT     
CCU20     	Cocoa {Sep 20}                                    	NYBOT     
CCZ18     	Cocoa {Dec 18}                                    	NYBOT     
CCZ19     	Cocoa {Dec 19}                                    	NYBOT     
CT        	Cotton #2                                         	NYBOT     
CTH19     	Cotton #2 {Mar 19}                                	NYBOT     
CTH20     	Cotton #2 {Mar 20}                                	NYBOT     
CTH21     	Cotton #2 {Mar 21}                                	NYBOT     
CTK19     	Cotton #2 {May 19}                                	NYBOT     
CTK20     	Cotton #2 {May 20}                                	NYBOT     
CTK21     	Cotton #2 {May 21}                                	NYBOT     
CTN19     	Cotton #2 {Jul 19}                                	NYBOT     
CTN20     	Cotton #2 {Jul 20}                                	NYBOT     
CTN21     	Cotton #2 {Jul 21}                                	NYBOT     
CTV19     	Cotton #2 {Oct 19}                                	NYBOT     
CTV20     	Cotton #2 {Oct 20}                                	NYBOT     
CTV21     	Cotton #2 {Oct 21}                                	NYBOT     
CTZ18     	Cotton #2 {Dec 18}                                	NYBOT     
CTZ19     	Cotton #2 {Dec 19}                                	NYBOT     
CTZ20     	Cotton #2 {Dec 20}                                	NYBOT     
DEH19     	MSCI EMI Index {Mar 19}                           	NYBOT     
DEH20     	MSCI EMI Index {Mar 20}                           	NYBOT     
DEH21     	MSCI EMI Index {Mar 21}                           	NYBOT     
DEM19     	MSCI EMI Index {Jun 19}                           	NYBOT     
DEM20     	MSCI EMI Index {Jun 20}                           	NYBOT     
DEM21     	MSCI EMI Index {Jun 21}                           	NYBOT     
DEU19     	MSCI EMI Index {Sep 19}                           	NYBOT     
DEU20     	MSCI EMI Index {Sep 20}                           	NYBOT     
DEU21     	MSCI EMI Index {Sep 21}                           	NYBOT     
DEZ18     	MSCI EMI Index {Dec 18}                           	NYBOT     
DEZ19     	MSCI EMI Index {Dec 19}                           	NYBOT     
DEZ20     	MSCI EMI Index {Dec 20}                           	NYBOT     
DIH19     	MSCI EAFE Index {Mar 19}                          	NYBOT     
DIH20     	MSCI EAFE Index {Mar 20}                          	NYBOT     
DIH21     	MSCI EAFE Index {Mar 21}                          	NYBOT     
DIM19     	MSCI EAFE Index {Jun 19}                          	NYBOT     
DIM20     	MSCI EAFE Index {Jun 20}                          	NYBOT     
DIM21     	MSCI EAFE Index {Jun 21}                          	NYBOT     
DIU19     	MSCI EAFE Index {Sep 19}                          	NYBOT     
DIU20     	MSCI EAFE Index {Sep 20}                          	NYBOT     
DIU21     	MSCI EAFE Index {Sep 21}                          	NYBOT     
DIZ18     	MSCI EAFE Index {Dec 18}                          	NYBOT     
DIZ19     	MSCI EAFE Index {Dec 19}                          	NYBOT     
DIZ20     	MSCI EAFE Index {Dec 20}                          	NYBOT     
DQH19     	MSCI USA Index {Mar 19}                           	NYBOT     
DQM19     	MSCI USA Index {Jun 19}                           	NYBOT     
DQU19     	MSCI USA Index {Sep 19}                           	NYBOT     
DQZ18     	MSCI USA Index {Dec 18}                           	NYBOT     
DQZ19     	MSCI USA Index {Dec 19}                           	NYBOT     
DX        	U.S. Dollar Index                                 	NYBOT     
DXH19     	U.S. Dollar Index {Mar 19}                        	NYBOT     
DXM19     	U.S. Dollar Index {Jun 19}                        	NYBOT     
DXU19     	U.S. Dollar Index {Sep 19}                        	NYBOT     
DXZ18     	U.S. Dollar Index {Dec 18}                        	NYBOT     
EHH19     	MSCI Europe Index {Mar 19}                        	NYBOT     
EHM19     	MSCI Europe Index {Jun 19}                        	NYBOT     
EHU19     	MSCI Europe Index {Sep 19}                        	NYBOT     
EHZ18     	MSCI Europe Index {Dec 18}                        	NYBOT     
EHZ19     	MSCI Europe Index {Dec 19}                        	NYBOT     
EJ        	Euro/Yen                                          	NYBOT     
EJH19     	Euro/Yen {Mar 19}                                 	NYBOT     
EJM19     	Euro/Yen {Jun 19}                                 	NYBOT     
EJU19     	Euro/Yen {Sep 19}                                 	NYBOT     
EJZ18     	Euro/Yen {Dec 18}                                 	NYBOT     
EK        	Krone/Krona                                       	NYBOT     
EKH19     	Krone/Krona {Mar 19}                              	NYBOT     
EKM19     	Krone/Krona {Jun 19}                              	NYBOT     
EKU19     	Krone/Krona {Sep 19}                              	NYBOT     
EKZ18     	Krone/Krona {Dec 18}                              	NYBOT     
ELH19     	MSCI Europe Growth {Mar 19}                       	NYBOT     
ELM19     	MSCI Europe Growth {Jun 19}                       	NYBOT     
ELU19     	MSCI Europe Growth {Sep 19}                       	NYBOT     
ELZ18     	MSCI Europe Growth {Dec 18}                       	NYBOT     
ELZ19     	MSCI Europe Growth {Dec 19}                       	NYBOT     
ENH19     	MSCI Europe Value {Mar 19}                        	NYBOT     
ENM19     	MSCI Europe Value {Jun 19}                        	NYBOT     
ENU19     	MSCI Europe Value {Sep 19}                        	NYBOT     
ENZ18     	MSCI Europe Value {Dec 18}                        	NYBOT     
ENZ19     	MSCI Europe Value {Dec 19}                        	NYBOT     
EP        	Euro/Canadian                                     	NYBOT     
EPH19     	Euro/Canadian {Mar 19}                            	NYBOT     
EPM19     	Euro/Canadian {Jun 19}                            	NYBOT     
EPU19     	Euro/Canadian {Sep 19}                            	NYBOT     
EPZ18     	Euro/Canadian {Dec 18}                            	NYBOT     
EQ        	Euro/Australian                                   	NYBOT     
EQH19     	Euro/Australian {Mar 19}                          	NYBOT     
EQM19     	Euro/Australian {Jun 19}                          	NYBOT     
EQU19     	Euro/Australian {Sep 19}                          	NYBOT     
EQZ18     	Euro/Australian {Dec 18}                          	NYBOT     
EU        	Euro Futures                                      	NYBOT     
EUH19     	Euro Futures {Mar 19}                             	NYBOT     
EUM19     	Euro Futures {Jun 19}                             	NYBOT     
EUU19     	Euro Futures {Sep 19}                             	NYBOT     
EUZ18     	Euro Futures {Dec 18}                             	NYBOT     
FGH19     	FANG Index {Mar 19}                               	NYBOT     
FGM19     	FANG Index {Jun 19}                               	NYBOT     
FGU19     	FANG Index {Sep 19}                               	NYBOT     
FGZ18     	FANG Index {Dec 18}                               	NYBOT     
G8H19     	ICE Gold Miners {Mar 19}                          	NYBOT     
G8M19     	ICE Gold Miners {Jun 19}                          	NYBOT     
G8U19     	ICE Gold Miners {Sep 19}                          	NYBOT     
G8Z18     	ICE Gold Miners {Dec 18}                          	NYBOT     
G8Z19     	ICE Gold Miners {Dec 19}                          	NYBOT     
GB        	Euro/Pound                                        	NYBOT     
GBH19     	Euro/Pound {Mar 19}                               	NYBOT     
GBM19     	Euro/Pound {Jun 19}                               	NYBOT     
GBU19     	Euro/Pound {Sep 19}                               	NYBOT     
GBZ18     	Euro/Pound {Dec 18}                               	NYBOT     
GN        	Pound/New Zealand                                 	NYBOT     
GNH19     	Pound/New Zealand {Mar 19}                        	NYBOT     
GNM19     	Pound/New Zealand {Jun 19}                        	NYBOT     
GNU19     	Pound/New Zealand {Sep 19}                        	NYBOT     
GNZ18     	Pound/New Zealand {Dec 18}                        	NYBOT     
GY        	Euro/Forint                                       	NYBOT     
GYH19     	Euro/Forint {Mar 19}                              	NYBOT     
GYM19     	Euro/Forint {Jun 19}                              	NYBOT     
GYU19     	Euro/Forint {Sep 19}                              	NYBOT     
GYZ18     	Euro/Forint {Dec 18}                              	NYBOT     
GZ        	Euro/Koruna                                       	NYBOT     
GZH19     	Euro/Koruna {Mar 19}                              	NYBOT     
GZM19     	Euro/Koruna {Jun 19}                              	NYBOT     
GZU19     	Euro/Koruna {Sep 19}                              	NYBOT     
GZZ18     	Euro/Koruna {Dec 18}                              	NYBOT     
H0        	Indian Rupee                                      	NYBOT     
H0F19     	Indian Rupee {Jan 19}                             	NYBOT     
H0G19     	Indian Rupee {Feb 19}                             	NYBOT     
H0H19     	Indian Rupee {Mar 19}                             	NYBOT     
H0J19     	Indian Rupee {Apr 19}                             	NYBOT     
H0K19     	Indian Rupee {May 19}                             	NYBOT     
