AABVF     	Aberdeen Intl Inc                                 	OTCBB     
AACAF     	Aac Tech Holdings                                 	OTCBB     
AACAY     	Aac Acoustic Tec ADR                              	OTCBB     
AACS      	American Comm Solut                               	OTCBB     
AACTF     	Act Aurora Ctl Tech                               	OTCBB     
AAEEF     	Altair Gold Inc                                   	OTCBB     
AAEH      	All American Energy Holding Inc                   	OTCBB     
AAGC      	All American Gld Crp                              	OTCBB     
AAGH      	America Great Health                              	OTCBB     
AAGIY     	Aia Group Ltd                                     	OTCBB     
AAIGF     	Aia Group Ltd                                     	OTCBB     
AAIIQ     	Alabama Aircraft Industries Inc                   	OTCBB     
AAIR      	Avantair Inc                                      	OTCBB     
AAMAF     	Atlas Mara                                        	OTCBB     
AAMTF     	Armada Mercantile Ltd                             	OTCBB     
AAPH      	American Petro-Hunt                               	OTCBB     
AAPJ      	Aap Inc                                           	OTCBB     
AAPT      	All American Pet Company Inc                      	OTCBB     
AASP      	All-Amer Sportpark                                	OTCBB     
AAST      	Royal Union Hldg Cor                              	OTCBB     
AATDF     	Aa Plc                                            	OTCBB     
AATGF     	Ati Airtest Tech Inc                              	OTCBB     
AATRL     	Amg Cap TR II                                     	OTCBB     
AATV      	Adaptive Ad Systems Inc                           	OTCBB     
AAUKF     	Anglo American Ord                                	OTCBB     
AAVXF     	Abivax S.A.                                       	OTCBB     
AAWC      	Alexandria Advantage Warranty Company             	OTCBB     
ABAKF     	Aberdeen Asia-Pc Inc                              	OTCBB     
ABBB      	Auburn Bancorp Inc                                	OTCBB     
ABBRF     	Abraplata Resource Corp                           	OTCBB     
ABBY      	Abby Inc                                          	OTCBB     
ABCAF     	Athabasca Minerals                                	OTCBB     
ABCCF     	Abcann Global                                     	OTCBB     
ABCE      	Abco Energy Inc                                   	OTCBB     
ABCFF     	Abacus Mng & Expl Cp                              	OTCBB     
ABCP      	Ambase Corp                                       	OTCBB     
ABCZF     	Abcam Plc                                         	OTCBB     
ABCZY     	Abcam Plc                                         	OTCBB     
ABDR      	Ambassador Food Svcs Corp                         	OTCBB     
ABGLF     	African Barrick Gold Plc                          	OTCBB     
ABGOF     	Abengoa S.A.                                      	OTCBB     
ABGOY     	Abengoa Sa ADR                                    	OTCBB     
ABHD      	Abtech Holdings Inc                               	OTCBB     
ABHI      	Ambicom Holdings Inc                              	OTCBB     
ABKI      	Abakan Inc                                        	OTCBB     
ABLE      	Able Energy Inc                                   	OTCBB     
ABLT      	Amer Biltrite Inc                                 	OTCBB     
ABLYF     	Ablynx Nv                                         	OTCBB     
ABLZF     	Abb Ltd Zuerich                                   	OTCBB     
ABMBF     	Abcourt Mines Inc Cl                              	OTCBB     
ABMC      	Amer Bio Medica                                   	OTCBB     
ABMT      	Advanced Biomedical                               	OTCBB     
ABNAF     	Aben Resources Ltd                                	OTCBB     
ABNK      	Altapacific Bank                                  	OTCBB     
ABPR      	Airborne Security and Protective Services Inc     	OTCBB     
ABRTY     	Abertis Infraestruct                              	OTCBB     
ABSCF     	Ab Science Paris                                  	OTCBB     
ABSSF     	Airboss of America Corp                           	OTCBB     
ABTO      	AB&T Financial Corp                               	OTCBB     
ABVG      	Affinity Beverage Group Inc.                      	OTCBB     
ABVN      	Abv Consulting Inc                                	OTCBB     
ABWN      	Airborne Wireless Network                         	OTCBB     
ABZPF     	Aboitiz Power Corp                                	OTCBB     
ACAN      	Americann Inc                                     	OTCBB     
ACAR      	Activecare Inc                                    	OTCBB     
ACAZF     	Acadian Timber                                    	OTCBB     
ACBFF     	Aurora Cannabis Inc                               	OTCBB     
ACCA      	Acacia Diversified                                	OTCBB     
ACCR      	Access Power Inc                                  	OTCBB     
ACCYY     	Accor S.A.                                        	OTCBB     
ACDSF     	Ascendas R E Inv TR                               	OTCBB     
ACDVF     	Air Canada                                        	OTCBB     
ACEHF     	Ace Hardware Indonesia Tbk Pt                     	OTCBB     
ACEZ      	Ariel Clean Energy Inc.                           	OTCBB     
ACFL      	Amc Financial Hldgs                               	OTCBB     
ACFN      	Acorn Energy                                      	OTCBB     
ACGBF     	Agricultural Bank                                 	OTCBB     
ACGBY     	Agricultural Bk Chin                              	OTCBB     
ACGI      	Amacore Group Cl A                                	OTCBB     
ACGPF     	Accell Group Nv Ord                               	OTCBB     
ACGX      	Alliance Creative Group Inc                       	OTCBB     
ACGYF     	Subsea 7 S.A.                                     	OTCBB     
