AB        	AB SCIENCE                                        	PAR       
ABCA      	ABC ARBITRAGE                                     	PAR       
ABIO      	                                                  	PAR       
AC        	ACCOR                                             	PAR       
ACA       	CREDIT AGRICOLE                                   	PAR       
ACAN      	ACANTHE DEV.                                      	PAR       
ADOC      	                                                  	PAR       
ADP       	ADP                                               	PAR       
ADVI      	ADVINI                                            	PAR       
AF        	AIR FRANCE -KLM                                   	PAR       
AFO       	AFONE                                             	PAR       
AGTA      	AGTA RECORD                                       	PAR       
AI        	AIR LIQUIDE                                       	PAR       
AIR       	Airbus Group                                      	PAR       
AKA       	AKKA TECHNOLOGIES                                 	PAR       
AKE       	ARKEMA                                            	PAR       
ALA2M     	A2MICILE EUROPE                                   	PAR       
ALACI     	ACCES INDUSTRIE                                   	PAR       
ALADA     	ADA                                               	PAR       
ALADM     	ADTHINK MEDIA                                     	PAR       
ALADO     	ADOMOS                                            	PAR       
ALAGR     	AGROGENERATION                                    	PAR       
ALALO     	ACHETER-LOUER.FR                                  	PAR       
ALANT     	ANTEVENIO                                         	PAR       
ALAST     	ASTELLIA                                          	PAR       
ALAUP     	AUPLATA                                           	PAR       
ALBDM     	BD MULTI MEDIA                                    	PAR       
ALBFR     	SIDETRADE                                         	PAR       
ALBIO     	BIOSYNEX EUR0.10                                  	PAR       
ALBRI     	BRICORAMA                                         	PAR       
ALBUD     	BUDGET TELECOM                                    	PAR       
ALCAR     	CARMAT                                            	PAR       
ALCLA     	CLASQUIN                                          	PAR       
ALCLS     	CELLECTIS                                         	PAR       
ALDAR     	DAMARTEX                                          	PAR       
ALDBL     	BERNARD LOISEAU                                   	PAR       
ALDEI     	DEINOVE                                           	PAR       
ALDLS     	D.L.S.I.                                          	PAR       
ALDMO     	DEMOS                                             	PAR       
ALDV      	ADC SIIC                                          	PAR       
ALEHT     	EXONHIT                                           	PAR       
ALENT     	ENTREPARTICULIERS                                 	PAR       
ALESK     	ESKER                                             	PAR       
ALFBA     	FASHION B AIR                                     	PAR       
ALFPC     	FOUNTAINE PAJOT                                   	PAR       
ALGAU     	GAUSSIN                                           	PAR       
ALGBE     	GLOBAL BIOENERGIES EUR0.05                        	PAR       
ALGCM     	GROUPE CONCOURSMANIA EUR0.20                      	PAR       
ALGEM     	EUROGERM                                          	PAR       
ALGEN     	GENOWAY                                           	PAR       
ALGIL     	GROUPE GUILLIN                                    	PAR       
ALHEO     	H2O INNOVATION INC                                	PAR       
ALHIT     	HITECHPROS                                        	PAR       
ALHOL     	HOLOSFIND                                         	PAR       
ALHPC     	HEURTEY PETROCHEM                                 	PAR       
ALHYG     	HYBRIGENICS                                       	PAR       
ALI2S     	I2S                                               	PAR       
ALIDS     	IDSUD                                             	PAR       
ALIMO     	GROUPIMO                                          	PAR       
ALINN     	MILLET INNOVATION                                 	PAR       
ALINT     	INTEGRAGEN                                        	PAR       
ALKEY     	KEYYO                                             	PAR       
ALLOG     	LOGIC INSTRUMENT                                  	PAR       
ALM       	ALPHA MOS                                         	PAR       
ALMAS     	MASTRAD                                           	PAR       
ALMDG     	MGI DIGITAL GRAPHI                                	PAR       
ALMDT     	MEDIANTECHNOLOGIES                                	PAR       
ALMED     	MEDICREA INTERNAT.                                	PAR       
ALMGI     	MG INTERNATIONAL                                  	PAR       
ALMIC     	MICROWAVE VISION                                  	PAR       
ALMIL     	1000MERCIS                                        	PAR       
ALNBT     	NETBOOSTER                                        	PAR       
ALNEV     	NEOVACS                                           	PAR       
ALO       	ALSTOM                                            	PAR       
ALOBR     	OBER                                              	PAR       
ALOCT     	OCTO TECHNOLOGY                                   	PAR       
ALODI     	O2I                                               	PAR       
ALORO     	OROLIA                                            	PAR       
ALP       	ADL PARTNER                                       	PAR       
ALPDX     	PISCINES DESJOYAUX                                	PAR       
ALPHX     	PHENIX SYSTEMS EUR1.00                            	PAR       
ALPHY     	ALES GROUPE                                       	PAR       
ALPRO     	PRODWARE                                          	PAR       
ALS30     	SOLUTIONS 30                                      	PAR       
ALSDL     	DL SOFTWARE                                       	PAR       
ALSIP     	SIPAREX CROISSANCE                                	PAR       
ALSOL     	CUSTOM SOLUTIONS                                  	PAR       
ALSPO     	SPOREVER                                          	PAR       
ALSTW     	STREAMWIDE                                        	PAR       
ALT       	ALTRAN TECHN.                                     	PAR       
ALTA      	ALTAREA                                           	PAR       
ALTEV     	ENVIRONNEMENT SA                                  	PAR       
ALTRI     	TRILOGIQ                                          	PAR       
ALTUR     	TURENNE INV                                       	PAR       
ALTVO     	EVOLIS                                            	PAR       
ALU       	ALCATEL-LUCENT                                    	PAR       
ALUCR     	UCAR EUR2.70                                      	PAR       
ALVDI     	VDI GROUP                                         	PAR       
ALVDM     	VOYAGEURS DU MONDE                                	PAR       
ALVEL     	VELCAN ENERGY                                     	PAR       
ALVER     	VERGNET                                           	PAR       
ALVMG     	VISIOMED GROUP EUR4                               	PAR       
ALWEB     	WEBORAMA                                          	PAR       
ALWED     	WEDIA                                             	PAR       
AM        	DASSAULT AVIATION                                 	PAR       
ANF       	ANF IMMOBILIER                                    	PAR       
APAM      	                                                  	PAR       
APR       	APRIL                                             	PAR       
AREIT     	ALTAREIT                                          	PAR       
AREVA     	AREVA                                             	PAR       
ARG       	ARGAN                                             	PAR       
ARTO      	ARTOIS NOM.                                       	PAR       
ASK       	                                                  	PAR       
ASP       	A.S.T. GROUPE                                     	PAR       
ASY       	ASSYSTEM                                          	PAR       
ATA       	ATARI                                             	PAR       
ATE       	ALTEN                                             	PAR       
ATEME     	                                                  	PAR       
ATI       	ACTIA GROUP                                       	PAR       
ATO       	ATOS                                              	PAR       
AUB       	AUBAY                                             	PAR       
AUGR      	AUGROS COSMETICS                                  	PAR       
AURE      	AUREA                                             	PAR       
AURS      	AURES TECHNOLOGIES                                	PAR       
AVQ       	AVANQUEST SOFTWARE                                	PAR       
AVT       	AVENIR TELECOM                                    	PAR       
AWOX      	                                                  	PAR       
AXW       	AXWAY SOFTWARE                                    	PAR       
BAIN      	BAINS MER MONACO                                  	PAR       
BB        	BIC                                               	PAR       
BCAM      	                                                  	PAR       
BCRA      	                                                  	PAR       
BELI      	BELIER                                            	PAR       
BEN       	BENETEAU                                          	PAR       
BIG       	BIGBEN INTERACTIVE                                	PAR       
BIGBS     	                                                  	PAR       
BIM       	BIOMERIEUX                                        	PAR       
BLC       	BASTIDE LE CONFORT                                	PAR       
BLUE      	                                                  	PAR       
BN        	DANONE                                            	PAR       
BND       	BUSINESS ET DECIS.                                	PAR       
BNP       	BNP PARIBAS ACT.A                                 	PAR       
BNS       	BENI STABILI                                      	PAR       
BOI       	BOIRON                                            	PAR       
BOL       	BOLLORE                                           	PAR       
BON       	BONDUELLE                                         	PAR       
BSD       	BOURSE DIRECT                                     	PAR       
BUI       	BARBARA BUI                                       	PAR       
BUR       	BURELLE                                           	PAR       
BVI       	BUREAU VERITAS                                    	PAR       
CA        	CARREFOUR                                         	PAR       
CAF       	CRCAM PARIS ET IDF                                	PAR       
CAFO      	CAFOM                                             	PAR       
CAP       	CAP GEMINI                                        	PAR       
CAPBS     	                                                  	PAR       
CAPLI     	CAPELLI                                           	PAR       
CARPD     	                                                  	PAR       
CAS       	CAST                                              	PAR       
CAT31     	CA TOULOUSE 31 CCI                                	PAR       
CATG      	                                                  	PAR       
CATR      	CATERPILLAR INC                                   	PAR       
CBOT      	                                                  	PAR       
CBSM      	SCBSM                                             	PAR       
CC        	CIC                                               	PAR       
CCE       	COCA-COLA ENTER                                   	PAR       
CCN       	CRCAM NORM.SEINE                                  	PAR       
CDA       	ALPES (COMPAGNIE)                                 	PAR       
CDI       	CHRISTIAN DIOR                                    	PAR       
CEN       	GROUPE CRIT                                       	PAR       
CFAO      	CFAO                                              	PAR       
CGD       	CEGID GROUP                                       	PAR       
CGG       	                                                  	PAR       
CGM       	CEGEDIM                                           	PAR       
CGR       	CEGEREAL                                          	PAR       
CIB       	CIBOX INTER A CTIV                                	PAR       
CIEM      	CIE MAROCAINE                                     	PAR       
CIV       	CRCAM ILLE-VIL.CCI                                	PAR       
CMO       	CRCAM MORBIHAN CCI                                	PAR       
CNF       	CRCAM NORD CCI                                    	PAR       
CNP       	CNP ASSURANCES                                    	PAR       
CO        	CASINO GUICHARD                                   	PAR       
COFA      	                                                  	PAR       
COH       	COHERIS                                           	PAR       
COM       	CNIM CONSTR.FRF 10                                	PAR       
COUR      	COURTOIS                                          	PAR       
COX       	NICOX                                             	PAR       
CRAP      	CRCAM ALP.PROV.CCI                                	PAR       
CRAV      	CRCAM ATL.VEND.CCI                                	PAR       
