3UIS	Nx09100w 190601
3UJS	Ny09100h 240901
40B	Smj International Holdingsltd.
40CW	Klw Holdings Ltd W170630
40D	Starburst Holdings Limited
40E	Spackman Entertainment Grp Ltd
40F	Alliance Mineral Assetslimited
40I	Terratech Group Limited
40N	Versalink Holdings Limited
40QW	Jubilee Industries W161109
40R	Serrano Limited
40S	Perennial Real Estate Hldgsltd
40T	Isec Healthcare Ltd.
40U	Ms Holdings Limited
40V	Singapore Edevelopment Ltd
40W	Zico Holdings Inc.
40XW	Singapore Edev Ltd W161230
41A	Ug Healthcare Corporation Ltd
41B	Huationg Global Limited
41C	Mm2 Asia Ltd.
41E	Ips Securex Holdings Limited
41F	Gss Energy Limited
41H	Blackgold Natural Resourcesltd
41O	Lhn Limited
41RW	Elektromotive Group W200505
41S	Magnus Energy Group Ltd.
41T	Gccp Resources Limited
41X	Singapore O&g Ltd.
42BW	Equation Summit Limitedw170802
42C	Ix Biopharma Ltd.
42D	Nauticawt Limited
42E	Choo Chiang Holdings Ltd.
42F	Cmc Infocomm Limited
42G	Soo Kee Group Ltd.
42H	Lereno Bio-chem Ltd.
42L	Tlv Holdings Limited
42MW	Metech International W171005
42N	Ips Securex Holdings Limited
42O	Ems Energy Limited
42PR	Asia-pacific Strategic Inv R
500	Tai Sin Electric Limited
502	Hsr Global Limited
504	Klw Holdings Ltd
505	Asiamedic Limited
508	Fuji Offset Plates Mfg Ltd
510	Hiap Seng Engineering Ltd
519	Top Global Limited
526	Hg Metal Manufacturing Ltd
528	Second Chance Properties Ltd
530	China Titanium Ltd.
532	Equation Corp Limited
533	Abr Holdings Limited
535	Vibropower Corporation Limited
539	Cph Ltd
540	Tung Lok Restaurants 2000 Ltd
541	Craft Print International Ltd
543	Noel Gifts International Ltd
544	Cse Global Ltd
545	Vallianz Holdings Limited
546	Medtecs International Corp Ltd
547	Nobel Design Holdings Ltd
554	King Wan Corporation Limited
557	Viking Offshore And Marine Ltd
558	Ums Holdings Limited
561	Teckwah Industrial Corp Ltd
564	Spindex Industries Limited
566	See Hup Seng Limited
567	Colex Holdings Limited
568	Baker Technology Limited
569	Vicplas International Ltd
570	Transit-mixed Concrete Ltd
571	International Press Softcom
573	Challenger Technologies Ltd
574	Tsh Corporation Limited
575	Asti Holdings Limited
578	Ks Energy Limited
579	Oceanus Group Limited
580	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
586	Tmc Education Corporation Ltd
588	Health Management Intl Ltd
591	Innovalues Limited
593	Lee Metal Group Ltd
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5AB	Trek 2000 Int'l Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AM	Asiatravel.com Holdings Ltd
5AU	Ap Oil International Limited
5BA	Vashion Group Ltd.
5BI	Carriernet Global Ltd
5BK	Koda Ltd
5BM	Mfs Technology Ltd
5BS	Pne Micron Holdings Ltd
5CB	Darco Water Technologies Ltd
5CF	Okp Holdings Limited
5CH	Dmx Technologies Group Ltd
5CJ	Chinese Global Investors Grp
5CN	Sinwa Limited
5CP	Silverlake Axis Ltd
5CQ	Technics Oil & Gas Limited
5CR	Asiatic Group (holdings) Ltd
5CT	Ecowise Holdings Limited
5DA	Breadtalk Group Limited
5DD	Micro-mechanics (holdings) Ltd
5DE	Ems Energy Limited
5DL	Koon Holdings Limited
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DW	Renewable Energy Asia Grp Ltd
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	Asiasons Wfg Financial Ltd.
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EK	Armarda Group Limited
5EL	Lasseters Intl Holdings Ltd
5EN	Midas Hldgs Limited
5ER	Best World International Ltd
5ET	Asiasons Capital Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5F3W	Yhm Group Limited W161103
5F4	Figtree Holdings Limited
5F7	Hartawan Hldgs Ltd
5FA	Jep Holdings Ltd.
5FH	Advance Sct Limited
5FI	Oriental Food (holdings) Ltd.
5FL	Falcon Energy Group Limited
5FQ	Select Group Limited
5FR	Etika International Hldgs Ltd
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5G1	Eurosports Global Limited
5G2	Kimheng Offshore&marine Hldltd
5G3	Talkmed Group Limited
5G4	Infinio Group Limited
5G9	Tritech Group Limited
5GC	Cna Group Ltd.
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5H0	Singhaiyi Group Ltd.
5H1W	We Holdings Ltd W160318
5H7W	Tritech Group Limited W190329
5HC	Ntegrator International Ltd
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HJ	Cityneon Holdings Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5I0	Qt Vascular Ltd.
5I1	Kop Limited
5I2W	Asia-pacific Strategic W190506
5I3	Jason Holdings Limited
5I4	Icp Ltd
5IA	Advanced Holdings Ltd.
5IB	Albedo Limited
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KI	Soup Restaurant Group Limited
5KK	China Yongsheng Limited
5KT	Fujian Zhenyun Plas Ind Co Ltd
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MD	Soon Lian Holdings Limited
5ME	Ezion Holdings Limited
5ML	Old Chang Kee Ltd.
5MM	Sky One Holdings Limited
5MQ	Epicentre Holdings Limited
5MS	Memstar Technology Ltd.
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NK	Artivision Technologies Ltd.
5NV	Chasen Holdings Limited
5OC	Koyo International Limited
5OF	Westminster Travel Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OS	Jlj Holdings Limited
5OT	Singapore Medical Group Ltd
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5OY	Latitude Tree Intl Group Ltd.
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PI	Plato Capital Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QR	Mann Seng Metal Intl Limited
5QT	China Enersave Ltd
5QY	Net Pacific Fin Hldgs Ltd
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5RJ	We Holdings Ltd.
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SUW	Duty Free Intl Ltd W160106
5SXW	Goodland Group Limited W160217
5SY	Chew's Group Limited
5TG	800 Super Holdings Limited
