A         	Armor Minerals Inc                                	TSXV      
AA        	Alba Minerals Inc                                 	TSXV      
AAA.P     	Avanco Capital Corp                               	TSXV      
AAD       	Added Capital Inc                                 	TSXV      
AAL       	Advantage Lithium Corp                            	TSXV      
AAN       	Aton Resources Inc                                	TSXV      
AAO       	Augusta Industries Inc                            	TSXV      
AAP       	Alpha Peak Leisure Inc                            	TSXV      
AAT       	Ati Airtest Technologies Inc                      	TSXV      
AAX       	Advance Gold Corp                                 	TSXV      
AAZ       	Azincourt Uranium Inc                             	TSXV      
ABCN      	Abcann Global Corp                                	TSXV      
ABE       	Abe Resources Inc                                 	TSXV      
ABI       	Abcourt Mines Inc                                 	TSXV      
ABM       	Athabasca Minerals Inc                            	TSXV      
ABN       	Aben Resources Ltd                                	TSXV      
ABR       	Ashburton Ventures Inc                            	TSXV      
ABRA      	Abraplata Resource Corp                           	TSXV      
ABZ       	Asiabasemetals Inc                                	TSXV      
ACA.P     	Apolo Acquisition Corp                            	TSXV      
ACE.H     	Ace Aviation Holdings Inc                         	TSXV      
ACP       	Arcpacific Resources Corp                         	TSXV      
ACS       	Archon Minerals Limited                           	TSXV      
ACST      	Acasti Pharma Inc                                 	TSXV      
ACU       	Aurora Solar Technologies Inc                     	TSXV      
ADD       	Arctic Star Exploration Corp                      	TSXV      
ADE       	Adex Mining Inc                                   	TSXV      
ADG       	Arcus Development Group Inc                       	TSXV      
ADK       	Diagnos Inc                                       	TSXV      
ADR.H     	Arcland Resources Inc                             	TSXV      
ADYA      	Adya Inc                                          	TSXV      
ADZ       	Adamera Minerals Corp                             	TSXV      
ADZN      	Adventus Zinc Corp                                	TSXV      
AEX       	Alopex Gold Inc                                   	TSXV      
AFCC      	Automotive Finco Corp                             	TSXV      
AFCC.DB   	Automotive Finco Corp 6.75 Pct Debs               	TSXV      
AFE       	Africa Energy Corp                                	TSXV      
AFF       	Affinity Metals Corp                              	TSXV      
AFM       	Alphamin Resources Corp                           	TSXV      
AGB       	Atlantic Gold Corp                                	TSXV      
AGB.WT    	Atlantic Gold Corp Wts                            	TSXV      
AGC       	Amarillo Gold Corp                                	TSXV      
AGD       	Antioquia Gold Inc                                	TSXV      
AGG       	African Gold Group Inc                            	TSXV      
AGH.H     	Canadian Silver Hunter Inc                        	TSXV      
AGL       	Aguila American Gold Ltd                          	TSXV      
AGLD      	Austral Gold Limited                              	TSXV      
AGM       	Aldridge Minerals Inc                             	TSXV      
AGO       	Aurcrest Gold Inc                                 	TSXV      
AGRL      	Aguia Resources Limited                           	TSXV      
AGX.H     	Amador Gold Corp                                  	TSXV      
AGY.H     	Atom Energy Inc                                   	TSXV      
AGZ       	Ashanti Gold Corp                                 	TSXV      
AHI       	Agility Health Inc                                	TSXV      
AHM.H     	Antler Hill Mining Ltd                            	TSXV      
AHR       	Amarc Resources Ltd                               	TSXV      
AHS       	Alta Natural Herbs and S                          	TSXV      
AHU       	Arctic Hunter Energy Inc                          	TSXV      
AII       	Almonty Industries Inc                            	TSXV      
AIIM      	Albert Mining Inc                                 	TSXV      
AIMI.P    	Aim1 Ventures Inc                                 	TSXV      
AIS.H     	Ais Resources Limited                             	TSXV      
AIX       	Alix Resources Corp                               	TSXV      
AKH       	Alaska Hydro Corp                                 	TSXV      
AKR       	Ackroo Inc                                        	TSXV      
AL        	Alx Uranium Corp                                  	TSXV      
ALD       	Aldever Resources Inc                             	TSXV      
ALG       	Algold Resources Ltd                              	TSXV      
ALI       	Altitude Resources Inc                            	TSXV      
ALK.H     	Alkali3 Resources Inc                             	TSXV      
ALT       	Alturas Minerals Corp                             	TSXV      
ALTA      	Altamira Gold Corp                                	TSXV      
ALV       	Alvopetro Energy Ltd                              	TSXV      
ALY       	Analytixinsight Inc                               	TSXV      
ALZ       	Aldershot Resources Ltd                           	TSXV      
AM.H      	Automodular Corp                                  	TSXV      
AME       	Abacus Mining and Exploration                     	TSXV      
AMK       	American Creek Resources Ltd                      	TSXV      
AML       	Argus Metals Corp                                 	TSXV      
AMT.H     	Amato Exploration Ltd                             	TSXV      
AMX       	AMEX Exploration Inc                              	TSXV      
AMY       	American Manganese Inc                            	TSXV      
AMZ       	Almadex Minerals Limited                          	TSXV      
AN        	Arena Minerals Inc                                	TSXV      
ANB       	Anglo Bomarc Mines Ltd                            	TSXV      
ANE       	Altan Nevada Minerals Limited                     	TSXV      
ANF       	Anfield Gold Corp                                 	TSXV      
ANG       	Angel Gold Corp                                   	TSXV      
ANK       	Angkor Gold Corp                                  	TSXV      
ANL.H     	Atlantic Industrial Minerals Inc                  	TSXV      
ANT.H     	Adent Capital Corp                                	TSXV      
ANTL      	Antler Gold Inc                                   	TSXV      
ANZ       	Alianza Minerals Ltd                              	TSXV      
AOT       	Ascot Resources Ltd                               	TSXV      
APC       	Advanced Proteome Therapeutics Corp               	TSXV      
APE       	Apogee Opportunities Inc                          	TSXV      
APL       	Appulse Corp                                      	TSXV      
APN       	Altiplano Minerals Ltd                            	TSXV      
APX       	Apex Resources Inc                                	TSXV      
AQ        	African Queen Mines Ltd                           	TSXV      
AQS       	Aequus Pharmaceuticals Inc                        	TSXV      
ARA       	Anconia Resources Corp                            	TSXV      
ARB       	Ardonblue Ventures Inc                            	TSXV      
ARCH      	Arch Biopartners Inc                              	TSXV      
ARD       	Armada Data Corp                                  	TSXV      
ARH       	Altima Resources Ltd                              	TSXV      
ARR.H     	Arco Resources Corp                               	TSXV      
ART       	Arht Media Inc                                    	TSXV      
ARU       	Aurania Resources Ltd                             	TSXV      
ARY       	Anfield Resources Inc                             	TSXV      
ASG       	Aurora Spine Corp                                 	TSXV      
ASI       	Ashanti Sankofa Inc                               	TSXV      
ASL       	Argentum Silver Corp                              	TSXV      
ASM       	Avino Silver and Gold Mines Ltd                   	TSXV      
ASM.WT    	Avino Silver and Gold Mines Ltd Wts               	TSXV      
ASN       	Asian Mineral Res Ltd                             	TSXV      
ASQ       	Astorius Resources Ltd                            	TSXV      
AT        	Acuityads Holdings Inc                            	TSXV      
ATC       	Atac Resources Ltd                                	TSXV      
ATE       	Antibe Therapeutics Inc                           	TSXV      
ATG       	Atlanta Gold Inc                                  	TSXV      
ATI       	Altai Resources Inc                               	TSXV      
ATM       	Atacama Pacific Gold Corp                         	TSXV      
ATU       	Altura Energy Inc                                 	TSXV      
ATV       	Alto Ventures Ltd                                 	TSXV      
ATW       	Atmanco Inc                                       	TSXV      
ATY       	Atico Mining Corp                                 	TSXV      
AU        	Aurion Resources Ltd                              	TSXV      
AUL       	Aurelius Minerals Inc                             	TSXV      
AUN       	Aurcana Corp                                      	TSXV      
AUO.P     	Aumento Capital Vi Corporation                    	TSXV      
AUS.H     	Austpro Energy Corp                               	TSXV      
AUT       	Austin Resources Ltd                              	TSXV      
AUU       	Aura Silver Resources Inc                         	TSXV      
AUX       	Auramex Resource Corp                             	TSXV      
AVA       	Aurvista Gold Corp                                	TSXV      
AVE       	Aveda Transport and Energy Svcs                   	TSXV      
AVN       	Avanti Energy Inc                                 	TSXV      
AVU       	Avrupa Minerals Ltd                               	TSXV      
AVX       	Altair Resources Inc                              	TSXV      
AWE       	Thunderstruck Resources Ltd                       	TSXV      
AWI       	Advent Awi Holdings Inc                           	TSXV      
AWS       	Arrowstar Resources Ltd                           	TSXV      
AXE       	Acceleware Ltd                                    	TSXV      
AXIS      	Axis Auto Finance Inc                             	TSXV      
AXM       	Axmin Inc                                         	TSXV      
AXQ       	Axe Exploration Inc                               	TSXV      
AXV       	Axion Ventures Inc                                	TSXV      
AZM       	Azimut Exploration Inc                            	TSXV      
AZN.H     	Arcturus Ventures Inc                             	TSXV      
AZR       	Azarga Metals Corp                                	TSXV      
AZS       	Arizona Silver Exploration Inc                    	TSXV      
AZT       	Aztec Minerals Corp                               	TSXV      
AZX       	Alexandria Minerals Corp                          	TSXV      
B         	Bcm Resources Corp                                	TSXV      
BAL.H     	Balto Resources Ltd                               	TSXV      
BAT       	Batero Gold Corp                                  	TSXV      
BAV.H     	Bravern Ventures Ltd                              	TSXV      
BAY       	Aston Bay Holdings Ltd                            	TSXV      
BBB       	Brixton Metals Corp                               	TSXV      
BBC.H     	Black Birch Capital Acq III Corp                  	TSXV      
BBI       	Blackbird Energy Inc                              	TSXV      
BBI.WT    	Blackbird Energy Inc Wts                          	TSXV      
BBS.H     	Black Bull Resources Inc                          	TSXV      
BCF       	Builders Capital Mortgage Corp                    	TSXV      
BCK       	Blind Creek Resources Ltd                         	TSXV      
BCM       	Bear Creek Mining Corp                            	TSXV      
BCN       	Bacanora Minerals Ltd                             	TSXV      
BCP       	Broome Capital Corp                               	TSXV      
BCR.H     	Bluerock Ventures Corp                            	TSXV      
BCT       	Briacell Therapeutics Corp                        	TSXV      
BCU.H     	Bell Copper Corp                                  	TSXV      
BDG       	Black Dragon Gold Corp                            	TSXV      
BEA       	Belmont Resources Inc                             	TSXV      
BEAN      	Peekaboo Beans Inc                                	TSXV      
BEE       	Bee Vectoring Technologies Intl Inc               	TSXV      
